Code,Description,OrgCode,Parent,Stage,MonitoringCode
82,Express Parcel/ Business Parcel COD,DPOST,75.0,4,506.0
83,"Money Order (emo,imo etc.)",DPOST,75.0,4,506.0
84,Insured Articless,DPOST,75.0,4,506.0
85,Other premium BD Products,DPOST,75.0,4,506.0
86,Value Payable,DPOST,75.0,4,506.0
87,Others,DPOST,75.0,4,506.0
88,Foreign Articles (inbound/outbound),DPOST,76.0,4,506.0
89,Delay in Pension,DPOST,63.0,3,102.0
90,Revision of Pension,DPOST,63.0,3,102.0
91,Miscalculation in Pension,DPOST,63.0,3,102.0
92,Adding beneficiary in PPO,DPOST,63.0,3,102.0
93,Others,DPOST,63.0,3,102.0
94,Public Provident Fund Account,DPOST,64.0,3,506.0
95,Recurring Deposit,DPOST,64.0,3,506.0
96,Monthly Income Scheme,DPOST,64.0,3,506.0
97,Savings Bank (SB/RD/TD/MIS/SCSS/Others),DPOST,64.0,3,506.0
98,Sukanya Samriddhi,DPOST,64.0,3,506.0
99,Senior Citizen Savings Scheme,DPOST,64.0,3,506.0
100,Time Deposit,DPOST,64.0,3,506.0
101,ATM Card Related,DPOST,64.0,3,506.0
102,MNREGA Account,DPOST,64.0,3,506.0
103,National Savings Certificate VIII or IX,DPOST,64.0,3,506.0
104,Kisan Vikas Patra,DPOST,64.0,3,506.0
105,Indian Postal Order (IPO) Related,DPOST,64.0,3,506.0
106,Closure/Premature Closure of account at Branch Post Office,DPOST,94.0,4,506.0
107,Closure/Premature Closure of account at Head Post Office,DPOST,94.0,4,506.0
108,Closure/Premature Closure of account at Sub Post Office,DPOST,94.0,4,506.0
109,Issue of Dublicate Passbook,DPOST,94.0,4,506.0
110,Opening of account,DPOST,94.0,4,506.0
111,Return of Passbook,DPOST,94.0,4,506.0
112,Settlement of deceased claim case with nomination,DPOST,94.0,4,506.0
113,Settlement of deceased claim case without nomination but with proof of,DPOST,94.0,4,506.0
114,Transfer of account-Application given at PO where account stands,DPOST,94.0,4,506.0
115,Transfer of account-Application given at Transferee PO,DPOST,94.0,4,506.0
116,Others,DPOST,94.0,4,506.0
117,Closure/Premature Closure of account at Branch Post Office,DPOST,95.0,4,506.0
118,Closure/Premature Closure of account at Head Post Office,DPOST,95.0,4,506.0
119,Closure/Premature Closure of account at Sub Post Office,DPOST,95.0,4,506.0
120,Issue of Dublicate Passbook,DPOST,95.0,4,506.0
121,Opening of account,DPOST,95.0,4,506.0
122,Return of Passbook,DPOST,95.0,4,506.0
123,Settlement of deceased claim case with nomination,DPOST,95.0,4,506.0
124,Settlement of deceased claim case without nomination but with proof of,DPOST,95.0,4,506.0
125,Transfer of account-Application given at PO where account stands,DPOST,95.0,4,506.0
126,Transfer of account-Application given at Transferee PO,DPOST,95.0,4,506.0
127,Others,DPOST,95.0,4,506.0
128,Closure/Premature Closure of account at Branch Post Office,DPOST,96.0,4,506.0
129,Closure/Premature Closure of account at Head Post Office,DPOST,96.0,4,506.0
130,Closure/Premature Closure of account at Sub Post Office,DPOST,96.0,4,506.0
131,Issue of Dublicate Passbook,DPOST,96.0,4,506.0
132,Opening of account,DPOST,96.0,4,506.0
133,Return of Passbook,DPOST,96.0,4,506.0
134,Settlement of deceased claim case with nomination,DPOST,96.0,4,506.0
135,Settlement of deceased claim case without nomination but with proof of,DPOST,96.0,4,506.0
136,Transfer of account-Application given at PO where account stands,DPOST,96.0,4,506.0
137,Transfer of account-Application given at Transferee PO,DPOST,96.0,4,506.0
138,Others,DPOST,96.0,4,506.0
139,Closure/Premature Closure of account at Branch Post Office,DPOST,97.0,4,506.0
140,Closure/Premature Closure of account at Head Post Office,DPOST,97.0,4,506.0
141,Closure/Premature Closure of account at Sub Post Office,DPOST,97.0,4,506.0
142,Issue of Dublicate Passbook,DPOST,97.0,4,506.0
143,Opening of account,DPOST,97.0,4,506.0
144,Return of Passbook,DPOST,97.0,4,506.0
145,Settlement of deceased claim case with nomination,DPOST,97.0,4,506.0
146,Settlement of deceased claim case without nomination but with proof of,DPOST,97.0,4,506.0
147,Transfer of account-Application given at PO where account stands,DPOST,97.0,4,506.0
148,Transfer of account-Application given at Transferee PO,DPOST,97.0,4,506.0
149,Others,DPOST,97.0,4,506.0
150,Issuance Issues,DPOST,98.0,4,506.0
151,Payment Issues,DPOST,98.0,4,506.0
152,Claim Cases Related,DPOST,98.0,4,506.0
153,Tansfer Case Related,DPOST,98.0,4,506.0
154,Others,DPOST,98.0,4,506.0
155,Issuance Issues,DPOST,99.0,4,506.0
156,Payment Issues,DPOST,99.0,4,506.0
157,Claim Cases Related,DPOST,99.0,4,506.0
158,Tansfer Case Related,DPOST,99.0,4,506.0
159,Others,DPOST,99.0,4,506.0
160,Issuance Issues,DPOST,100.0,4,506.0
161,Payment Issues,DPOST,100.0,4,506.0
162,Claim Cases Related,DPOST,100.0,4,506.0
163,Tansfer Case Related,DPOST,100.0,4,506.0
164,Others,DPOST,100.0,4,506.0
165,ATM Card Blocking,DPOST,101.0,4,506.0
166,PIN Issue/Re-issue of Debit Card,DPOST,101.0,4,506.0
167,Payment of Wages to MNREGA workers,DPOST,102.0,4,506.0
168,Others,DPOST,102.0,4,506.0
169,Encashment of Certificates at office of issue,DPOST,103.0,4,506.0
170,Encashment of Certificates at other office,DPOST,103.0,4,506.0
171,Issue of Certificates,DPOST,103.0,4,506.0
172,Issue of Dublicate Certificates Application given at office of issue,DPOST,103.0,4,506.0
173,Issue of Dublicate Certificates Application given at other office,DPOST,103.0,4,506.0
174,Transfer of Certificates Application given at Other Post Office,DPOST,103.0,4,506.0
175,Transfer of Certificates Application given at Post Office of Registration,DPOST,103.0,4,506.0
176,Others,DPOST,103.0,4,506.0
177,Encashment of Certificates at office of issue,DPOST,104.0,4,506.0
178,Encashment of Certificates at other office,DPOST,104.0,4,506.0
179,Issue of Certificates,DPOST,104.0,4,506.0
180,Issue of Dublicate Certificates Application given at office of issue,DPOST,104.0,4,506.0
181,Issue of Dublicate Certificates Application given at other office,DPOST,104.0,4,506.0
182,Transfer of Certificates Application given at Other Post Office,DPOST,104.0,4,506.0
183,Transfer of Certificates Application given at Post Office of Registration,DPOST,104.0,4,506.0
184,Others,DPOST,104.0,4,506.0
185,Non-encashement,DPOST,105.0,4,506.0
186,Extension of Validity,DPOST,105.0,4,506.0
187,Non-Availability,DPOST,105.0,4,506.0
188,Postal Life Insurance,DPOST,65.0,3,506.0
189,Rural Postal Life Insurance,DPOST,65.0,3,506.0
190,Change of Address,DPOST,188.0,4,506.0
191,Change of Nomination,DPOST,188.0,4,506.0
192,Conversion of Policy,DPOST,188.0,4,506.0
193,Delay/ non-receipt of acceptance letter/PR book/Policy bond,DPOST,188.0,4,506.0
194,Issue of acceptance passbook,DPOST,188.0,4,506.0
195,Issue of policy bond,DPOST,188.0,4,506.0
196,Loan of policies,DPOST,188.0,4,506.0
197,Non-conversion/Delay in conversion,DPOST,188.0,4,506.0
198,Non-payment/Delay in payment of death claim,DPOST,188.0,4,506.0
199,Non-payment/Delay in payment of loan amount,DPOST,188.0,4,506.0
200,Non-payment/Delay in payment of maturity value,DPOST,188.0,4,506.0
201,Non-payment/Delay in payment of surrender value,DPOST,188.0,4,506.0
202,Non-payment/Delay in payment of survival benefits,DPOST,188.0,4,506.0
203,Non-revival/Delay in revival,DPOST,188.0,4,506.0
204,Non-transfer/Delay in transfer,DPOST,188.0,4,506.0
205,Paid up Value,DPOST,188.0,4,506.0
206,Revival of Policy,DPOST,188.0,4,506.0
207,Settlement of claim on death with nomination,DPOST,188.0,4,506.0
208,Settlement of claim on maturity,DPOST,188.0,4,506.0
209,Others,DPOST,188.0,4,506.0
210,Change of Address,DPOST,189.0,4,506.0
211,Change of Nomination,DPOST,189.0,4,506.0
212,Conversion of Policy,DPOST,189.0,4,506.0
213,Delay/ non-receipt of acceptance letter/PR book/Policy bond,DPOST,189.0,4,506.0
214,Issue of acceptance passbook,DPOST,189.0,4,506.0
215,Issue of policy bond,DPOST,189.0,4,506.0
216,Loan of policies,DPOST,189.0,4,506.0
217,Non-conversion/Delay in conversion,DPOST,189.0,4,506.0
218,Non-payment/Delay in payment of death claim,DPOST,189.0,4,506.0
219,Non-payment/Delay in payment of loan amount,DPOST,189.0,4,506.0
220,Non-payment/Delay in payment of maturity value,DPOST,189.0,4,506.0
221,Non-payment/Delay in payment of surrender value,DPOST,189.0,4,506.0
222,Non-payment/Delay in payment of survival benefits,DPOST,189.0,4,506.0
223,Non-revival/Delay in revival,DPOST,189.0,4,506.0
224,Non-transfer/Delay in transfer,DPOST,189.0,4,506.0
225,Paid up Value,DPOST,189.0,4,506.0
226,Revival of Policy,DPOST,189.0,4,506.0
227,Settlement of claim on death with nomination,DPOST,189.0,4,506.0
228,Settlement of claim on maturity,DPOST,189.0,4,506.0
229,Others,DPOST,189.0,4,506.0
230,PF/ Gratuity,DPOST,66.0,3,199.0
231,Compassionate appointment,DPOST,66.0,3,199.0
232,Removed/Retrenched employee,DPOST,66.0,3,199.0
233,GDS matters,DPOST,66.0,3,199.0
234,Departmental exams,DPOST,66.0,3,199.0
235,Recruitment/Exam related issues,DPOST,66.0,3,199.0
236,Others,DPOST,66.0,3,199.0
237,Allegation of  corruption,DPOST,67.0,3,301.0
238,Misbehavior of staff,DPOST,67.0,3,301.0
239,Others,DPOST,67.0,3,301.0
240,Minorities,DPOST,68.0,3,299.0
241,Women,DPOST,68.0,3,299.0
242,SC/ST/OBC,DPOST,68.0,3,299.0
243,Differently Abled,DPOST,68.0,3,299.0
244,Others,DPOST,68.0,3,299.0
245,Gaps in service,DPOST,69.0,3,506.0
246,Gaps in service,DPOST,70.0,3,506.0
247,Policy matters,DPOST,71.0,3,506.0
248,Gaps in service,DPOST,72.0,3,506.0
249,Increase of Rent,DPOST,73.0,3,699.0
250,Vacation of Building,DPOST,73.0,3,699.0
251,Banking,DEABD,,1,799.0
252,Bank Locker Related,DEABD,251.0,2,799.0
253,Deficiency in Customer Service Related,DEABD,251.0,2,799.0
254,Education Loans Related,DEABD,251.0,2,701.0
255,Housing Loan Related,DEABD,251.0,2,702.0
256,Non Banking Finance Company (NBFC) other than Housing Finance Companies Related,DEABD,251.0,2,799.0
257,Pradhan Mantri Jan Dhan Yojna (PMJDY) Related,DEABD,251.0,2,704.0
258,Pradhan Mantri Mudra Yojana (PMMY) Related,DEABD,251.0,2,799.0
259,Agricultural Matters Related,DEABD,251.0,2,705.0
260,Credit/Debit/ATM Cards Related,DEABD,251.0,2,799.0
261,Service Charges Related,DEABD,251.0,2,799.0
262,Government sponsored Schemes Related,DEABD,251.0,2,799.0
263,Fraud,DEABD,251.0,2,303.0
264,Mobile Banking,DEABD,251.0,2,799.0
265,Misappropriation,DEABD,251.0,2,799.0
266,Misbehaviour/Harrassment/Corruption by Bank Staff,DEABD,251.0,2,303.0
267,One Time Settlement of Loan,DEABD,251.0,2,706.0
268,Opening of New Branches,DEABD,251.0,2,799.0
269,Pradhan Mantri Jeevan Jyoti Yojna,DEABD,251.0,2,799.0
270,Pradhan Mantri Jeevan Suraksha Yojana,DEABD,251.0,2,799.0
271,Recruitment Related,DEABD,251.0,2,799.0
272,Service Matter Related,DEABD,251.0,2,799.0
273,Pension/Retirement Benefits Related,DEABD,251.0,2,799.0
274,Stand Up India Related,DEABD,251.0,2,799.0
275,Vacation of Premises,DEABD,251.0,2,799.0
276,Miscellaneous/Others,DEABD,251.0,2,799.0
277,Non-availability of locker,DEABD,252.0,3,799.0
278,Demand of Fixed Deposit,DEABD,252.0,3,799.0
279,Problem in Locker operation,DEABD,252.0,3,799.0
280,Unauthorised break opening of locker,DEABD,252.0,3,799.0
281,Others,DEABD,252.0,3,799.0
282,Acceptance of Cash,DEABD,253.0,3,799.0
283,Issue/Payment of Draft/Banker Cheque,DEABD,253.0,3,799.0
284,Delay in Service,DEABD,253.0,3,799.0
285,Non-adherance to timing of opening/closing of Branch,DEABD,253.0,3,799.0
286,Frequent Failure of Banks server,DEABD,253.0,3,799.0
287,Non-opening/delay in opening of new accounts,DEABD,253.0,3,799.0
288,Non settlement/delay in settlement of Deceased Account,DEABD,253.0,3,799.0
289,Non-transfer/Delay in transfer of accounts from one office to another,DEABD,253.0,3,799.0
290,Non-payment/Delay in payment of Fixed/Term Deposit,DEABD,253.0,3,799.0
291,Others,DEABD,253.0,3,799.0
292,Non-sanctioning of Loan,DEABD,254.0,3,701.0
293,Delay in sanction of Loan,DEABD,254.0,3,701.0
294,Demand of Collateral Security,DEABD,254.0,3,701.0
295,Others,DEABD,254.0,3,701.0
296,Short Sanctioning of Loan,DEABD,254.0,3,701.0
297,Non-receipt of Subsidy,DEABD,254.0,3,701.0
298,Related to Banks,DEABD,255.0,3,702.0
299,Related to Housing Finance Companies,DEABD,255.0,3,702.0
300,Non-sanctioning of Loan,DEABD,298.0,4,702.0
301,Demand of Collateral Security,DEABD,298.0,4,702.0
302,Short Sanctioning of Loan,DEABD,298.0,4,702.0
303,Non-receipt of Subsidy,DEABD,298.0,4,702.0
304,Processing Charges related,DEABD,298.0,4,702.0
305,Others,DEABD,298.0,4,702.0
306,Delay/Non-opening of Account,DEABD,257.0,3,704.0
307,Delay in Settlement of Death Claim,DEABD,257.0,3,704.0
308,Levy of Service Charges,DEABD,257.0,3,704.0
309,Non-issue of Rupay/ATM card,DEABD,257.0,3,704.0
310,Non-sanctioning of OD Limit,DEABD,257.0,3,704.0
311,Others,DEABD,257.0,3,704.0
312,Delay / Non-sanctioning of Loan,DEABD,258.0,3,799.0
313,Demand of Coollateral Security,DEABD,258.0,3,799.0
314,Others,DEABD,258.0,3,799.0
315,Delay/Non-sanctioning of Loan,DEABD,259.0,3,705.0
316,Waiver of Agricultural Loan,DEABD,259.0,3,705.0
317,Fasal Bima Yojana Related,DEABD,259.0,3,705.0
318,Others,DEABD,259.0,3,705.0
319,Delay/Non-reversal of failed transactions,DEABD,260.0,3,799.0
320,Non-functioning of ATM,DEABD,260.0,3,799.0
321,Levy of Service Charges,DEABD,260.0,3,799.0
322,Levy of Penal Interest,DEABD,260.0,3,799.0
323,Non-issuance of Credit/Debit/ATM cards,DEABD,260.0,3,799.0
324,ATM/Credit Card Frauds,DEABD,260.0,3,799.0
325,Non-issuance of ATM pin,DEABD,260.0,3,799.0
326,Others,DEABD,260.0,3,799.0
327,Non-maintenance of Minimum Balance,DEABD,261.0,3,799.0
328,Loan processing Charges,DEABD,261.0,3,799.0
329,Annual Maintenance charges on Credit/Debit/ATM cards,DEABD,261.0,3,799.0
330,Others,DEABD,261.0,3,799.0
331,Prime Minister Rojgar Yojana,DEABD,262.0,3,799.0
332,State Government Employment Schemes,DEABD,262.0,3,799.0
333,Prime Minister Awas Yojana,DEABD,262.0,3,799.0
334,Others,DEABD,262.0,3,799.0
335,Grievance against Bank,DEABD,269.0,3,799.0
336,Grievance against Insurance Company,DEABD,269.0,3,799.0
337,Grievance against Bank,DEABD,270.0,3,799.0
338,Grievance against Insurance Company,DEABD,270.0,3,799.0
339,Non-commencement of Pesnion/Family Pension,DEABD,273.0,3,799.0
340,Non-submission of Life Certificate,DEABD,273.0,3,799.0
341,Non-payment of revised pension/arrears,DEABD,273.0,3,799.0
342,Non-sanction of Pension Loan,DEABD,273.0,3,799.0
343,Delay/Non-transfer of pension Account,DEABD,273.0,3,799.0
344,Non-restoration of Commuted Pension,DEABD,273.0,3,799.0
345,Less payment of Pension,DEABD,273.0,3,799.0
346,Excess Recovery of Pension,DEABD,273.0,3,799.0
347,Others,DEABD,273.0,3,799.0
348,Delay/Non-sanctioning of Loan,DEABD,274.0,3,799.0
349,Demand of Collateral Security,DEABD,274.0,3,799.0
350,Others,DEABD,274.0,3,799.0
351,Non-renewal of Lease Agreement,DEABD,275.0,3,799.0
352,Non-vacation of premises,DEABD,275.0,3,799.0
353,Insurance,DEAID,,1,789.0
354,Allegation on Corruption/Malpractice,DEAID,353.0,2,303.0
355,Deficiency in Customer Service Related,DEAID,353.0,2,789.0
356,Fraud,DEAID,353.0,2,303.0
357,Agents and Surveyors Related,DEAID,353.0,2,789.0
358,Misrepresentation by Agents,DEAID,353.0,2,789.0
359,Non-settlement/Delay in Settlement/Less Settlement of Claims,DEAID,353.0,2,789.0
360,Pradhan Mantri Vaya Vandana Yojana,DEAID,353.0,2,789.0
361,Pradhan Mantri Suraksha Bima Yojna,DEAID,353.0,2,789.0
362,Pradhan Mantri Jeevan Jyoti Bima Yojana,DEAID,353.0,2,789.0
363,Service Matters Related,DEAID,353.0,2,101.0
364,Pension/Retirement Benefits Related,DEAID,353.0,2,102.0
365,Miscellaneous/Others,DEAID,353.0,2,789.0
366,Non-payment/Delay in payment of Compensations/Refunds,DEAID,355.0,3,789.0
367,Delay in transfer of Policy,DEAID,355.0,3,789.0
368,Haraasment/Misbehaviour/Non-response from Staff,DEAID,355.0,3,789.0
369,Non receipt of policy bond,DEAID,355.0,3,789.0
370,Others,DEAID,355.0,3,789.0
371,Non-renewal of licence,DEAID,357.0,3,789.0
372,Non-payment of gratuity,DEAID,357.0,3,789.0
373,Non-payment/delay in payment of Commission,DEAID,357.0,3,789.0
374,Others,DEAID,357.0,3,789.0
375,Payment received from the customer but not deposited or deposited with delay in Insurance Company,DEAID,358.0,3,789.0
376,Mis-selling of Policy,DEAID,358.0,3,789.0
377,Others,DEAID,358.0,3,789.0
378,Life Insurance Claim,DEAID,359.0,3,789.0
379,Non-life/General Insurance Claim,DEAID,359.0,3,789.0
380,Non-payment of penal interest of dealyed period,DEAID,359.0,3,789.0
381,Annuity Claim,DEAID,359.0,3,789.0
382,Accidental Claim,DEAID,359.0,3,789.0
383,Fasal Bima Yojana Related,DEAID,359.0,3,705.0
384,Others,DEAID,359.0,3,789.0
385,Grievance against Bank,DEAID,361.0,3,789.0
386,Grievance against Insurance Company,DEAID,361.0,3,789.0
387,Grievance against Bank,DEAID,362.0,3,789.0
388,Grievance against Insurance Company,DEAID,362.0,3,789.0
389,Non-commencement of Pesnion/Family Pension,DEAID,364.0,3,102.0
390,Non-submission of Life Certificate,DEAID,364.0,3,102.0
391,Non-payment of revised pension/arrears,DEAID,364.0,3,102.0
392,Non-sanction of Pension Loan,DEAID,364.0,3,102.0
393,Delay/Non-transfer of pension Account,DEAID,364.0,3,102.0
394,Non-restoration of Commuted Pension,DEAID,364.0,3,102.0
395,Less payment of Pension,DEAID,364.0,3,102.0
396,Excess Recovery of Pension,DEAID,364.0,3,102.0
397,Others,DEAID,364.0,3,102.0
398,School Education,DOSEL,,1,1099.0
399,Admission Related,DOSEL,398.0,2,1099.0
400,Service Matter/Pension Related,DOSEL,398.0,2,101.0
401,Entrance Exam and Results Related,DOSEL,398.0,2,1099.0
402,Degree/Certificate Related,DOSEL,398.0,2,1099.0
403,Mid Day Meal Related,DOSEL,398.0,2,1099.0
404,National Award for Teachers (NAT) Related,DOSEL,398.0,2,1099.0
405,National Bal Bhawan (NBB) Related,DOSEL,398.0,2,1099.0
406,National Foundation for Teacher Welfare (NFTW) Related,DOSEL,398.0,2,1099.0
407,Health & Nutrition Related,DOSEL,398.0,2,1099.0
408,Digital Initiative & ICT Components Related,DOSEL,398.0,2,1099.0
409,Samagra Shiksha - 1,DOSEL,398.0,2,1099.0
410,Adult Education and Admin.,DOSEL,398.0,2,1099.0
411,Samagra Shiksha - 2,DOSEL,398.0,2,1099.0
412,Statistics,DOSEL,398.0,2,1099.0
413,Others/Misc,DOSEL,398.0,2,1099.0
414,KVS,DOSEL,399.0,3,1099.0
415,NVS,DOSEL,399.0,3,1099.0
416,CBSE Affiliated,DOSEL,399.0,3,1099.0
417,NCERT,DOSEL,399.0,3,1099.0
418,CTSA,DOSEL,399.0,3,1099.0
419,NIOS,DOSEL,399.0,3,1099.0
420,All School Boards,DOSEL,399.0,3,1099.0
421,Matters relating to UT,DOSEL,399.0,3,1099.0
422,Matters relating to Private Schools,DOSEL,399.0,3,1099.0
424,State Government Schools,DOSEL,399.0,3,1099.0
425,Others,DOSEL,399.0,3,1099.0
426,Delayed Salary Payment,DOSEL,400.0,3,1099.0
427,Appointment/Resignation Related,DOSEL,400.0,3,199.0
428,Transfer Related,DOSEL,400.0,3,107.0
429,Promotion Related,DOSEL,400.0,3,199.0
430,Corruption Related,DOSEL,400.0,3,399.0
431,Harrasment Related,DOSEL,400.0,3,299.0
432,Pension Related (PPO No.),DOSEL,400.0,3,102.0
433,Others,DOSEL,400.0,3,1099.0
434,CBSE/CBSE Affiliated,DOSEL,426.0,4,1099.0
435,KVS,DOSEL,426.0,4,1099.0
436,NIOS,DOSEL,426.0,4,1099.0
437,NVS,DOSEL,426.0,4,1099.0
438,State Government Schools,DOSEL,426.0,4,1099.0
439,Public/Pvt. Schools,DOSEL,426.0,4,1099.0
440,NCERT,DOSEL,426.0,4,1099.0
441,Others,DOSEL,426.0,4,1099.0
442,CBSE/CBSE Affiliated,DOSEL,427.0,4,1099.0
443,KVS,DOSEL,427.0,4,1099.0
444,NIOS,DOSEL,427.0,4,1099.0
445,NVS,DOSEL,427.0,4,1099.0
446,State Government Schools,DOSEL,427.0,4,1099.0
447,Public/Pvt. Schools,DOSEL,427.0,4,1099.0
448,NCERT,DOSEL,427.0,4,1099.0
449,Others,DOSEL,427.0,4,1099.0
450,CBSE/CBSE Affiliated,DOSEL,428.0,4,1099.0
451,KVS,DOSEL,428.0,4,1099.0
452,NIOS,DOSEL,428.0,4,1099.0
453,NVS,DOSEL,428.0,4,1099.0
454,State Government Schools,DOSEL,428.0,4,1099.0
455,Public/Pvt. Schools,DOSEL,428.0,4,1099.0
456,NCERT,DOSEL,428.0,4,1099.0
457,Others,DOSEL,428.0,4,1099.0
458,CBSE/CBSE Affiliated,DOSEL,429.0,4,1099.0
459,KVS,DOSEL,429.0,4,1099.0
460,NIOS,DOSEL,429.0,4,1099.0
461,NVS,DOSEL,429.0,4,1099.0
462,State Government Schools,DOSEL,429.0,4,1099.0
463,Public/Pvt. Schools,DOSEL,429.0,4,1099.0
464,NCERT,DOSEL,429.0,4,1099.0
465,Others,DOSEL,429.0,4,1099.0
466,CBSE/CBSE Affiliated,DOSEL,430.0,4,1099.0
467,KVS,DOSEL,430.0,4,1099.0
468,NIOS,DOSEL,430.0,4,1099.0
469,NVS,DOSEL,430.0,4,1099.0
470,State Government Schools,DOSEL,430.0,4,1099.0
471,Public/Pvt. Schools,DOSEL,430.0,4,1099.0
472,NCERT,DOSEL,430.0,4,1099.0
473,Others,DOSEL,430.0,4,1099.0
474,CBSE/CBSE Affiliated,DOSEL,431.0,4,1099.0
475,KVS,DOSEL,431.0,4,1099.0
476,NIOS,DOSEL,431.0,4,1099.0
477,NVS,DOSEL,431.0,4,1099.0
478,State Government Schools,DOSEL,431.0,4,1099.0
479,Public/Pvt. Schools,DOSEL,431.0,4,1099.0
480,NCERT,DOSEL,431.0,4,1099.0
481,Others,DOSEL,431.0,4,1099.0
482,CBSE/CBSE Affiliated,DOSEL,432.0,4,1099.0
483,KVS,DOSEL,432.0,4,1099.0
484,NIOS,DOSEL,432.0,4,1099.0
485,NVS,DOSEL,432.0,4,1099.0
486,State Government Schools,DOSEL,432.0,4,1099.0
