Id,Code,FieldName,DisplayLable,FieldType,FieldOrder,IsMandatory,DataType,MinDataLength,MaxDataLength,IsVisible,IsSearchable,IsActive
69,29,InsuranceCompany,Insurance Company,Dropdown,1,True,AlNum,5,5,True,False,True
70,29,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
71,29,DateOfApplication,Date of Application,Textbox,3,True,Date,10,10,True,False,True
72,30,InsuranceCompany,Insurancy Company,Dropdown,1,True,AlNum,5,5,True,False,True
73,30,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
74,30,DateOfApplication,Date of Application,Textbox,3,True,Date,10,10,True,False,True
75,30,PolicyNumber,Policy Number,Textbox,4,True,AlNum,1,150,True,False,True
76,31,InsuranceCompany,Insurancy Company,Dropdown,1,True,AlNum,5,5,True,False,True
77,31,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
78,31,PolicyNumber,Policy Number,Textbox,3,True,AlNum,1,150,True,False,True
79,32,InsuranceCompany,Insurancy Company,Dropdown,1,True,AlNum,5,5,True,False,True
80,32,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
81,32,LicenceNumber,Licence Number,Textbox,3,True,AlNum,1,150,True,False,True
82,33,InsuranceCompany,Insurancy Company,Dropdown,1,True,AlNum,5,5,True,False,True
83,33,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
84,33,AgentName,Name of Agent,Textbox,3,True,AlNum,1,150,True,False,True
85,34,InsuranceCompany,Insurancy Company,Dropdown,1,True,AlNum,5,5,True,False,True
86,34,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
87,34,Policy Number,PolicyNumber,Textbox,3,True,AlNum,1,150,True,False,True
88,34,SettlementClaimDate,Date of settlement of claim,Textbox,4,True,Date,10,10,True,False,True
89,35,InsuranceCompany,Insurancy Company,Dropdown,1,True,AlNum,5,5,True,False,True
90,35,Branch,Branch/Name of Insurance Company & Branch(If other),Textbox,2,True,AlNum,1,150,True,False,True
91,36,Complainant,Name of the complainant,Textbox,1,True,AlNum,1,150,True,False,True
92,36,State,State/UT,Dropdown,2,True,AlNum,2,2,True,False,True
93,37,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
94,37,NameOfOffice,Name of Office,Textbox,2,True,AlNum,1,150,True,False,True
95,37,PlaceOfPosting,Place of Posting,Textbox,3,False,AlNum,1,150,True,False,True
96,37,Designation,Name of Position Held,Textbox,4,False,Alnum,1,150,True,False,True
97,38,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
98,38,NameOfOffice,Name of Office from where retired,Textbox,2,False,AlNum,1,150,True,False,True
99,38,Designation,Name of Position Held,Textbox,3,False,Alnum,1,150,True,False,True
100,38,DateOfRetirement,Date of Retirement,Textbox,4,False,Date,10,10,True,False,True
101,38,PPONo,PPO No.,Textbox,5,True,AlNum,1,150,True,False,True
102,39,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
103,39,State,Name of State,Textbox,2,False,AlNum,1,150,True,False,True
104,39,NhNo,National highway Number,Textbox,3,True,AlNum,1,150,True,False,True
105,39,StretchName,Stretch Name of the state and the district,Textbox,4,False,AlNum,1,150,True,False,True
106,40,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
107,40,State,Name of State,Textbox,2,False,AlNum,1,150,True,False,True
108,40,NhNo,National highway Number,Textbox,3,True,AlNum,1,150,True,False,True
109,40,NameOfStretchOfHighway,Name of Stretch of Highway,Textbox,4,False,AlNum,1,150,True,False,True
110,40,HighwayConstructingAuthority,Name of Highway Constructing Authority,Textbox,4,False,AlNum,1,150,True,False,True
111,41,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
112,41,State,Name of State,Textbox,2,False,AlNum,1,150,True,False,True
113,41,NameOfToll,Name of Toll Plaza & Stretch,Textbox,3,True,AlNum,1,150,True,False,True
114,41,NameOfNationalHighway,Name of National Highway Number & Stretch,Textbox,4,False,AlNum,1,150,True,False,True
115,42,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
116,42,SchemeName,Scheme Name,Textbox,2,False,AlNum,1,150,True,False,True
117,42,Place,Place,Textbox,3,True,AlNum,1,150,True,False,True
118,42,State,State,Textbox,4,True,AlNum,1,150,True,False,True
119,42,Pincode,Pincode,Textbox,5,False,AlNum,1,150,True,False,True
120,43,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
121,44,MinOrg,Ministry/Organisation,Dropdown,1,True,AlNum,5,5,True,False,True
122,44,PolicyName,Policies/Act/Rules related which suggestions is furnished,Textbox,2,False,AlNum,1,150,True,False,True
123,45,Uhid,UHID,Textbox,1,True,AlNum,1,150,True,False,True
124,45,Department,Department,Textbox,2,True,AlNum,1,150,True,False,True
125,45,Address,Postal Address,Textbox,3,False,AlNum,1,150,True,False,True
126,45,Email,E-mail ID,Textbox,4,False,AlNum,1,150,True,False,True
127,45,PhoneNo,Phone No.,Textbox,5,False,AlNum,1,150,True,False,True
128,46,RegistrationId,Registration Id,Textbox,1,True,AlNum,1,150,True,False,True
129,47,RollNo,Roll No,Textbox,1,True,AlNum,1,150,True,False,True
130,47,DateOfBirth,Date of Birth,Textbox,2,True,Date,10,10,True,False,True
131,47,CourseName,Name of the academic course,Textbox,3,False,AlNum,1,150,True,False,True
132,48,DepartmentName,Name of Department,Textbox,1,True,AlNum,1,150,True,False,True
133,49,RegistrationId,Registration Id,Textbox,1,True,AlNum,1,150,True,False,True
134,49,PostAppliedFor,Post applied for,Textbox,2,False,AlNum,1,150,True,False,True
135,50,ContractNo,Contract No.,Textbox,1,True,AlNum,1,150,True,False,True
136,50,InvoiceNo,Invoice No.,Textbox,2,False,AlNum,1,150,True,False,True
137,50,AmountDue,Amount Due,Textbox,3,False,AlNum,1,150,True,False,True
138,51,PhoneNo,Phone No.,Textbox,1,True,AlNum,1,150,True,False,True
139,51,Email,E-mail ID,Textbox,2,False,AlNum,1,150,True,False,True
140,51,Uhid,UHID,Textbox,3,False,AlNum,1,150,True,False,True
141,51,PostalAddress,Postal Address,Textbox,4,False,AlNum,1,150,True,False,True
142,52,PostName,Name of the post,Textbox,1,True,AlNum,1,150,True,False,True
143,53,PpoNo,PPO No.,Textbox,1,True,AlNum,1,150,True,False,True
144,54,DrugName,Name of drug/ medicinal device/ cosmetics,Textbox,1,True,AlNum,1,150,True,False,True
145,54,BatchNo,Batch No.,Textbox,2,True,AlNum,1,150,True,False,True
146,54,ManufacturingDate,Manufacturing Date,Textbox,3,True,Date,10,10,True,False,True
147,54,ExpiryDate,Expiry Date,Textbox,4,True,Date,10,10,True,False,True
148,55,MedicineName,Name of medicine,Textbox,1,True,AlNum,1,150,True,False,True
149,55,MedicineIndication,Indication of the medicine,Textbox,2,True,AlNum,1,150,True,False,True
150,56,MedicalStoreName,Name and address of medical store,Textbox,1,True,AlNum,1,150,True,False,True
151,56,DetailsOfPrescriptionInvoice,Detail of Prescription/Invoice (Upload supporting document),Textbox,2,True,AlNum,1,150,True,False,True
152,57,DrugName,Name of imported drugs/ cosmetics (copy of prescription issued by RMP should be uploaded),Textbox,1,True,AlNum,1,150,True,False,True
153,58,PatientName,Name of the patient,Textbox,1,True,AlNum,1,150,True,False,True
154,58,ClinicalSiteAddress,Address of Clinical Site/ Hospital,Textbox,2,True,AlNum,1,150,True,False,True
155,59,PersonName,Name of the person(s) against whom complain is lodged,Textbox,1,True,AlNum,1,150,True,False,True
156,60,CghsCenter,Location of CGHS centre,Dropdown,1,True,AlNum,5,5,True,False,True
157,60,CghsId,CGHS Beneficiary ID,Textbox,2,False,AlNum,1,150,True,False,True
158,61,CghsCenter,Location of CGHS centre,Dropdown,1,True,AlNum,5,5,True,False,True
159,61,MedicineName,Name of medicine,Textbox,2,True,AlNum,1,150,True,False,True
160,61,MedicineIndication,Indication of the medicine,Textbox,3,False,Alnum,1,150,True,False,True
161,61,CghsId,CGHS Beneficiary ID,Textbox,4,False,AlNum,1,150,True,False,True
162,62,CghsCenter,Location of CGHS centre,Dropdown,1,True,AlNum,5,5,True,False,True
163,62,WellnessCentreCode,Code of wellness centre,Textbox,2,False,AlNum,1,150,True,False,True
164,62,CghsId,CGHS Beneficiary ID,Textbox,3,False,AlNum,1,150,True,False,True
165,63,CghsCenter,Location of CGHS centre,Dropdown,1,True,AlNum,5,5,True,False,True
166,63,AckNo,Acknowledgement No./ WC Diary No.,Textbox,2,False,AlNum,1,150,True,False,True
167,63,BenId,Ben Id,Textbox,3,False,AlNum,1,150,True,False,True
168,63,AmountClaimed,Amount Claimed,Textbox,4,False,AlNum,1,150,True,False,True
169,63,CghsId,CGHS Beneficiary ID,Textbox,5,False,AlNum,1,150,True,False,True
171,64,CghsCenter,Location of CGHS centre,Dropdown,1,True,AlNum,5,5,True,False,True
172,64,HospitalEmployeeName,Name of hospital/ employee,Textbox,2,False,AlNum,1,150,True,False,True
173,64,CghsId,CGHS Beneficiary ID,Textbox,3,False,AlNum,1,150,True,False,True
174,65,CollegeName,College Name,Textbox,1,True,AlNum,1,150,True,False,True
175,65,RegRollNo,Registration/ Roll No.,Textbox,2,False,AlNum,1,150,True,False,True
177,66,CollegeName,Name of the dental college,Textbox,1,True,AlNum,1,150,True,False,True
178,67,InstituteName,Name of the Pharmacy Institute,Textbox,1,True,AlNum,1,150,True,False,True
179,68,PersonName,Name of the person against whom complaint is made,Textbox,1,True,AlNum,1,150,True,False,True
180,69,AckNo,Acknowledgement No./ WC Diary No.,Textbox,1,False,AlNum,1,150,True,False,True
181,69,BenId,Ben Id,Textbox,2,False,AlNum,1,150,True,False,True
182,69,AmountClaimed,Amount Claimed,Textbox,3,False,AlNum,1,150,True,False,True
183,70,PortalName,Name of non-functional portal/application of MoHFW,Textbox,1,True,AlNum,1,150,True,False,True
184,70,PortalLink,Link of the portal/application of MoHFW which is causing problem,Textbox,2,True,AlNum,1,150,True,False,True
185,71,PoaOffice,Concerned PAO Office,Dropdown,1,True,AlNum,5,5,True,False,True
186,72,SchoolName,Name of School,Textbox,1,True,AlNum,1,150,True,False,True
187,73,SchoolName,Name of School,Textbox,1,True,AlNum,1,150,True,False,True
188,73,State,State/UT,Dropdown,2,True,AlNum,2,2,True,False,True
189,74,ConcernedOrganisation,Concerned Organisation,Textbox,1,True,AlNum,1,150,True,False,True
190,75,State,State/UT,Textbox,2,True,AlNum,1,150,True,False,True
191,76,ComplaintName,Name of Complainant,Textbox,1,True,AlNum,1,150,True,False,True
192,76,FatherName,Father&rsquo;s Name,Textbox,2,True,AlNum,1,150,True,False,True
193,76,VillageName,Name of Village,Textbox,3,False,AlNum,1,150,True,False,True
194,76,BlockName,Block Name,Textbox,4,True,AlNum,1,150,True,False,True
195,76,State,State/UT,Dropdown,5,True,AlNum,1,150,True,False,True
196,76,District,District Name,Dropdown,6,True,AlNum,1,150,True,False,True
197,76,CertificateName,Name of Certificate,Textbox,7,False,AlNum,1,150,True,False,True
198,76,CertificateNumber,No. on Certificate,Textbox,8,False,AlNum,1,150,True,False,True
199,76,CertificateIssueDate,Certificate issue date,Textbox,9,False,Date,10,10,True,False,True
200,77,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
201,77,EmployerDetails,Details of the foreign employer,Textbox,2,True,AlNum,1,150,True,False,True
202,77,RequiredDocument,"Certificate of Succession issued by the competent court and attested by concerned authorities, Death Certificate, Copy of passport and Visa,Copy of employment contract",MessageFileUpload,3,True,AlNum,1,150,True,False,True
203,78,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
204,78,JailDetails,Name and address details of the jail,Textbox,2,True,AlNum,1,150,True,False,True
205,78,RequiredDocument,"Copy of passport, Document proof of Indian nationality (copy of passport)",MessageFileUpload,3,True,AlNum,1,150,True,False,True
206,79,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
207,79,RequiredDocument,"Proof of Family Consent for bringing the body back, Proof of Indian Nationality, Embalming Certificate",MessageFileUpload,3,True,AlNum,1,150,True,False,True
208,80,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
209,80,EmployerDetails,Name and Address of the employer,Textbox,2,True,AlNum,1,150,True,False,True
210,80,CompanyDetails,Company details,Textbox,3,True,AlNum,1,150,True,False,True
211,80,RequiredDocument,"Proof of Family Consent for bringing the body back, Proof of Indian Nationality, Embalming Certificate",MessageFileUpload,4,False,AlNum,1,150,True,False,True
212,81,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
213,81,EmployerDetails,"Local employer details, if any",Textbox,2,False,AlNum,1,150,True,False,True
214,81,RequiredDocument,Proof of Indian Nationality/Passport Copy,MessageFileUpload,3,False,AlNum,1,150,True,False,True
215,82,PassportOffice,Name of Passport Office,Dropdown,1,True,AlNum,5,5,True,False,True
216,82,ReferenceNo,File number / ARN No./ Old Passport No.,Textbox,2,True,AlNum,1,150,True,False,True
217,82,OfficeName,"Name of Passport Office /Missions/Posts, abroad",Textbox,3,False,AlNum,1,150,True,False,True
218,83,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
219,83,PassportDetails,Passport Details,Textbox,2,True,AlNum,1,150,True,False,True
220,83,ComplainantContactDetails,Contact details of the complainant,Textbox,3,True,AlNum,1,150,True,False,True
221,84,PolicyNo,Insurance Policy Number,Textbox,1,True,Alnum,1,150,True,False,True
222,84,PassportDetails,Passport Details,Textbox,2,True,Alnum,1,150,True,False,True
223,84,DateOfDeath,Date of Death,Textbox,3,False,Date,10,10,True,False,True
224,85,RequiredDocument,"FIR copy, LOC copy, Court order/ Summons, Arrest Warrant",MessageFileUpload,1,False,AlNum,1,150,True,False,True
225,86,JurisdictionDetails,"Jurisdiction of Foreign Country (Contact details, Address of Foreign country of Spouse)",Textbox,1,True,Alnum,1,150,True,False,True
226,86,RequiredDocument,Proof of Marriage (Marriage Certificate),MessageFileUpload,1,False,AlNum,1,150,True,False,True
227,87,PassportDetails,Passport details of both parties,Textbox,1,True,Alnum,1,150,True,False,True
228,87,RequiredDocument,Court Maintenance Orders,MessageFileUpload,2,False,AlNum,1,150,True,False,True
229,88,JurisdictionDetails,"Jurisdiction of Foreign Country (Contact details, Address of Foreign country of Spouse)",Textbox,1,True,Alnum,1,150,True,False,True
230,88,RequiredDocument,"Court Maintenance Orders, Proof of Marriage (Marriage Certificate)",MessageFileUpload,2,False,AlNum,1,150,True,False,True
231,89,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
232,89,PassportDetails,Passport Details,Textbox,2,True,Alnum,1,150,True,False,True
233,89,ContactDetails,Contact details,Textbox,3,True,Alnum,1,150,True,False,True
234,89,SpouseAddress,Address of Foreign country of Spouse,Textbox,4,True,Alnum,1,150,True,False,True
235,89,ContactDetailOfComplainantAndAccused,Contact Details of complainant and accused,Textbox,4,True,Alnum,1,150,True,False,True
236,90,Mission,Mission,Dropdown,1,True,AlNum,5,5,True,False,True
237,90,EduConsultantDetail,Details of Educational Consultant,Textbox,2,True,Alnum,1,150,True,False,True
238,90,RequiredDocument,"Communication Proof, Bank Statement if Financial Transactions involved, Passport copy, Visa copy, Admission letter of Educational Institution.",MessageFileUpload,2,False,AlNum,1,150,True,False,True
239,91,ComplainantName,Complainant Name,Textbox,1,True,Alnum,1,150,True,False,True
240,91,ComplainantContactDetails,Address and contact details of the complainant,Textbox,2,True,Alnum,1,150,True,False,True
241,91,RequiredDocument,"FIR, Court order/ Summons, Arrest Warrant",MessageFileUpload,3,False,AlNum,1,150,True,False,True
242,92,Name,Name,Textbox,1,True,Alnum,1,150,True,False,True
243,92,Address,Address,Textbox,2,True,Alnum,1,150,True,False,True
244,92,PhoneNo,Phone Number of the Complainant and Accussed,Textbox,3,True,Alnum,1,150,True,False,True
245,92,PassportDetails,Passport Details,Textbox,2,True,Alnum,4,150,True,False,True
246,92,PaymentDetails,"Payment Receipt, Transaction No/Id",Textbox,5,True,Alnum,1,150,True,False,True
247,92,RequiredDocument," Payment Receipt,Copy of Visa & Employment Contract, FIR Copy, Agreement Copy",MessageFileUpload,6,False,AlNum,1,150,True,False,True
248,93,MpangOrg,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
249,93,MpangState,State/Region,Dropdown,2,False,Alnum,2,5,False,False,True
250,93,MpangDistrict,District,Dropdown,3,False,Alnum,1,5,False,False,True
251,93,PetrolpumpLocation,Location of the petrol pump,Textbox,4,True,AlNum,1,150,True,False,True
252,94,MpangOrganisation,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
253,95,MpangOrganisation,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
254,95,EmployeeName,Name of Employee,Textbox,2,True,AlNum,1,150,True,False,True
255,95,DivisionName,Division Name,Textbox,3,True,AlNum,1,150,True,False,True
256,96,University,University,Dropdown,1,True,AlNum,5,5,True,False,True
257,96,AppintmentName,Name of the appointment,Textbox,2,True,AlNum,1,150,True,False,True
258,96,AppintmentNo,Vacacny / appontment no,Textbox,3,True,AlNum,1,150,True,False,True
259,97,MpangOrg,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
260,97,MpangState,State,Dropdown,2,True,AlNum,2,5,False,False,True
261,97,MpangDistrict,District,Dropdown,3,False,AlNum,1,5,False,False,True
262,97,ApplicationNumber,Application number,Textbox,4,False,AlNum,1,150,True,False,True
263,97,AgencyName,Agency name,Textbox,5,True,AlNum,1,150,True,False,True
264,97,ConsumerNumber,LPG Consumer number,Textbox,6,True,AlNum,1,150,True,False,True
265,98,CgdEntity,City Gas Distribution (CGD) entity,Dropdown,1,True,AlNum,5,5,True,False,True
266,98,CngStationLocation,Location of CNG Station,Textbox,2,True,AlNum,1,150,True,False,True
267,98,GeographicalArea,Geographical Area Name,Textbox,3,False,AlNum,1,150,True,False,True
268,99,CgdEntity,City Gas Distribution (CGD) entity,Dropdown,1,True,AlNum,5,5,True,False,True
269,99,BpNumber,BP number,Textbox,2,True,AlNum,1,150,True,False,True
270,99,GeographicalArea,Geographical Area Name,Textbox,3,False,AlNum,1,150,True,False,True
271,100,MpangOrganisation,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
272,100,ApplicationNumber,Application number,Textbox,2,True,AlNum,1,150,True,False,True
273,100,CompanyName,Company Name,Textbox,3,True,AlNum,1,150,True,False,True
274,101,MpangOrganisation,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
275,101,DivisionName,Division Name,Textbox,2,True,AlNum,1,150,True,False,True
276,101,Designation,Designation,Textbox,3,True,AlNum,1,150,True,False,True
277,101,EmployeeNumber,Employee Number,Textbox,4,True,AlNum,1,150,True,False,True
278,101,EmploymentStatus,"Status of employment (Contractual, regular, permanent)",Textbox,5,True,AlNum,1,150,True,False,True
279,102,MpangOrganisation,Ministry/PSU,Dropdown,1,True,AlNum,5,5,True,False,True
280,102,PpoNo,PPO No.,Textbox,2,True,AlNum,1,150,True,False,True
281,102,EmployeeName,Employee Name,Textbox,3,True,AlNum,1,150,True,False,True
282,102,EmployeeNo, Employee No.,Textbox,4,True,AlNum,1,150,True,False,True
283,102,Relation,Relationship with Deceased employee,Textbox,5,False,AlNum,1,150,True,False,True
284,102,DateOfDeath,Date of Death,Textbox,6,False,date,1,150,True,False,True
285,102,CertificateDate,Date of death Certificate,Textbox,7,False,date,1,150,True,False,True
286,103,OrganisationName,Organisation Name,Textbox,1,True,AlNum,1,150,True,False,True
287,104,RegionOrAirport,Regions / Airport Name,Dropdown,1,True,AlNum,1,5,True,False,True
288,104,TicketNumber,Ticket Number,Textbox,2,True,Alnum,1,150,True,False,True
289,104,FlightNumber,Flight Number,Textbox,3,True,Alnum,1,150,True,False,True
290,104,FlightDate,Flight Date,Textbox,4,True,Date,10,10,True,False,True
291,104,SectorBookedTravelled,Sector booked/travelled,Textbox,5,True,Alnum,1,150,True,False,True
292,105,SeatNumber,Seat Number,Textbox,2,True,Alnum,1,3,True,False,True
293,105,TicketNumber,Ticket Number,Textbox,3,True,Alnum,1,150,True,False,True
294,105,BoardingAirport,Boarding Airport,Textbox,4,False,Alnum,1,150,True,False,True
296,105,DeboardingAirport,Deboarding Airport,Textbox,5,False,Alnum,1,150,True,False,True
297,105,Itinerary,Itinerary,Textbox,6,True,Alnum,1,150,True,False,True
298,105,FlightNumber,Flight Number,Textbox,7,False,Alnum,1,150,True,False,True
299,105,FlightDate,Flight Date,Textbox,8,True,Date,10,10,True,False,True
300,105,SectorBookedTravelled,Sector booked/travelled,Textbox,9,True,Alnum,1,150,True,False,True
303,105,RegionOrAirport,Regions / Airport Name,Dropdown,1,True,AlNum,1,5,True,False,True
304,106,AgentName,Name of agent,Textbox,1,True,Alnum,1,150,True,False,True
305,106,TicketNumber,Ticket Number,Textbox,2,True,Alnum,1,150,True,False,True
310,106,FlightNumber,Flight number,Textbox,3,False,Alnum,1,150,True,False,True
311,106,FlightDate,Flight Date,Textbox,4,True,Date,10,10,True,False,True
312,106,SectorBookedTravelled,Sector booked/travelled,Textbox,5,True,Alnum,1,150,True,False,True
313,107,TicketNumber,Ticket Number,Textbox,1,True,Alnum,1,150,True,False,True
314,107,FlightNumber,Flight number,Textbox,2,False,Alnum,1,150,True,False,True
315,107,FlightDate,Flight Date,Textbox,3,True,Date,10,10,True,False,True
316,107,SectorBookedTravelled,Sector booked/travelled,Textbox,4,True,Alnum,1,150,True,False,True
317,108,DateTimeOfCall,Date and time of call,Textbox,1,True,DateTime,15,16,True,False,True
318,108,NumberCalledFrom,Number called from,Textbox,2,True,Alnum,10,25,True,False,True
319,108,TicketNumber,Ticket Number,Textbox,3,True,Alnum,1,150,True,False,True
