ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Central Board of Direct Taxes (Income Tax),Range 9 Pune,ITO94,INCOME TAX OFFICER WARD 9.3 PUNE,"PRATYAKSHAKAR BHAWAN  DR. AMBEDKAR MARG , NR. AKURDI RLY. STATION , PRADHIKARAN PUNE",411044.0,INCOME TAX OFFICER WARD 9.4,6.0
Central Board of Direct Taxes (Income Tax),Range 9 Pune,ITO95,INCOME TAX OFFICER WARD 9.5 PUNE,"PRATYAKSHAKAR BHAWAN  DR. AMBEDKAR MARG , NR. AKURDI RLY. STATION , PRADHIKARAN  PUNE",411044.0,INCOME TAX OFFICER WARD 9.5,6.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS Kanpur,ITOA1,INCOME TAX OFFICER TDS 1 AGRA,603 AAYKAR BHAWAN SANJAY PALACE AGRA,282002.0,INCOME TAX OFFICER TDS 1 AGRA,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS Kanpur,ITOA2,INCOME TAX OFFICE TDS 2 AGRA,603 AAYKAR BHAWAN SANJAY PALACE AGRA,282002.0,INCOME TAX OFFICER TDS 2 AGRA,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT HQ Administraion,ITOA3,iTO ADMIN 3,"ROOM NO. 357, AAYKAR BHAVAN  MUMBAI,  ",400020.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT HQ Administraion,ITOAD,ITO ADMIN 2,"ROOM NO. 331, AAYKAR BHAVAN  MUMBAI,  ",400020.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl CIT Exemption Ghaziabad,ITOAE,ITO EXEMPTION AGRA,"AAYKAR BHAWAN  SANJAY PLACE, AGRA,  ",282002.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT TDS Ghaziabad,ITOAG,Income Tax Officer,Income Tax Office Marris Road Aligarh,,Income Tax Officer Aligarh,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 123,ITOAJ,ITO 1233,"Aaykar Bhavan room No 123, new marine lines, mumbai",400020.0,ITO 1233,6.0
Central Board of Direct Taxes (Income Tax),TDS RANGE JAIPUR,ITOAL,Income Tax Officer TDS Alwar,"Income tax Department, 22  Moti Doongari , Alwar",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),RANGE FAIZABAD,ITOAM,INCOME TAX OFFICER AMBEDKAR NAGAR,"INCOME TAX OFFICE AMBEDKAR NAGAR,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 122,ITOAS,ITO 1224,"Aaykar Bhavan room no 123B, New Marine lines, mumbai",400020.0,ITO 1224,6.0
Central Board of Direct Taxes (Income Tax),RANGE SULTANPUR,ITOAT,INCOME TAX OFFICER AMETHI,INCOME TAX OFFICE  TEHSIL ROAD  GAURIGANJ  AMETHI,,ITO,5.0
Central Board of Direct Taxes (Income Tax),RANGE BULANDSHAHAR,ITOB1,ITO WARD 1,"INCOME TAX OFFICE, BULANDSHAHR",203001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),RANGE BULANDSHAHAR,ITOB2,ITO WARD 2 BULANDSHAHR,"INCOME TAX OFFICE, BULANDSHAHR",203001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),RANGE BULANDSHAHAR,ITOB3,ITO WARD 3 BULANDSHAHR,"INCOME TAX OFFICE, BULANDSHAHR,  ",203001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOBA,ITO BADDI,"ITO BADDI, INCOME TAX DEPTARTMENT BADDI, BADDI",173205.0,ITO BADDI,3.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOBI,ITO BILASPUR,"ITO BILASPUR, INCOME TAX DEPTT BILASPUR, BILASPUR",174001.0,ITO Bilaspur,3.0
Central Board of Direct Taxes (Income Tax),Addlcittp,ITOBP,ITO IT BHOPAL,AAYAKAR BHAWAN HOSHANGABAD ROADBHOPAL,462011.0,INCOME TAX OFFICER IT BHOPAL,6.0
Central Board of Direct Taxes (Income Tax),Income Tax Department,ITOBR,INCOME TAX OFFICER BARAUT,"INCOME TAX OFFICE, BARAUT,  ",,INCOME TAX OFFICER BARAUT,5.0
Central Board of Direct Taxes (Income Tax),RANGE GONDA,ITOBT,INCOME TAX OFFICER BASTI,"INCOME TAX OFFICE BASTI,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),Range Hoshiarpur,ITOD1,ITO DASUYA,"Income Tax Officer, Dasuya, Distt. Hoshiarpur",,ITO Dasuya,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITODA,ITO DALHOUSIE,"INCOME TAX DEPTT. DALHOUSIE, DALHOUSIE, DALHOUSIE",176304.0,ITO Dalhousie,3.0
Central Board of Direct Taxes (Income Tax),Addl CIT Exemption Ghaziabad,ITODE,ITO EXEMPTION DEHRADUN,"DEHRADUN,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITODH,ITO DHARAMSHALA,"INCOME TAX DEPTT DHARAMSHALA, DHARAMSHALA, DHARAMSHALA",176216.0,ITO Dharamshala,3.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS DEHRADUN,ITODN,ITO TDS DDN,"INCOME TAX OFFICE, 13-A SUBHASH ROAD, DEHRADUN",248001.0,ITO TDS DEHRADUN,5.0
Central Board of Direct Taxes (Income Tax),Addl CIT Exemption Ghaziabad,ITOEG,INCOME TAX OFFICER  EXEMPTION GHAZIABAD,105  CGO-II  HAPUR CHUNGI GHAZIABAD,,ITO,5.0
Central Board of Direct Taxes (Income Tax),RANGE FAIZABAD,ITOF1,INCOME TAX OFFICER 1 FAIZABAD,INCOME TAX OFFICE CIVIL LINES FAIZABAD   Faizabad,224001.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),RANGE FAIZABAD,ITOF2,INCOME TAX OFFICER 2 FAIZABAD,"INCOME TAX OFFICE CIVIL LINES, FAIZABAD, Faizabad",224001.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),JT CIT INTL TAXN,ITOGM,ITO IT GANDHIDHAM,"Aaykarbhavan, Ghandhidham",370205.0,INCOMETAX OFFICER IT,6.0
Central Board of Direct Taxes (Income Tax),RANGE GONDA,ITOGN,INCOME TAX OFFICER GONDA,"INCOME TAX OFFICE GONDA,  ,  ",,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT TDS Ghaziabad,ITOGZ,Income Tax Officer,"CGO Complexm Hapur Chungi,  , Ghaziabad",,Income Tax Officer Ghaziabad,5.0
Central Board of Direct Taxes (Income Tax),Range Hoshiarpur,ITOH1,ITO WARD 1 HOSHIARPUR,"Income Tax Officer Ward-1, Aayakar Bhawan  The Mall, Civil Lines  Hoshiarpur",146001.0,ITO Ward 1 HOSHIARPUR,5.0
Central Board of Direct Taxes (Income Tax),Range Hoshiarpur,ITOH2,ITO WARD 2 HOSHIARPUR,"Income Tax Officer  Ward-2, Aayakar Bhawan  The Mall , Civil Lines  Hoshiarpur",146001.0,ITO Ward 2 Hoshiarpur,5.0
Central Board of Direct Taxes (Income Tax),Range Hoshiarpur,ITOH3,ITO WARD 3 HOSHIARPUR,"Income Tax Officer  Ward-3, Aayakar Bhawan  The Mall , Civil Lines  Hoshiarpur",146001.0,ITO Ward 3 Hoshiarpur,5.0
Central Board of Direct Taxes (Income Tax),RANGE BULANDSHAHAR,ITOH4,ITO WARD 4 HAPUR,INCOME TAX OFFICE HAPUR,,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),RANGE BULANDSHAHAR,ITOH5,ITO WARD 5 HAPUR,"INCOME TAX OFFICE, HAPUR,  ",,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOHA,ITO HAMIRPUR,"INCOME TAX DEPTT HAMIRPUR, HAMIRPUR, HAMIRPUR",177001.0,ITO Hamirpur,3.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS DEHRADUN,ITOHL,ITO TDS HALDWANI,"AAYAKAR BHAWAN G.B. PANT MARG, BHUTIA PARAO  SUBHASH NAGAR, HALDWANI",263126.0,ITO TDS HALDWANI,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT HQ Administraion,ITOHQ,ITOADMIN1,"ROOM NO. 331, AAYKAR BHAVAN  MUMBAI,  ",400020.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS DEHRADUN,ITOHR,ITO TDS HDR,"D-29 30 YOGI PHARMACY BUILDING, INDUSTRIAL AREA, HARIDWAR",249401.0,ITO TDS HARIDWAR,5.0
Central Board of Direct Taxes (Income Tax),Addlcittp,ITOI1,ITO IT 1 AHMEDABAD,"Room no. 209  2nd floor  Navjivan buiding , Ashram Road  AHMEDABAD",380014.0,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),Addlcittp,ITOI2,ITO IT 2 AHMEDABAD,"Room no. 210  2nd floor  Navjivan Building , Ashram Road  Ahmedabad",380014.0,INCOME TAX OFFICER INTL. TAXN.,6.0
Central Board of Direct Taxes (Income Tax),Addl.DIT International Taxaton Range 4,ITOI4,ITO Intl. Taxn.  4 1,"Room No. 139   1st Floor, Scindia House   Ballard Pier , Mumbai-400038",400038.0,ITO Intl.  Taxn.  4 1,5.0
Central Board of Direct Taxes (Income Tax),ADDL. DIRECTOR OF INCOME TAX INVESTIGATION,ITOIN,ITO Inv Varanasi,"Maqbool Alam Road Varanasi,  ,  ",221001.0,ITO Investigation Varanasi,6.0
Central Board of Direct Taxes (Income Tax),Addl.DITInternational Taxation 3,ITOIT,DIT IT,"114 SCINDIA HOUSE, BALLARD ESTATE, MUMBAI",400038.0,ITO IT 3,5.0
Central Board of Direct Taxes (Income Tax),Range 2 Jammu,ITOJ1,ITOJ1,"ward no. 2(1)  aaykar bhawan  rail head complex, panama chowk  jammu,  ",180012.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Range 2 Jammu,ITOJ2,ITOJ2,"Aayakar Bhawan, Panama Chowk  Rail Head Complex  Jammu",180012.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS Kanpur,ITOJH,INCOME TAX OFFICE TDS JHANSI,"INCOME TAX OFFICE CIVIL LINES, JHANSI,  ",,INCOME TAX OFFICER TDS JHANSI,5.0
Central Board of Direct Taxes (Income Tax),Range 2 Jammu,ITOKA,ITOKA,"Ward no 2  Tea Garden  Post office lane  Katra,  ,  ",182301.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl CIT Exemption Ghaziabad,ITOKE,ITO EXEMPTION KANPUR,"INCOME TAX OFFICE, KANPUR,  ",208001.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),TDS RANGE PANCHKULA,ITOKN,INCOME TAX OFFICE TDS KARNAL,"AAYAKAR BHAWAR, SECTOR 12, KARNAL",132001.0,INCOME TAX OFFICER TDS KARNAL,5.0
Central Board of Direct Taxes (Income Tax),Addl. CIT TDS DEHRADUN,ITOKS,ITO TDS KSP,"INCOME TAX OFFICE AAYAKAR BHAWAN NEAR SBI KASHIPUR, INCOME TAX OFFICE AAYAKAR BHAWAN NEAR SBI KASHIPUR",244713.0,ITO TDS KASHIPUR,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOKU,ITO KULLU,"INCOME TAX DEPTT. KULLU, KULLU, KULLU",175101.0,ITO Kullu,3.0
Central Board of Direct Taxes (Income Tax),ADD CIT TDS RANGE THANE,ITOKY,ITO TDS KALYAN,"INCOME TAX OFFICE , RANI MANSION  MURBAD ROAD , KALYAN",421301.0,ITO TDS KALYAN,5.0
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER RANGE ITARSI,ITOL1,Income Tax Officer 1 Harda,"Income Tax Officer, Chhipaner Road, Harda",461331.0,Income Tax Officer,
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER RANGE ITARSI,ITOL2,Income Tax Officer 2 Harda,"Aaykar Bhawan, Chhipaner Road, Harda",461331.0,Income Tax Officer,
Central Board of Direct Taxes (Income Tax),JCITR3NK,ITOLG,INCOME TAX OFFICER WARD3 MALEGAON,"YASHWANT BHAVAN  , CAMP ROAD , MALEGAON",423105.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Additional Commissioner of Income Tax LTU,ITOLT,Income Tax Officer TDS LTU,"29th Floor World Trade Centre , Cuffe Parade, Mumbai",400005.0,Shri Shyam C Pillai,5.0
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER RANGE ITARSI,ITOM2,Income Tax Officer 2,"Aaykar Bhawan, Nayas Colony, Itarsi",461111.0,Income Tax Officer,
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOMA,ITO MANDI,"AAYAKAR BHAWAN BEHULI MANDI, BEHULI MANDI, BEHULI MANDI",175001.0,ITO Mandi,3.0
Central Board of Direct Taxes (Income Tax),JCITR3NK,ITOMG,INCOME TAX OFFICER WARD2 MALEGAON,"YASHWANT BHAVAN  , CAMP ROAD, MALEGAON",423105.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCITR3NK,ITOML,INCOME TAX OFFICER WARD1 Malegaon,"YASHWANT BHAVAN  , CAMP ROAD , MALEGAON",423105.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),TDS RANGE PANCHKULA,ITOMN,INCOME TAX OFFICE TDS MANDI,"INCOME TAX OFFICER TDS, AAYAKAR BHAWAN  BHIULI  MANDI, DISTT MANDI",175001.0,INCOME TAX OFFICER TDS MANDI,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT TDS Ghaziabad,ITOMR,Income Tax Officer Meerut,Aaykar Bhawan Bhaishali Ground Meerut Meerut,,Income Tax Officer Meerut,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range Sagar,ITDMO,Income Tax Officer Damoh,"Income Tax Office, Co Operative Bank Building, Damoh",,Income Tax Officer Damoh,5.0
Central Board of Direct Taxes (Income Tax),RANGE TDS BAREILLY,ITDSB,Income Tax Officer TDS Bareilly,Income Tax Officer TDS  Aaykar Bhawan Bareilly,243001.0,Income Tax Officer TDS Bareilly,5.0
Central Board of Direct Taxes (Income Tax),RANGE TDS BAREILLY,ITDSM,Income Tax Officer TDS Moradabad,"Income Tax Officer TDS Moradabad  Aaykar Bhawan, Civil Lines  Moradabad",244001.0,ITO TDS MORADABAD,5.0
Central Board of Direct Taxes (Income Tax),RANGE TDS BAREILLY,ITDSS,Income Tax Officer TDS Sitapur,"Income Tax Officer TDS  Aaykar Bhawan, Head Post Office Road  Sitapur",261001.0,Income Tax Officer TDS Sitapur,5.0
Central Board of Direct Taxes (Income Tax),Income tax E Range Jodhpur,ITEAJ,Ward Exemption Ajmer,"ITO (Exemption)  Ajmer, Income Tax Office  Room NO. 114 , Opp. Session Court  Jaipur Road  Ajmer",305001.0,ITO Exemption Ajmer,5.0
Central Board of Direct Taxes (Income Tax),income tax E Range Jaipur,ITEAL,Exemption Ward Alwar,"ITO (Exemption) Alwar, Income Tax Office , Moti Dungari  Alwar",301001.0,ITO Exemption Alwar,5.0
Central Board of Direct Taxes (Income Tax),Income tax E Range Jodhpur,ITEBK,Ward Exemption Bikaner,"ITO Exemption Bikaner Income Tax Office Rani Bazar,  Near Railway Station  Bikaner",,ITO Exemption Bikaner,5.0
Central Board of Direct Taxes (Income Tax),Range3 Etah,ITEC1,Income Tax Circle 1 etah,"Railway Road, Etah,  ",207001.0,DCIT Circle Etah,5.0
Central Board of Direct Taxes (Income Tax),income tax E Range Jaipur,ITEJ1,Exemption Ward 1 Jaipur,"ITO(Exemption)  Ward 1  Jaipur, 3rd Floor  Kailash Heights  Tonk Road , Jaipur",302015.0,ITOExemption Ward 1 Jaipur,5.0
Central Board of Direct Taxes (Income Tax),income tax E Range Jaipur,ITEJ2,Exemption ward 2 Jaipur,"ITO (Exemption)  Ward -2 , 3rd floor  Kailash Heights  Tonk Road, Jaipur",302015.0,ITO Exemption Ward 2 Jaipur,5.0
Central Board of Direct Taxes (Income Tax),Income tax E Range Jodhpur,ITEJO,Ward Exemption Jodhpur,"ITO Ward (Exemption)  Jodhpur, Room No. 56  Aayakar Bhawan, Paota C Road  Jodhpur",,ITO Ward Exemption Jodhpur,5.0
Central Board of Direct Taxes (Income Tax),income tax E Range Jaipur,ITEKT,ITO Exemption Kota,"ITO Exemptions  Kota, Income Tax Office , C.R. Building  Kota",324007.0,ITO Exemption Kota,5.0
Central Board of Direct Taxes (Income Tax),Income tax E Range Jodhpur,ITEUD,Ward Exemption Udaipur,"ITO EXEMPTION  INCOME TAX OFFICE  SUBCITY CENTRE  , SAVINA  UDAIPUR",,ITO Exemption Udaipur,5.0
Central Board of Direct Taxes (Income Tax),Range3 Etah,ITEW1,Income Tax Office Ward 4-3-1 Etah,"Railway Road Etah, Etah, Etah",207001.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT GNR RANGE GANDHINAGAR,ITGNR,Income Tax Department,"5th FLOOR  BLOCK NO 14  UDHYOG BHAVAN, SECTOR-11, GANDHINAGAR",382011.0,USELESS,5.0
Central Board of Direct Taxes (Income Tax),JCIT Range2 Tirupati,ITGW1,INCOME TAX OFFICE WARD 1 GUDUR,"2/44  NARSINGA RAO PETA, GUDUR, NELLORE DISTRICT",,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),JCIT Range2 Tirupati,ITGW2,INCOME TAX OFFICE WARD 2 GUDUR,"2/44  NARSINGA RAO PETA, GUDUR, NELLORE DISTRICT",,INCOME TAX OFFICER,6.0
Central Board of Direct Taxes (Income Tax),Range3 Etah,ITHT5,INCOME TAX OFFICER HATHRAS,"INCOME TAX OFFICE MATHURA ROAD  HATHRAS, MATHURA ROAD  HATHRAS, HATHRAS",204101.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of IncometaxIT hyderabad,ITIN1,INCOME TAX OFFICER IT 1 HYDERABAD,"5th Floor , Aayakar Bhavan  Basheerbagh, Hyderabad",500004.0,ITO IT 1,6.0
Central Board of Direct Taxes (Income Tax),Addl.Commissioner of IncometaxIT hyderabad,ITIN2,INCOME TAX OFFICER IT 2 HYDERABAD,"5th Floor  Aayakar Bhavan, Basheerbagh, Hyderabad",500004.0,INCOME TAX OFFICER IT 2,6.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of IncomeTax Range1 Kota,ITJHL,INCOME TAX OFFICER JHALAWAR,INCOME TAX OFFICER JHALAWAR JHALAWAR,326001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Range 1 Jammu,ITJK1,ITO 11,"Aayakar Bhawan Railhead Complex, Dr. Ambedkar Chowk Jammu,  ",180022.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Range 1 Jammu,ITJK2,ITO 12,"Aayakar Bhawan Railhead Complex, Dr. Ambedkar chowk Jammu,  ",180022.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Range 1 Jammu,ITJK3,ITO13,"Aayakar Bhawan Railhead Complex, Dr. Ambedkar chowk  Jammu,  ",180022.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Range 1 Jammu,ITJK4,ITO Kathua,"Income Tax office Kathua,  ,  ",,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Range 1 Jammu,ITJK5,Income Tax Officer Samba,Income Tax Office Vijaypur Samba,,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Range 1 Jammu,ITJKC,ACIT Circle1 Jammu,"Aayakar Bhawan Railhead Complex, Dr. Ambedkar Chowk Jammu,  ",180022.0,ACIT,5.0
Central Board of Direct Taxes (Income Tax),RANGE FAIZABAD,ITJN1,INCOME TAX OFFICER 1 JAUNPUR,"INCOME TAX OFFICE JAUNPUR,  ,  ",222002.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),RANGE FAIZABAD,ITJN2,INCOME TAX OFFICER 2 JAUNPUR,"INCOME TAX OFFICE JAUNPUR,  ,  ",222002.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),INTERNATIONAL TAXATION RANGE 13,ITJPR,DCIT Intl Tax JAIPUR,"DCIT Intl Tax, Room No 313 NCRB, Bhagwan Das Road Jaipur",302005.0,DCIT,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT TDS Ghaziabad,ITOMZ,Income Tax Officer Muzaffarnagar,Aayakar Bhawan Muzaffarnagar,,Income Tax Officer MZR TDS,5.0
Central Board of Direct Taxes (Income Tax),Jt CIT Range1 Nsk,ITON1,Income Tax Officer Ward 1 Nashik,"Kendriya Rajaswa Bhawan , Gadkari Chowk , Nashik",422002.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Jt CIT Range1 Nsk,ITON2,Income Tax Officer Ward 2 Nashik,"Kendriya Rajaswa Bhawan, Gadkari Chowk, Nashik",422002.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),Jt CIT Range1 Nsk,ITON3,Income Tax Officer Ward 3 Nashik,"Kendriya Rajaswa Bhawan, Gadkari Chowk, Nashik",422002.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE3 NOIDA,ITON4,ITO Wd. 34 NOIDA,"AAYAKAR BHAWAN, A-2D  SECTOR-24, NOIDA",201301.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE3 NOIDA,ITON5,ITO Wd 35 NOIDA,AAYAKAR BHAWAN A-2D  SECTOR-24 NOIDA,201301.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITONA,ITO NAHAN,"ITO NAHAN, NEAR DELHI GATE NAHAN, NAHAN",173001.0,ITO Nahan,3.0
Central Board of Direct Taxes (Income Tax),Addl.CIT TDS Ghaziabad,ITOND,Income Tax Officer,Aayakar Bhawan Sector-24 Noida,,Income Tax Officer Noida,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 123,ITONK,ITO 1232,"Aaykar Bhavan room no 114, new marine lines, mumbai",400020.0,ITO 1232,6.0
Central Board of Direct Taxes (Income Tax),Commissioner of Income Tax NOIDA,ITONO,ITO Wd. 1 5 Noida,"Room no. 307, Aayakar Bhawan, A-2D  Sector-24  Noida",201301.0,ITO,4.0
Central Board of Direct Taxes (Income Tax),INTERNATIONAL TAXATION RANGE1,ITONP,ITO INTERNATIONAL TAXATION NAGPUR,"R NO 519 5TH FLOOR MECL BLDG, SEMINARY HILLS, NAGPUR",440006.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),Range 2 Jalandhar,ITONS,ITO NAWANSHEHAR,"Income Tax Officer, Nawanshehar,  ",,ITO Nawanshehar,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITONU,ITO NURPUR,"INCOME TAX DEPTT NURPUR, NURPUR, NURPUR",176202.0,ITO Nurpur,3.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 123,ITOOK,ITO 1234,"Aaykar Bhavan room no 123, New marine lines, mumbai",400020.0,ITO 1234,6.0
Central Board of Direct Taxes (Income Tax),JOINT COMMISSIONER RANGE ITARSI,ITOP1,Income Tax Officer 1 ward itarsi,"Aayakar Bhawan, Nyas Colony, Itarsi",461111.0,Income Tax Officer,
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOPA,ITO PALAMPUR,"INCOME TAX DEPARTMENT PALAMPUR, PALAMPUR, PALAMPUR",176061.0,ITO Palampur,3.0
Central Board of Direct Taxes (Income Tax),Addl. Commissioner of Income Tax RChittor,ITOPG,Income Tax Department,"Aayakar Bhawan, Zero Mile Chouraha, Pratapgarh",312604.0,ITO Pratapgarh,5.0
Central Board of Direct Taxes (Income Tax),TDS RANGE PANCHKULA,ITOPL,ITO TDS PALAMPUR,"INCOME TAX OFFICER (TDS), AAYAKAR BHAWAN OPP. HOTEL HIGHLAND, NEAR NEW BUS STAND PALAMPUR",176061.0,INCOMETAX OFFICER TDS PALAMPUR,5.0
Central Board of Direct Taxes (Income Tax),Addl.CIT Rg 123,ITOPM,ITO1231,"Aaykar Bhavan room no 114, new marine lines, mumbai",400020.0,ITO 1231,6.0
Central Board of Direct Taxes (Income Tax),ADD CIT TDS RANGE THANE,ITOPN,ITO TDS PANVEL,"INCOME TAX OFFICE, AAYAKAR BHAVAN  PLOT NO.2 AND 2A  SECTOR 17, OPP.KHANDA COLONY  NEW PANVEL EAST  NAVI MUMBAI",410206.0,ITO TDS PANVEL,5.0
Central Board of Direct Taxes (Income Tax),RANGE SULTANPUR,ITOPR,INCOME OFFICER PRATAPGARH,"INCOME TAX OFFICE PRATAPGARH,  ,  ",230001.0,ITO,5.0
Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX SHIMLA,ITOPW,ITO PARWANOO,"ITO PARWANOO, INCOME TAX DEPTT  PARWANOO, WARD  PARWANOO",177220.0,ITO Parwanoo,3.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 18 3,ITOR1,ITO 18 3 1,"6th Floor  Earnest House, NCPA Marg  Nariman Point, MUMBAI",400021.0,ITO Ward 18 3 1,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 18 3,ITOR2,ITO 18 3 2,"6th Floor  Earnest House, NCPA Marg  Nariman Point, Mumbai",400021.0,ITO Ward 18 3 2,6.0
Central Board of Direct Taxes (Income Tax),ADDL CIT 18 3,ITOR3,ITO 18 3 3,"6th Floor  Earnest House, NCPA Marg  Nariman Point, Mumbai",400021.0,ITO ward 18 3 3,6.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE 4 INDORE,ITOR4,ITO 44,"314, INCOME TAX OFFICE  MAIN BUILDING, OPPOSITE WHITE CHURCH  INDORE",452001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT RANGE 4 INDORE,ITOR5,ITO 45,"ROOM NO. 315  3rd FLOOR   MAIN BUILDING  INCOME TA, X DEPARTMENT  INDORE  M.P.-452001",452001.0,INCOME TAX OFFICER 4 -5,5.0
Central Board of Direct Taxes (Income Tax),Range 2 Jammu,ITORA,ITORA,"Income Tax Officer  Near Sallane bridge , New Bus  Stand  Rajouri,  ",185131.0,Income Tax Officer,5.0
Central Board of Direct Taxes (Income Tax),JCIT SWM,ITOS1,WARD 1,"INCOME TAX OFFICE, KUMAWAT BHAWAN, SAWAIMADHOPUR",322001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT SWM,ITOS2,WARD 2,"INCOME TAX OFFICE, KUMAWAT BHAWAN, SAWAIMADHOPUR",322001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),JCIT SWM,ITOS3,WARD 3,"INCOME TAX OFFICER, KUMAWAT BHAWAN, SAWAIMADHOPUR",322001.0,INCOME TAX OFFICER,5.0
Central Board of Direct Taxes (Income Tax),ADDL CIT R2,ITOSK,ITOWD124,"ROOM NO. 207, 2ND FLOOR, AAYAKAR BHAVAN RACE COURSE  VADODARA",390007.0,ITO,5.0
