Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Government of Tripura,Directorate of Manpower and Planning,DEEGS,District Employment Exchange Gomati Tripura,Udaipur,P.O. R K Pur, ,799120,Assistant Employment Officer,4
Government of Tripura,Directorate of Manpower and Planning,DEEUT,District Employment Exchange,Kailashahar,Unakoti Tripura, ,799277,Assistant Employment Officer,4
Government of Tripura,Directorate of Manpower and Planning,DEEWS,District Employment Exchange West Tripura,Office Lane  Agartala, , ,799001,Senior Research Officer,4
Government of Tripura,Department of School Education,DEOBS,District Education Office South Tripura,District Education Office ,Belonia ,South Tripura.,NA,OSD,3
Government of Tripura,District Administration Sepahijala District,DCMTJ,DCM TAKARJALA,JAMPUIJALA,SEPAHIJALA,TRIPURA,799011,DCM,3
Government of Tripura,Department of Agriculture,DDAGO,DDA Gomati,Udaipur  Gomati Tripura,Dy. Director of Agriculture  Gomati District ,NA,799114,Dy. Director of Agriculture,3
Government of Tripura,District Administration Gomati District,DDAGU,Dy. Director of Agriculture Udaipur,O/o Dy. Director of Agriculture Udaipur,Gomati District,Udaipur,799114,Asst. Director,3
Government of Tripura,Department of Agriculture,DDAWT,Deputy Director of Agriculture West,Deputy Director of Agriculture West Tripura Distri,West Tripura District  A.D Nagar,Agrartala,799003,Deputy Director of Agriculture,3
Government of Tripura,Department of Agriculture,DDASE,Deputy Director of Agriculture,Deputy Director of Agriculture  Sepahijala,Sepahijala District,Tripura,799102,Deputy Director of Agriculture,3
Government of Tripura,District Administration Gomati District,DDFGD,DDF Udaipur,O/o DDF Udaipur,Gomati District, ,799120,Inspector of Food,3
Government of Tripura,District Administration Sepahijala District,DCMSM,DCM SONAMURA,SONAMURA,SEPAHIJALA,TRIPURA,799131,DCM,3
Government of Tripura,District Administration Sepahijala District,DCMMG,DCM MELAGHAR,MELAGHAR,SEPAHIJALA,TRIPURA,799115,DCM,3
Government of Tripura,District Administration Sepahijala District,DCMDP,DCM DHANPUR,DHANPUR  SONAMURA,SEPAHIJALA,TRIPURA,799131,DCM,3
Government of Tripura,District Administration Sepahijala District,DCMBG,DCM BISHALGARH,BISHALGARH,SEPAHIJALA,TRIPURA,799102,DCM,3
Government of Tripura,District Administration Sepahijala District,DCMBJ,DCM BISHRAMGANJ,BISHRAMGANJ,SEPAHIJALA,TRIPURA,799103,DCM,3
Government of Tripura,Department of Science Technology and Environment,DBTDR,Directorate of Biotechnology,Vigyan Bhawan  P.N. Complex Gurkhabasti  West Trip,ura Agartala,NA,799006,Project Officer,3
Government of Tripura,Government of Tripura,DAWTD,District Administration West Tripura District,Old Secretariat Building ,Agartala ,Tripura West,799001,Additional District Magistrate,2
Government of Tripura,Department of Finance,CT100,Commissioner of Taxes,P.N. Complex  Gurkhabasti  Agartala,NA,NA,799001,Addl. Commissioner of Taxes,3
Government of Tripura,Chief Minister's Office,CTFDE,Department of Forest,Dr. K Sasikumar, , ,NA,Deputy Conservator of Forest,3
Government of Tripura,SDPO DMN,CRBPS,Churaibari PS,Churaibari Police Station,North Tripura, ,799262,Sub Inspector,4
Government of Tripura,Chief Minister's Office,CRDDT,Department of Rural Development,Principal Secretary, , ,NA,Officer,3
Government of Tripura,District Administration Gomati District,DALOG,Labour Office Gomati,District Labour Office  Gomati District,Udaipur  DM office complex, ,799120,Labour Officer,3
Government of Tripura,Government of Tripura,DAUKD,District Administration Unakoti District,Kailashahar  Unakoti District,NA,NA,799277,Senior Deputy Collector,2
Government of Tripura,Government of Tripura,DASTD,District Administration South Tripura District,O/o the DM and Collector  South Tripura District  ,Belonia  Tripura ,NA,799155,Senior Deputy Magistrate,2
Government of Tripura,Government of Tripura,DAPNT,Department of General Administration Personnel and Training.,New Secretariat Building ,Kunjaban  Agartala ,Tripura,799006,Deputy Secretary,2
Government of Tripura,Government of Tripura,DASJD,District Administration Sepahijala District,O/o the DM and Collector  Sepahijala District  Bis,hramganj  Tripura,NA,799103,ADM and Collector,2
Government of Tripura,Government of Tripura,DANTD,District Administration North Tripura District,O/o the District Magistrate and Collector North Tr,ipura District Tripura,NA,799250,Addl.DM And Collector,2
Government of Tripura,Government of Tripura,DAGMD,District Administration Gomati District,Udaipur ,Gomati District, ,799116,Land Acquisition Officer,2
Government of Tripura,Government of Tripura,DAKWD,District Administration Khowai District,O/o the DM and Collector  Khowai District  Khowai, , ,799202,Deputy Collector,2
Government of Tripura,District Administration Gomati District,DADPO,District Panchayat Office Gomati,O/o the District Panchayat officer ,Gomati District  Udaipur, ,799120,PEO,3
Government of Tripura,Government of Tripura,DADLD,District Administration Dhalai District,O/o The DM and Collector  Dhalai District,Jawaharnagar  Ambassa,Tripura,799289,Office Superintendent,2
Government of Tripura,Chief Minister's Office,CURBN,Department of Urban Development,Secretary, , ,NA,Officer,3
Government of Tripura,Chief Minister's Office,CTPST,Tripura Public Service Commission,Secratary, , ,NA,Secratary,3
Government of Tripura,Chief Minister's Office,CTTAD,TTAADC,Shri Joydip Sengupta, , ,NA,Jr. Computer Engineer,3
Government of Tripura,Chief Minister's Office,CTSOB,Department of Welfare of SC and OBC,PG Nodal Officer, , ,NA,Joint Secretary,3
Government of Tripura,Department of Health and Family Welfare,CPPHC,Champaknagar PHC,Champaknagar PHC,West Tripura, ,NA,MOIC,3
Government of Tripura,Director General of Police Tripura,CMSAF,Commandant SAF,Agartala,A D Nagar Police lines, ,799003,Asstt.Commandant,4
Government of Tripura,Director General of Police Tripura,COB12,Commandant 12th Bn. TSR,PO- Chakmaghat,Teliamura  Khowai,Tripura,799205,TPS Grade II Asstt. Comndt.,4
Government of Tripura,Director General of Police Tripura,COB13,Commandant 13th Bn. TSR,Kanchanpur  Subash Nagar,North Tripura, ,799270,Nodal Officer,4
Government of Tripura,Director General of Police Tripura,COB1E,Commandant 11th Bn. TSR,Birbandhugram  Gakulnagar,Tripura West, ,799100,Assistant Commandant,4
Government of Tripura,Director General of Police Tripura,COB10,Commandant 10th Bn. TSR,Office of the Commandant 10th BN TSR(IR-V),Paschim Barjala  PO- NIT Agartala,Jirania  Tripura West,799046,Assistant Commandant,4
Government of Tripura,Director General of Police Tripura,COBN1,Commandant 1st Bn. TSR,Veer Bandhu Gram  Gakulnagar  Tripura West, , ,799100,Assistant Commandant,4
Government of Tripura,Director General of Police Tripura,COBN2,Commandant 2nd Bn. TSR,R.K. Nagar  PO- Kashnoagaon, , ,799008,Asstt.Comdt.,4
Government of Tripura,Director General of Police Tripura,COBN3,Commandant 3rd Bn. TSR,Kachucherra   PO-Kachucherra,Ambassa  Dhalai ,Tripura,799278,Nodal Officer,4
Government of Tripura,Director General of Police Tripura,COBN5,Commandant 5th Bn. TSR,Amarpur PO- Duluma  Gomati District ,Tripura,NA,799101,Asstt. Commandant,4
Government of Tripura,Director General of Police Tripura,COBN6,Commandant 6th Bn. TSR,East Ramchandraghat  PO- Ramchandraghat,Khowai  Tripura., ,799201,Asstt. Commandant,4
Government of Tripura,Director General of Police Tripura,COBN7,Commandant 7th Bn. TSR,Sankumabari  PO- Jampuijala,West Tripura., ,799102,Nodal Officer,4
Government of Tripura,Director General of Police Tripura,COBN8,Commandant 8th Bn. TSR,Lalcherra  PO- Chailengta ,Longtorai Valley   Dhalai  Tripura, ,799273,Nodal Officer,4
Government of Tripura,Director General of Police Tripura,COBN9,Commandant 9th Bn. TSR,Hichacherra ,Jolaibari  South Tripura, ,799141,Nodal Officer,4
Government of Tripura,Department of Home Police,DGPTR,Director General of Police Tripura,Fire Brigade Chowmohoni  Akhura Road  Agartala ,NA,NA,799001,ADGP,3
Government of Tripura,Department of Industries and Commerce,DHHST,Directorate of Handloom Handicraft Sericulture,Directorate of HHS,Indranagar  Opp. Gomati Dairy,Agartala  Tripura (W),799006,Additional Director,3
Government of Tripura,Department of Health and Family Welfare,DHGOM,DH GOMATI,DH  Gomati, , ,NA,MS,3
Government of Tripura,Department of Forest,DFWCT,DISTRICT FOREST OFFICER,O/o The DFO  West Tripura,Agartala, ,799001,DFO West Tripura,3
Government of Tripura,Department of Forest,DFSTC,DISTRICT FOREST OFFICER SOUTH TRIPURA,O/o The DFO  South Tripura,Bankar,P.O-Belonia,799155,DFO South Tripura,3
Government of Tripura,Department of Forest,DFUCT,DISTRICT FOREST OFFICER UNAKOTI,O/o The DFO  Unakoti,Near Bhabatarini Mandir,Kumarghat,799264,DFO Unakoti,3
Government of Tripura,Government of Tripura,DGACC,Department of GA Confidential and Cabinet,New Secretariat Building ,Kunjaban  Agartala ,Tripura West,NA,Head Assistant,2
Government of Tripura,Government of Tripura,DGAPS,Department of General Administration Printing and Stationery.,Tripura Government Press,Bardowali  Agartala ,Tripura,799003,Office Superintendent,2
Government of Tripura,Government of Tripura,DGAPW,Department of Public Works Roads and Buildings,New Secretariat Building,Agartala, ,799006,Executive Engineer,2
Government of Tripura,Government of Tripura,DGASA,Department of General Administration Secretariat Administration.,Secretariat ,New Capital Complex  Kunjaban,Agartala,799010,Section Officer,2
Government of Tripura,Department of Power,DGMCD,DGM Capital Complex ED,DGM Capital Complex ED  79 Tilla  Agartala, , ,799006,Sr. Manager,3
Government of Tripura,Department of Power,DGMCT,DGM C and T Bidyut Bhawan,DGM CT Bidyut Bhawan Complex  Agartala, , ,799001,DGM,3
Government of Tripura,Department of Forest,DFSCT,DISTRICT FOREST OFFICER SEPAHIJALA,O/o The DFO ,Sepahijala, ,799102,DFO Sepahijala,3
Government of Tripura,Department of Forest,DFHTC,DFO South,O/o DFO,South Bankar,PO Belonia,799155,DFO South,3
Government of Tripura,Department of Forest,DFGCT,DISTRICT FOREST OFFICER GOMATI,O/o The DFO  gOMATI,Udaipur,P.O-R.K.Pur,799120,DFO Gomati,3
Government of Tripura,Department of Forest,DFDCT,DISTRICT FOREST OFFICER DHALAI,O/o The DFO  Forest Complex Ambassa,NA,NA,799289,DFO Dhalai,3
Government of Tripura,Department of Forest,DFKCT,DISTRICT FOREST OFFICER KHOWAI,O/o The DFO,JOYNAGAR,TELIAMURA,799205,DFO Khowai,3
Government of Tripura,District Administration Gomati District,DFOGD,District Forest Office,O/o The District Forest Officer ,Gomati District,Udaipur,799120,PA II,3
Government of Tripura,Department of Forest,DFNCT,DISTRCIT FOREST OFFICER NORTH TRIPURA,O/o The DFO  Dharmanagar,Rajbari, ,799253,DFO NorthTripura,3
Government of Tripura,Department of Industries and Commerce,DICKL,District Industries Centre Kailashahar,District Industries Centre  Kailashahar,Unakoti District, ,799277,Extension Officer,3
Government of Tripura,Department of Industries and Commerce,DICAG,District Industries Centre Agartala,District Industries Centre,Khejurbagan  Agartala, ,799006,Assistant Director,3
Government of Tripura,Department of Industries and Commerce,DICDL,District Industries Centre Dhalai,General Manager  District Industries Centre,Ambassa  Dhalai District, ,799289,Assistant Director,3
Government of Tripura,Department of Industries and Commerce,DICUD,District Industries Centre Udaipur,General Manager  District Industries Centre,Gokulpur  Udaipur  Gomati District, ,799114,Assistant Director,3
Government of Tripura,Department of Power,DITC0,DGM IT Bidyut Bhawan Complex,DGM IT Bidyut Bhawan Complex Banamalipur  Agartala, , ,799001,DGM,3
Government of Tripura,Department of Revenue,DIRRR,Directotrate of RR and DM,Director Relief Rehabilation and Disaster Manageme,Govt. of Tripura,Agartala,799001,Officer,3
Government of Tripura,District Administration North Tripura District,DISE1,SWSE,O/o the Programme officer Social welfare  Social,North Tripura,Dharmanagar,799250,DISTRICT INSPECTOR,3
Government of Tripura,District Administration Gomati District,DISEU,District Inspector of Social Education,Tepania  PO- Gokulpur  PS- RK Pur,Udaipur,Gomati District,799114,Jr. SEO,3
Government of Tripura,Government of Tripura,DOWSC,Department of Welfare of Scheduled Caste,Directorate for Welfare of Sch. Castes P.N.Complex,  Agartala,NA,799006,Dy.Director,2
Government of Tripura,Government of Tripura,DOYAS,Department of Youth Affairs and Sports,Office Lane ,Agartala, ,799001,Assistant Director,2
Government of Tripura,Government of Tripura,DOWFM,Department of Welfare of Minorities,Old Secretariat Complex  Agartala  West Tripura Di,strict,NA,799001,Deputy Director,2
Government of Tripura,Government of Tripura,DOTWF,Department of Tribal Welfare,P. N. Complex,Gurkhabasti,Agartala,799006,Joint Director,2
Government of Tripura,Government of Tripura,DOUDV,Department of Urban Development,New Capital Complex,Khejurbagan,Agartala,799006,Joint Secretary,2
Government of Tripura,Department of Finance,DOT10,Directorate of Treasuries,New Civil Secretariat Building,Capital Complex, ,NA,E Treasury Officer,3
Government of Tripura,Government of Tripura,DOSTE,Department of Science Technology and Environment,Vigyan Prajukti O Paribesh Bhawan,Gourkhabasti  Pandit Nehru Complex ,Agartala ,799006,Joint Director,2
Government of Tripura,Department of Industries and Commerce,DOSDT,Directorate of Skill Development,Directorate of Skill Development Indranagar  Agart,ala,NA,799006,Joint Director,3
Government of Tripura,Government of Tripura,DOREV,Department of Revenue,New Secretariat Building  New Capital Complex  Khe,jurbagan  Agartala  Tripura,NA,799006,Office superintendent,2
Government of Tripura,Government of Tripura,DOLAB,Department of Labour,New Secretary Building,Agartala , ,799010,Secretary Govt of Tripura,2
Government of Tripura,Government of Tripura,DOLAW,Department of Law,Law Department 1st Floor  Room No. 1105  Secretari,at Building Khejur Bagan  Airport Road,NA,799006,ALC and Under Secretary Law,2
Government of Tripura,Government of Tripura,DOPOW,Department of Power,Bidhyut Bhavan TSECL,Banamalipur,Agartala Tripura,799001,Deputy General Manager,2
Government of Tripura,Government of Tripura,DOPLA,Department of Planning,New Capital Complex,Khejurbagan,Agartala,799006,Deputy Director,2
Government of Tripura,Government of Tripura,DOPNC,Department of Rural Development Panchayat,Directorate of Panchayats PN Complex  Gurkhabosti ,Agartala,NA,799006,Joint Director of Panchayats,2
Government of Tripura,Department of Rural Development,DMUTR,DM and Collector Unakoti District Tripura,O/o the DM and Collector Unakoti District Tripura, , ,799277,DM and Collector Unakoti,3
Government of Tripura,Department of Revenue,DMWES,District Magistrate Collector West,O/o the District Magistrate,West Tripura District,Agartala,799001,ADMII,3
Government of Tripura,Department of Revenue,DMUNA,District Magistrate Unakoti District,O/O the District Magistrate  Collector  Unakoti Di,Kailashahar, ,799277,TCS,3
Government of Tripura,Department of Rural Development,DMSTR,DM and Collector South District Tripura,O/o the DM and Collector South District Tripura, , ,799155,DM and Collector South,3
Government of Tripura,Department of Rural Development,DMWTR,DM and Collector West District Tripura,DM and Collector West District Tripura,Agartala,AGARTALA,799001,DM and Collector West,3
Government of Tripura,Government of Tripura,DOINC,Department of Industries and Commerce,Khejurbagan ,Agartala,Tripura West,799006,Joint Director MSME,2
Government of Tripura,Government of Tripura,DOINT,Department of Industries and Commerce Information Technology,ITI Road  Indranagar ,Agartala ,West Tripura,799006,Joint Director,2
Government of Tripura,Government of Tripura,DOICA,Department of Information and Cultural Affairs,Ramnagar Road No.3,P.O. Ramnagar  Agartala,Tripura West,799002,Accounts Officer,2
Government of Tripura,Government of Tripura,DOHOF,Department of Home Fire Service,Fire Brigade Chowmuhani Agartala  799001 West Trip,ura.,NA,799001,Joint Director of Fire Service,2
Government of Tripura,Government of Tripura,DOHOJ,Department of Home Jail,Prison Directorate,Agartala   West Tripura,NA,799007,Jailor,2
Government of Tripura,Government of Tripura,DOHOM,Department of Home Police,New Capital Complex,Khejurbagan,Agartala,799006,Under Secretary,2
Government of Tripura,Department of Agriculture,DOHSC,Directorate of Horticulture and Soil Conservation,Directorate of Horticulture and Soil Conservation,Paradise Chowmuhani  Agartala,Tripura West,799001,Deputy Director Horticulture,3
Government of Tripura,Directorate of Industries and Commerce,DOHHS,Directorate of HHS,Directorate of HHS,Indranagar  Opp. Gomati Dairy,Agartala  Tripura (W),799006,Additional Director,4
Government of Tripura,Government of Tripura,DOFSH,Department of Fisheries,P.N. Complex ,Gurkhabosti ,Agartala,799006,Joint Director of Fisheries,2
Government of Tripura,Government of Tripura,DOFCA,Food Civil Supplies and Consumer Affairs,Gurkhabasti ,P.N. Complex  Agartala.,Tripura,799006,Chief Inspector Food,2
Government of Tripura,Government of Tripura,DODTA,Department of Transport,Paribahan Bhavan Near Old Astabal Ground Tripura.,NA,NA,799001,Joint Transport Commissioner,2
Government of Tripura,Government of Tripura,DOARD,Department of Animal Resource Development,P.N. Complex Gurkhabosti  Opposite of Praggna Vhaw,an Agartala,NA,799006,Deputy Director,2
Government of Tripura,Government of Tripura,DOCEO,Department of Election,O/o the Chief Electoral Officer ,Old Secretariat Building ,Agartala,799001,Assistant Electoral Officer,2
Government of Tripura,Government of Tripura,DOCOP,Department of Cooperation,Palace Compound(North)  Agartala ,West Tripura District,Tripura,799001,Law Officer cum Draftsman,2
Government of Tripura,Department of Rural Development,DMKHT,DM and Collector Khowai District Tripura,O/o the DM and Collector Khowai District Tripura, , ,799201,DM and Collector Khowai,3
Government of Tripura,Department of Revenue,DMKHW,District Magistrate Collector Khowai,O/o the District Magistrate,Khowai District,Khowai,799202,Deputy Collector,3
Government of Tripura,Superintendent of Police North Tripura,DMN01,SDPO DMN,SDPO Office Dharmanagar,North Tripura,Dharmanagar,799250,Dy.SP,3
Government of Tripura,Department of Rural Development,DMNTR,DM and Collector North District Tripura,O/o the DM and Collector North District Tripura,Dharmanagar, ,799250,DM and Collector North,3
Government of Tripura,Department of Revenue,DMNOR,District Magistrate Collector North,O/o the District Magistrate,North  District,Dharmanagar,799250,Land Acquisition Officer,3
Government of Tripura,SDPO DMN,DMNPS,Dharmanagar PS,Dharmanagar Police Station,North Tripura, ,799250,Inspector,4
Government of Tripura,Department of Revenue,DMSPJ,District Magistrate Collector Sepahijala,O/o the District Magistrate,Sepahijala District,Bishramganj,799102,Senior Deputy Magistrate,3
Government of Tripura,Department of Revenue,DMSOU,District Magistrate Collector South,O/o the District Magistrate,Sousth Tripura District,Belonia,799155,Sr. Deputy Magistrate,3
Government of Tripura,Department of Rural Development,DMSPT,DM and Collector Sepahijala District Tripura,O/o the DM and Collector Sepahijala Dist. Tripura, , ,799103,DM and Collector Sepahijala,3
Government of Tripura,District Administration North Tripura District,DMC01,DHARMANAGAR MUNICIPAL COUNCIL,Dharmanagar, , ,799250,CHIEF EXECUTIVE OFFICER,3
Government of Tripura,SDPO PNS,DMCPS,Damcherra PS,Damcherra Police Station,North Tripura, ,799256,Sub Inspector,4
Government of Tripura,Department of Revenue,DMDHL,District Magistrate Collector Dhalai,O/o the District Magistrate,Dhalai District,Ambassa,799289,Office Superintendent,3
Government of Tripura,Department of Rural Development,DMDTR,DM and Collector Dhalai District Tripura,O/o the DM and Collector Dhalai District Tripura,Ambasa, ,799286,DM and Collector Dhalai,3
Government of Tripura,Department of Revenue,DMGOM,District Magistrate Collector Gomati,O/o the District Magistrate,Gomati District,Udaipur,799120,Deputy Collector,3
Government of Tripura,Department of Rural Development,DMGTR,DM and Collector Gomati District Tripura,O/o the DM and Collector Gomati District Tripura,Udaipur, ,799120,DM and Collector Gomati,3
Government of Tripura,Department of Revenue,DLRSW,Land Records Settl.,Palace Compound ,North Gate  Agartala  Tripura .,NA,799001,Director,3
Government of Tripura,Department of Cooperation,DRSSO,Dy. Registrar of Cooperative Societies South,Belonia  old SDM Complex ,South Tripura., ,799155,Asstt. RCS,3
Government of Tripura,Department of Power,DSLDC,DGM System Operation Division,DGM System Operation Division SLDC 79 Tilla,Agartala, ,NA,Manager,3
Government of Tripura,Department of Cooperation,DRCSS,Dy. Registrar of Cooperative Societies Sepahijala,Office Tilla  Agartala Bishalgarh Road,Sepahijala  Tripura, ,799102,Dy. RCS,3
Government of Tripura,Department of Cooperation,DRCSU,Dy. Registrar of Cooperative Societies Unakoti,Boulapassa  PS Road,Kailashahar  Unakoti., ,799277,Asstt. RCS,3
Government of Tripura,Department of Cooperation,DRCSW,Dy. Registrar of Cooperative Societies West,Palace Compound (North Gate),Agartala  Tripura, ,799001,Dy. RCS,3
Government of Tripura,Department of Cooperation,DRCSD,Dy. Registrar of Cooperative Societies Dhalai,Jawaharnagar ,Ambassa DM Complex  Room No. 312-313,Dhalai,799289,Asstt. RCS,3
Government of Tripura,Department of Cooperation,DRCSG,Dy. Registrar of Cooperative Societies Gomati,R.K. Pur  near Kailarmath ,Udaipur  Gomati., ,799120,Dy. RCS,3
Government of Tripura,Department of Cooperation,DRCSK,Dy. Registrar of Cooperative Societies Khowai,Hospital Road  Subhas Park ,Khowai., ,799201,Asstt. RCS,3
Government of Tripura,Department of Cooperation,DRCSN,Dy. Registrar of Cooperative Societies North,Rajbari  Hithasadani Coop. Marketing Society Ltd. ,Dharmanagar  North Tripura., ,799250,Dy. RCS,3
Government of Tripura,Government of Tripura,DPWDS,Department of Public Works Drinking Water and Sanitation,O/o the Chief Engineer,P.N. Complex  Gurkhabosti,Agrtala  Pin-799006,799010,Executive Engineer,2
Government of Tripura,Government of Tripura,DPWWR,Department of Public Works Water Resource,New Secretariat  Agartala, , ,799010,Executive Engineer,2
Government of Tripura,Department of Public Works Drinking Water and Sanitation,DPDUN,Public works Drinking Water and Sanitation,Pandith Neheru complex,Ghurkhabasti,kunjaban  Agartala,799006,Executive Engineer,3
Government of Tripura,Department of Rural Development Panchayat,DPOKH,"District Panchayat Office, Khowai",District Panchayat Office,Khowai,Khowai District,799201,District Panchayat Officer,3
Government of Tripura,Department of Planning,DPOGO,District Planning Officer Gomati,Udaipur, , ,NA,Nodal Officer,3
Government of Tripura,Department of Rural Development Panchayat,DPOGM,"District Panchayat Office, Gomati",District Panchayat Office Udaipur Gomati,NA,NA,799114,District Panchayat Officer,3
Government of Tripura,Department of Rural Development Panchayat,DPODH,"District Panchayat Office, Dhalai",District Panchayat Office,Ambassa,Dhalai,799289,District Panchayat Officer,3
Government of Tripura,Department of Planning,DPODL,District Planning Officer Dhalai,Ambassa  Dhalai, , ,NA,Nodal Officer,3
Government of Tripura,Department of Rural Development Panchayat,DPONT,"District Panchayat Office, North Tripura",District Panchayat Office,Dharmanagar,North Tripura,799250,District Panchayat Officer,3
Government of Tripura,Department of Rural Development Panchayat,DPOSJ,"District Panchayat Office, Sepahija",District Panchayat Office,Bisramganj,Sepahijala,799103,District Panchayat Office,3
Government of Tripura,DM and Collector West District Tripura,DPOWD,DPO West Tripura,DPO West,Pazim Tripura Zilla Parisad,Agartala,NA,DPO West,4
Government of Tripura,Department of Planning,DPOWS,District Planning Officer West,Agartala, , ,NA,Nodal Officer,3
Government of Tripura,District Administration West Tripura District,DPOWT,District Panchayat Officer,District Panchayat Officer,Paschim Tripura Zilla Parisad,West Tripura District,NA,DPO West Tripura,3
Government of Tripura,Department of Rural Development Panchayat,DPOTS,"District Panchayat Office, South Tripura",District Panchayat Office,Belonia,South Tripura,799155,District Panchayat Officer,3
Government of Tripura,Department of Rural Development Panchayat,DPOTW,"District Panchayat Office, West Tripura",District Panchayat Office,Agartala,West Tripura,799001,District Panchayat Officer,3
Government of Tripura,Department of Planning,DPOUD,District Planning Officer Unakoti,Kailashahar ,Tripura, ,NA,Nodal Officer,3
Government of Tripura,Department of Rural Development Panchayat,DPOUN,"District Panchayat Office, Unakoti",District Pancahayat Office,Kailashahar,Unakoti,799277,District Panchayat Officer,3
Government of Tripura,Department of Science Technology and Environment,DSTEN,DSTE North Tripura District,Kumarghat, , ,799264,Scientific Officer,3
Government of Tripura,Department of Science Technology and Environment,DSTES,DSTE South Tripura District,Udaipur, , ,799120,Scientific Officer,3
Government of Tripura,Department of Science Technology and Environment,DSTEW,DSTE West District Office,Vigyan Bhawan,Gorkhabasti,Agartala,799006,Scientific Officer,3
Government of Tripura,Department of Science Technology and Environment,DSTED,DSTE Dhalai District Office,DM Complex,Jaharnagar,Ambassa,799289,Scientific Officer,3
Government of Tripura,Government of Tripura,DSWSE,Department of Social Welfare and Social Education,Jagannath Bari Road,NA,NA,799005,CDPO,2
Government of Tripura,District Administration Gomati District,DTOGD,District Transport Office,DTO  Udaipur Gomati District,NA,NA,799120,DTO,3
Government of Tripura,Department of GA Political,DTESW,Directorate of Sainik Welfare,Gurkhabasti,Kunjaban,Agartala,799006,Head Clerk,3
Government of Tripura,Department of General Administration Personnel and Training.,DTPSC,Tripura Public Service Commission,Tripura Public Service Commission,Akhaura Road Agartala West Tripura, ,799001,Senior Librarian,3
Government of Tripura,District Administration Gomati District,DWOGD,District Welfare Officer,O/o the District Welfare Officer,Gomati District,Udaipur,799120,DWO,3
Government of Tripura,Department of Public Works Drinking Water and Sanitation,DWSCU,superintending Engineerdws circle Udp,381232547,superintending Engineer  DWS circle office ,Udaipur  Gomoti district,799120,ASSISTANT ENGINEER,3
Government of Tripura,Department of Public Works Drinking Water and Sanitation,DWSAC,dws circle agartal,Superintending Engineer  DWS Circle Agartala,Ghurkhabasti,kunjaban  Agartala,799006,Executive Engineer,3
Government of Tripura,Department of Public Works Drinking Water and Sanitation,DWSAM,S.E DWS circle Ambassa,Ambassa,Dhalai district,3826267231,799289,TA to S.E,3
Government of Tripura,Department of Public Works Drinking Water and Sanitation,DWSSO,Public works Drinking Water and Sanitation,Pandith Neheru complex,Ghurkhabasti,kunjaban  Agartala,799006,State Coordinator,3
Government of Tripura,Department of Public Works Drinking Water and Sanitation,DWSKG,dws circle kumarghat,kumarghat dws office,unokuti district,tripura,799264,Assistant Engineer,3
Government of Tripura,DM and Collector West District Tripura,DUKLI,BDO Dukli,Block Development Officer,Dukli Block,West Tripura,NA,BDO Dukli,4
Government of Tripura,Department of Labour,LABDR,Directorate of Labour,Labour Directorate   Govt. of Tripura,Jackson Gate  Agartala, ,799001,Labour Officer,3
Government of Tripura,District Administration Unakoti District,KGTSD,SDM Office Kumarghat,Kumarghat,Unakoti,District,799264,SDM,3
Government of Tripura,District Administration Unakoti District,KGTBD,BDO Kumarghat,BDO Office,Kumarghat,Unakoti District,799264,Block Development Officer,3
Government of Tripura,SDPO PNS,KDCPS,Khedacherra PS,Khedacherra Police Station,North Tripura, ,799256,Inspector,4
Government of Tripura,SDPO DMN,KDL01,Kadamtala PS,Kadamtala Police Station,North Tripura, ,799261,Sub Inspector,4
Government of Tripura,SDPO KCP,KCPPS,Kanchanpur PS,Kanchanpur Police Station  North Tripura,Kanchanpur,North Tripura,799270,Sub Inspector,4
Government of Tripura,Superintendent of Police North Tripura,KCP03,SDPO KCP,SDPO Office Kanchanpur,North Tripura,Kanchanpur,799270,Dy.SP,3
Government of Tripura,Department of Health and Family Welfare,KCPHC,Kanchanmala PHC,Kanchanmala PHC,West Tripura, ,NA,MOIC,3
Government of Tripura,Department of Health and Family Welfare,KBCHC,Karbook CHC,Karbook CHC, , ,NA,MOIC,3
Government of Tripura,Department of Youth Affairs and Sports,KHYAS,Khowai District YAS office,Khowai District YAS office,Khowai,NA,799202,Assistant Director,3
Government of Tripura,Directorate of Labour,KHLAB,Khowai District Labour Office,Near Sri Krishna Mandir,Khowai, ,799202,Labour Officer,4
Government of Tripura,District Education Office Dhalai Tripura,KMPST,INSPECTOR OF SCHOOLS KAMALPUR STATE,KAMALPUR,NEAR KC GIRLS HS SCHOOL,DHALAI,799285,DY INSPECTOR OF SCHOOLS,4
Government of Tripura,Department of Health and Family Welfare,KMPHC,Katlamara PHC,Kaltamara PHC,West Tripura, ,NA,MOIC,3
Government of Tripura,District Administration Unakoti District,KLSSD,SDM Kailashahar office,Office of the SDM  ,Kailashahar,Unakoti District,799277,SDM,3
Government of Tripura,DM and Collector West District Tripura,MANDW,BDO Mandwai,Block Development Officer,Mandwai,West Tripura,NA,BDO Mandwai,4
Government of Tripura,Department of Higher Education,MBBUN,Maharaja Bir Bikram University,MBB Univesity  College Tilla,Agartala  Tripura West,799004,799004,Asst. Controller Examinations,3
Government of Tripura,DM and Collector West District Tripura,LEFUN,BDO Lefunga,BDO Lefunga,Lefunga,West Tripura,NA,BDO Lefunga,4
