S. No,Name of Public Authority,%,Grade
153,"Standardization, Testing and Quality Certification(STQC) HQs",100%,A
154,Supreme Court Of India,92%,A
155,SVP National Police Academy,94%,A
156,Tariff Authority for Major Ports (TAMP),99%,A
157,"Tool Room & Training Centre, MSME",92%,A
158,Vijaya Bank,100%,A
159,"Agricultural Technology Application Research Institute(ATARI) Zone-III, Umiam",90%,B
160,Agriculture Insurance Company of India Limited,86%,B
161,"AIRPORT BORDER QUARANTINE, AMRITSAR",88%,B
162,"AIRPORT HEALTH ORGANISATION, MUMBAI",87%,B
163,Allahabad Bank,89%,B
164,"Biju Patnaik National Steel Institute, Ministry of steel",82%,B
165,"Board of Apprenticeship Training (BOAT) (W R)Mumbai",86%,B
166,"Board of Practical Training, Eastern Region, Kolkata",88%,B
167,Building Material and Technology Promotion Counil,84%,B
168,"CCBF, Hesserghatta",89%,B
169,"CECRI,Karaikudi",90%,B
170,"Central Administrative Tribunal, Bangalore Bench",81%,B
171,Central Cottage Industries Corporation of India Ltd.,86%,B
172,"Central Drug Standard Control Organisation (CDCSO)New Delhi",82%,B
173,"Central Drugs Testing Laboratory, Mumbai",87%,B
174,Central Institute of Agricultural Engineering,90%,B
175,"Central Institute of Fisheries Technology (CIFT),cochin",87%,B
176,"Central Institute of Plastics Engineering and Technology(CIPET)",84%,B
177,Central Potato Research Institute,87%,B
178,Central Soil Salinity Research Institute,87%,B
179,Central University of Rajasthan,85%,B
180,CENTRAL WAREHOUSING CORPORATION,89%,B
181,Central Wool Development Board (CWDB),84%,B
182,"CHRS, Ahmedabad",85%,B
183,"CICEF, Bangalore",86%,B
184,CIFNET KOCHI,90%,B
185,Cochin Shipyard Ltd.,80%,B
186,"Community Services Department, North DMC",87%,B
187,Consulate General of India   Hong Kong,88%,B
188,"Consulate General of India, Perth",90%,B
189,Council of Architecture,86%,B
190,"Delhi Institute of Heritage Research and Management(DIHRAM)",82%,B
191,Department of Administrative Reforms & PG,89%,B
192,"Department of Agricultural Research & Education(DARE)",85%,B
193,Department of Chemicals & Petrochemicals,88%,B
194,Department of Expenditure,86%,B
195,Department of Health Research,85%,B
196,Department Of Higher Education,90%,B
197,"Department of Justice,",86%,B
198,Department of Land Resources,83%,B
199,Department of Space-ISRO,85%,B
200,DIPAM ( Old name Department of Disinvestment),82%,B
201,"Directorate General of Employment, Ministry of Labour& Employment",81%,B
202,"Directorate of Construction, Services & EstateManagement(DCSEM)",80%,B
203,Directorate of Floricultural Research-ICAR,87%,B
204,"Directorate of Marketing And Inspection, Deptt ofAgriculture & cooperation",80%,B
205,"Dr. Ambedkar Institute of hotel management,Chandigarh",89%,B
206,EdCIL (India) Limited,84%,B
207,"Embassy of India, Beirut",88%,B
208,"Embassy of India, Berne",86%,B
209,"Embassy of India, Bogota (Colombia)",88%,B
210,"Embassy of India, Guatemala City",86%,B
211,"Embassy of India, Paris",84%,B
212,"Embassy of India, Tel Aviv, Israel",89%,B
213,"Embassy of India, Vienna",85%,B
214,"Embassy of India, Yangon, Myanmar",90%,B
215,Export Inspection Council of India,86%,B
216,"Fishery Survey of India,Mumbai",84%,B
217,Fluid Control Research Institute,82%,B
218,GAIL (India) Limited,88%,B
219,GAIL Gas Limited,80%,B
220,Ganga Flood Control Commission (GFCC),89%,B
221,Garden Reach Shipbuilders and Engineers Limited,88%,B
222,Goa Shipyard Limited (GSL),89%,B
223,"GST Commissionerate, Chandigarh ,Office of ChiefCommissioner of GST, Chandigarh Zone",90%,B
224,"GST, Shillong",88%,B
225,"Guru Nanak Dev Institute of Technology(GNDIT), GNCTof Delhi",80%,B
226,"Heavy Water Board (CO), HWP (Thal) snd HWP(Hazira)",87%,B
227,Heavy Water Plant (Kota),85%,B
228,"High Commission of India, Georgetown",86%,B
229,"High Commission of India, Ottawa",85%,B
230,Hindustan Petroleum Corporation Limited (HPCL),87%,B
231,Hindustan Shipyard Limited (HSL),85%,B
232,I I M Udaipur,85%,B
233,"ICAR- Indian Institute of Spices Research, Kozhikode,Kerala",88%,B
234,"ICAR-National Research Centre for Grapes, Pune",88%,B
235,IHM Goa,86%,B
236,IIIT_Lucknow,90%,B
237,INDIAN BUREAU OF MINES,82%,B
238,"Indian Council of Agricultural Research (ICAR)Headquaters",86%,B
239,Indian Grassland and Fodder Research Institute,81%,B
240,Indian Institute of Agricultural Biotechnology,81%,B
241,Indian Institute of Astro Physics,83%,B
242,"Indian Institute of Management (IIM), Ahmedabad",87%,B
243,Indian Institute of Management Bangalore,84%,B
244,Indian Institute of Management Kozhikode (IIMK),88%,B
245,"Indian Institute of Pulses Research (IIPR), Kanpur",85%,B
246,"Indian Institute of Science Education & Research (IISER) Tirupati.",83%,B
247,"Indian Institute of Science Education and Research,Kolkata",89%,B
248,"Indian Institute of Technology , Madras",82%,B
249,Indian Institute of Technology Jodhpur,83%,B
250,Indian Oil Corporation Limited (IOCL),85%,B
251,Indian Rare Earth Limited,84%,B
252,"INDIAN RENEWABLE ENERGY DEVELOPMENTAGENCY",88%,B
253,"Industries Department, GNCTD",84%,B
254,Institute of Chartered Accoutant of India,81%,B
255,Institute of Life Sciences,86%,B
256,IRCON International Limited,85%,B
257,ITI Ltd.Department of Telecommunications,89%,B
258,"LNJP National Institute of Criminology & ForensicScience",80%,B
259,"Maharshi Sandeepani Rashtriya Ved Vidya Pratishthan(MSRVVP)",81%,B
260,Ministry Of Housing And Urban Affairs,81%,B
261,Ministry of Information & Broadcasting,83%,B
262,Ministry of Steel,84%,B
263,Ministry of Textiles,82%,B
264,"Model Jail Chandigarh, DEPARTMENT OF PRISONSAND CORRECTIONAL ADMINISTRATION, U.T. OFCHANDIGARH",88%,B
265,"MSME Development Institute, Banglore",82%,B
266,"MSMEDI, Ahmedabad",84%,B
267,"MSMEDI, Cuttack",86%,B
268,"MSME-DI, Ranchi",88%,B
269,"MSMEDI, Thrissur",81%,B
270,National Bureau of Soil Survey & Land Use Planning,87%,B
271,National Centre for Trade Information(NCTI),88%,B
272,National Dairy Research Institute (ICAR),88%,B
273,National Handloom Development Corporation Limited,88%,B
274,"National Innovation Foundation India, Department ofScience & Technology",86%,B
275,"National Institute of Design, Ahmedabad",82%,B
276,National Institute of Plant Health Management,87%,B
277,"National Institute of Research on Jute and Allied FiberTechnology",82%,B
278,National Institute of Rock mechanics,86%,B
279,"NATIONAL SCHEDULED TRIBES FINANCE ANDDEVELOPMENT CORPORATION (NSTFDC)",81%,B
280,National Service Scheme,85%,B
281,National Test House,86%,B
282,National Thermal Power Corporation (NTPC) Ltd.,82%,B
283,National Water Development agency,89%,B
284,Nehru Yuva Kendra Sangathan (NYKS),80%,B
285,"NGRI, Hyderabad",88%,B
286,NIT Goa,89%,B
287,"Office of CAG  of india, IA&AD",86%,B
288,Office of Development Commissioner (Handlooms),86%,B
289,"Office of the Controller General of Patents, DesignsandTrade Marks",88%,B
290,"Office of the Pr. Commissioner , CGST & Central Exice,Raipur",85%,B
291,"OFFICE OF THE PRINCIPAL CHIEF COMMISSIONEROF INCOME TAX, KARNATAKA & GOA REGIONBANGALURU",87%,B
292,Petroleum Conservation Research Association,88%,B
293,"PORT HEALTH ORGANISATION, CHENNAI",84%,B
294,"PORT HEALTH ORGANISATION, KANDLA",89%,B
295,President Secretariate,89%,B
296,"Process and Product Development Centre (PPDC) , Agra",86%,B
297,"Protection of Plant Varieties and Farmers RightsAuthority",88%,B
298,Publication Division (B & R section),89%,B
299,"Quality Control Cell (QCCBNG) , Bangalore",90%,B
300,Rajasthan Electronics & Instruments Ltd,87%,B
301,Rajya Sainik Board Delhi,88%,B
302,"Rashtriya Ispat Nigam Limited, Visakhapatnam SteelPlant, Visakhapatnam",86%,B
303,Rashtriya Sanskrit Sansthan,82%,B
304,"Regional fodder station, Hisar",89%,B
305,"Regional Office(SEZ),Chennai, Ministry of Environment, Forest & Climate Change",88%,B
306,Sports Authority of India,88%,B
307,"State Council of Educational Research and Training(SCERT), U.T. Chandigarh",81%,B
308,Sugarcane Breeding Institute (ICAR),87%,B
309,Syndicate bank,80%,B
310,Tezpur University,88%,B
311,university of delhi,88%,B
312,UTI Infrastructure Technology And  Services Limited.,84%,B
313,Victoria Memorial Hall,85%,B
314,Vishakhapatnam Special Economic Zone (VSEZ),88%,B
315,Wildlife Crime Control Bureau.,89%,B
316,Acharya Narendra Dev College,80%,C
317,"AIRPORT HEALTH ORGANISATION, DELHI",79%,C
318,Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),77%,C
319,"Board of Apprenticeship Training, Chennai",75%,C
320,Board of Radiation and Isotope Technology,71%,C
321,Brahmaputra Cracker and Polymer Limited,77%,C
322,Bureau of Indian Standards,71%,C
323,"CCMB, Hyderabad",72%,C
324,"Central Agricultural University, Imphal",74%,C
325,"Central bank of India, department of finance services",71%,C
326,"CENTRAL DRUG STANDARD CONTROLORGANISAATION,KOLKATA",73%,C
327,Central Poultry Devlopment Organization (NR),74%,C
328,Central Silk Board,79%,C
329,Central University of Orissa,80%,C
330,"Central Water & Power Research Station (CWPRS),Ministry of Water resource",71%,C
331,"Centre for Development of Advanced Computing(CDAC), Pune",70%,C
332,"Coffee Board,Bangaluru, Ministry of Commerce &lndustry",78%,C
333,"Consulate General of India, Frankfurt",78%,C
334,"Consulate General of India, St. Petersburg",78%,C
335,"Controller General of Accounts (CGA), Department ofExpenditure",76%,C
336,Cotton Corporation of India Ltd,77%,C
337,"CSIR-CSIO,Chandigarh",75%,C
338,Defence Institute of Advanced Technology,77%,C
339,Delhi Sanskrit Academy,75%,C
340,Delhi Urban Art Commission,79%,C
341,Department of Atomic Energy,79%,C
342,Department of Commerce,74%,C
343,Department of Health & Family Welfare,71%,C
344,Department of Heavy Industries,71%,C
345,Department of Industrial Policy & Promotion,75%,C
346,Department of Pensions & Pensioners Welfare,78%,C
347,Department Of Personnel & Training,72%,C
348,Department of Scientific & Industrial Research (DSIR),76%,C
349,Directorate General of Foreign Trade,78%,C
350,Directorate General of Hydrocarbon (DGH),80%,C
351,Directorate of Purchase and Stores,71%,C
352,Directorate of Revenue Intelligence (Headquarters),72%,C
353,Directorate of Weed Science Research (ICAR),78%,C
354,"Dr. Goswami Giridhari Lal Shastri Prachya VidyaPratishthanam",75%,C
355,DRT-II Chennai,74%,C
356,"Drugs Control Department, Govt.. of NCT of Delhi",80%,C
357,"Embassy of India, Bamako",74%,C
358,"Embassy of India, Buenos Aires",80%,C
359,"Embassy of India, Cairo",77%,C
360,"Embassy of India, Tunis",76%,C
361,"Embassy of India, Ukraine",73%,C
362,Engineering Projects India Ltd.,76%,C
363,Gandhi Smriti Darshan Samiti,74%,C
364,"Govt. Medical College Hospital, Chandigarh",73%,C
365,"GST Commissionerate, Ludhiana ,Office of ChiefCommissioner of GST, Chandigarh Zone",76%,C
366,"High Commission of India, Canberra",77%,C
367,"High Commission of India, Dhaka",79%,C
368,"High Commission of India, Lilongwe",77%,C
369,Hindustan Copper Ltd.,76%,C
370,Hindustan Prefab Ltd.,76%,C
371,I I M Kashipur,73%,C
372,"ICAR - Indian Institute of Vegetable Research, Varanasi.",74%,C
373,"IHM , Chennai",75%,C
374,IHM GURDASPUR,75%,C
375,India Trade Promotion Organisation,74%,C
376,Indian Air Force,70%,C
377,Indian Institute of Management Rohtak,74%,C
378,"Indian Institute of Science Education & Research(IISER), Pune",72%,C
379,Indian Institute of Technology Goa,78%,C
380,Indian Institute of Technology Kharagpur,77%,C
381,Indian National Academy of Engg. (INAE),78%,C
382,"Indira Gandhi Delhi Technical University forWomen(IGDTUW), Govt. of Delhi",72%,C
383,Institute of Actuaries of India(IAI),79%,C
384,"INSTITUTE OF HOTEL MANAGEMENT AND CATERINGTECHNOLOGY, Kovalam (IHM Thiruvanathapuram)",73%,C
385,"Institute of Human Behaviour and Allied Sciences(IHBAS)",71%,C
386,"Kendriya Vidyalaya Sangthan (HQ), New Delhi",79%,C
387,Lakshmibai National Institute of Physical Education,80%,C
388,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,75%,C
389,Maulana Azad National Urdu University (MANUU),76%,C
390,Military Engineer Services,75%,C
391,Ministry of Human Resource Development,74%,C
392,Ministry of Parliamentry affairs,75%,C
393,Ministry of Shipping,73%,C
394,Ministry Of Social Justice & Empowerment,71%,C
395,"Ministry of Water Resources, RD & GR",74%,C
396,"Motilal Nehru National Institute of TechnologyAllahabad",80%,C
397,MSME-DI Raipur,77%,C
398,National Bureau of Fish Genetic Resources,71%,C
399,"National Centre for Antarctic & Ocean Research,Goa",73%,C
400,"National Centre for Medium Range WeatherForecasting(NCMRWF), Ministry of Earth Sciences",73%,C
401,NATIONAL Housing Bank(NHB),70%,C
402,National Informatics Centre,72%,C
403,"National Institute of Agricultural Economics and PolicyResearch",76%,C
404,National Institute of Open Schooling,76%,C
405,National Institute of Secondary Steel Technology,71%,C
406,"National Institute of Technology, Silchar",79%,C
407,National Institute of Urban Affairs,75%,C
408,National Internet Exchange Of India,76%,C
409,"National Projects Construction Corporation Limited(NPCC LTD.)",72%,C
410,National Research Centre on Equines (ICAR),75%,C
411,"National Trust for the Persons with Cerebral Palsy,Autism,Mental Retardation & Multiple Disability",72%,C
412,New Delhi Municipal Council (NDMC),75%,C
413,NHPC Ltd.,76%,C
414,"NIELIT, Kohima",79%,C
415,Niti Aayog,73%,C
416,North Eastern Council (NEC),76%,C
417,"Office of the Regional Administrator, Yanam",73%,C
418,Oil & Natural Gas Corporation Limited (ONGC),77%,C
419,Oil Industry Safety Directorate (OISD),77%,C
420,"Organisation & Method Department, North DMC",73%,C
421,"PDPM-IIITDM, Jabalpur",72%,C
422,Raman Research Institute,79%,C
423,"Regional Centre for Biotechnology, Faridabad Haryana",71%,C
424,"Regional Office of Health & Family Welfare, Chennai",77%,C
425,"Regional Office,South zone Bangalore, Ministry ofEnvironment & Forests",79%,C
426,"Registrar of Companies, Coimbatore",79%,C
427,SAFDARJUNG HOSPITAL,71%,C
428,Sardar Sarovar Construction Advisory Committee,75%,C
429,"Science and Engineering Research Board (SERB),Department of Science & Technology",77%,C
430,Tariff Commission,73%,C
431,"The North Eastern Development Finance CorporationLtd (NEDFi), Guwahati",73%,C
432,UPPER YAMUNA RIVER BOARD,71%,C
433,V.V. Giri National Labour Institute,77%,C
434,"Agricultural & Processed Food Products ExportDevelopment Authority",66%,D
435,"Ambedkar Institute of Technology, Delhi",66%,D
436,"ATOMIC MINERALS DIRECTORATE FOREXPLORATION & RESEARCH",62%,D
437,Babu Jagjiwan Ram National Foundation,62%,D
438,Bank of Baroda,68%,D
439,Bank of Maharashtra,62%,D
440,"Bengal Chemicals & Pharmaceuticals Ltd.,Departmentof Pharmaceuticals",60%,D
441,"Bhabha Atomic Research Centre, Trombay, Mumbai",62%,D
442,Bhai Parmanand Institute of Business Studies (BPIBS),66%,D
443,Bhaskaracharaya College of Applied Science,67%,D
444,"CCBF, Dhamrod",62%,D
445,"CENTRAL ADMINISTRATIVE TRIBUNAL, JABALPURBENCH, Jabalpur",65%,D
446,Central Agroforestry Research Institute(ICAR),66%,D
447,"Central Council for Research in Ayurvedic Sciences(CCRAS)",66%,D
448,Central Inland Fisheries Research Institute,62%,D
449,"Central Marine Fisheries Research Institute, Kochi",65%,D
450,CENTRAL SHEEP AND WOOL RESEARCH INSTITUTE,65%,D
451,Central University of Tamil Nadu,64%,D
452,"CFTI, Chennai",70%,D
453,"Chief Commissioner of Custms & Central Excise,Vadodara ZONE",69%,D
454,COIR BOARD,65%,D
455,Consulate General of India Phuenstholing,61%,D
456,"Consulate General of India, Toronto",64%,D
457,Consultancy Development Centre,62%,D
458,Container Corporation of India Ltd.,67%,D
459,Dena Bank,68%,D
460,Department of empowerment of person with disablites,67%,D
461,Department of Financial Services,69%,D
462,Department Of Posts,70%,D
463,Director General of Civil Aviation,66%,D
464,Directorate General All India Radio,62%,D
465,"Directorate General of Aeronautical Quality Assurance(DGAQA)",67%,D
466,"Directorate of Gurdwara Elections, Govt. of N.C.T ofDelhi",68%,D
467,Directorate of Millets Development,65%,D
468,"Directorate of Oilseeds Development, Hyderabad",67%,D
469,"Directorate of Rice Development,Department ofAgriculture & Cooperation",64%,D
470,Directorate of Training UTCS,65%,D
471,"Dr. B.R. Ambedkar National Institute of Technology,Jalandher",63%,D
472,"DRT, Aurangabad",62%,D
473,ECGC LTD,62%,D
474,Embassy of India Ljubljana,65%,D
475,Embassy of India Male,62%,D
476,"Embassy of India, Brasilia",68%,D
477,"Embassy of India, Sofia",67%,D
478,"Embassy of India, Warsaw, Poland",69%,D
479,"FFDC, Kannauj",68%,D
480,Forensic Science Laboratory Govt of NCT of delhi,65%,D
481,"GST Commissionerate, Jalandher ,Office of ChiefCommissioner of GST, Chandigarh Zone",70%,D
482,"High Commission of India, Kampala",66%,D
483,"ICAR-Central Coastal Agricultural ResearchInstitute(CCARI), GOA",66%,D
484,"ICAR-Central Institute for Research on Buffaloes(CIRB)",69%,D
485,ICAR-National Bureau of Plant Genetic Resources,61%,D
486,IFCI Limited (IFCI),63%,D
487,IHM Hyderabad,67%,D
488,"IIT, Ropar",64%,D
489,India Coast Guard,61%,D
490,Indian Army,69%,D
491,Indian Bank,63%,D
492,Indian Institute of Information Technology Dharwad,69%,D
493,"Indian Institute of Integrative Medicine (IIIM),Jammu",67%,D
494,Indian Institute of Management Indore,68%,D
495,Indian Institute of Management(I I M) Tiruchirappalli,68%,D
496,Indian Institute of Technology (IIT) Patna,62%,D
497,"Indian Institute of Technology (IIT), Bhubaneshwar",62%,D
498,Indian Institute of Technology Gandhinagar,69%,D
499,Indian Institute of Technology Roorkee,65%,D
500,"Institute of Hotel Management(IHM), Pusa, New Delhi",69%,D
501,"Jawaharlal Nehru Aluminium Research Developmentand Design Centre(JNARDDC), Nagpur",68%,D
502,Labour Bureau,60%,D
503,Labour Department Delhi,63%,D
504,Mahalanobis National Crop Forecast Centre,66%,D
505,"Malavya National Institute of Technology, Jaipur",69%,D
506,MECON Limited,69%,D
507,Ministry of culture,68%,D
508,Ministry of Electronics & Information Technology,64%,D
509,MSTC Limited,68%,D
510,National Centre for Cell Science(NCCS),65%,D
511,National Centre of Organic Farming,66%,D
512,National Council for Cement and Building Materials,65%,D
513,National Green Tribunal,62%,D
514,"National Institute of Miners' Health, Nagpur",70%,D
515,"National Institute of Technology, Calicut",61%,D
516,National Skill Development Corporation (NSDC),67%,D
517,NCHMCT NOIDA,65%,D
518,"NIPER, Rae Bareli",61%,D
519,NISCAIR,70%,D
520,NIT Mizoram,68%,D
521,"North Eastern Handicrafts and Handloom DevelopmentCorporation (NEHHDC)",68%,D
522,"North Eastern Regional Institute of Science andTechnology",64%,D
523,"North Eastern Regional Institute of Water and LandManagement (NERIWALM)",66%,D
524,Nuclear Fuel Complex (NFC),66%,D
525,Office of the Registrar General of India (ORGI),61%,D
526,"Office of the Chief Commissioner of Goods & Service Taxand Customs, Shillong Zone",65%,D
527,Punjab Engineering College,68%,D
528,Rajiv Gandhi Centre for Biotechnology,68%,D
529,"Rashtriya Mahila Kosh,  Ministry of Women & ChildDevelopment",62%,D
530,"REGIONAL OFFICE OF HEALTH AND FAMILYWELFARE, BHUBENESWAR",67%,D
531,"Rehabilitation Council of India, Ministry of social,Justice & Empowerment",69%,D
532,Reserve Bank Of India,60%,D
533,Rural Electrification Corporation Ltd.,62%,D
534,"Sardar Vallabhbhai National Institute of Technology(SVNIT)",68%,D
535,Secretariate of Vice President,69%,D
536,Solar Energy Corporation of India Limited,63%,D
537,SPMCIL Bank Note Press,63%,D
538,SPMCIL Currency Note Press Nashik,63%,D
539,Survey Of India,69%,D
540,Tata Institute of Fundamental Research,67%,D
541,Tata Memorial Centre,68%,D
542,"The Institute of Cost Accountants of India, Ministry ofCorporate Affairs",70%,D
543,The National Small Industries Corporation Ltd,60%,D
544,Union Bank of India,67%,D
545,United India Insurance Co. Ltd.,67%,D
546,Wadia Institute of Himalayan Geology,65%,D
547,"Advanced Materials and Processes Research Institute(AMPRI)",50%,E
548,"Aghakar Research Institute (ARI), Pune",23%,E
549,"Agricultural Technology Application Research Institute,Zone-V (KOLKATA)",36%,E
550,"Airport Health Organisation, Chennai",49%,E
