OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"SEBI, Head Office",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-01-31T00:00:00.000+0000,8.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-16T00:00:00.000+0000,16.0,अधीनस्थ अधिकारी के स्तर पर निस्तारित अधीनस्थ अधिकारी के स्तर पर निस्तारित कार्यालय द्वारा कोई कार्यवाही अपेक्ष्त नहीं है
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"JKGrievance, JKClerk",,,2023-05-11T00:00:00.000+0000,107.0,Grievance received by Subordinate Organisation from Web API
"Dr. Nazir Ahmad Khan, NotAvailable",,,2023-05-15T00:00:00.000+0000,4.0,"The Applicant has previously lodged four (04) Grievances regarding the same subject which have been disposed as per the report received from the Office of HOD Neurology SKIMS. The details are as under:
ID 999003893953 Date 10/05/2023
ID 999003657746 Date 23/01/2023
ID 999003464077 Date 25/10/2022
ID 999003440478 Date 16/10/2022

The report of HOD Neurology SKIMS is reproduced as under:
60 years Ghulam Mohi ud din S/O Mohammad Ismail R/O Kangan Ganderbal, MRD. No. 1316120 H/O old treated pulmonary Kochs admitted with chief complaints of sudden onset slurring of speech and deviation of angle of mouth. Patient was evaluated and CT Head revealed hypodensity in the right thalamus. MRI showed ACA / MCA water shed infarct. Patient also reported that he had significant weight loss anorexia for last 2 years. DSA documented 95% occlusion of Right ICA with flow limitation and contra lateral ICA showed 60% stenosis. In view of his constitutional symptoms and chronic cough, high ESR, HRCT Chest documented, diffuse centrilobular nodules showing tree in bud appearance with several nodular consolidations suggestive of reactivation of TB. General Medicine consultation was sought. Patient was started on ATT. Subsequently in view of carotid disease initially CEA planed however in view of comorbid illness and contralateral carotid disease. Carotid stenting was planned. However patient refused the procedure and took discharge on ATT and DAPT.

The report of HOD Neurology SKIMS in response to the feedback of applicant is reproduced as under:
Regarding the grievance lodged by Gh. Mustafa Konshi on J&K-IGRAMS, after reviewing the patient details with Sr. Resident and Assistant Professor, it was found found that patient namely Ghulam Mohi ud din S/O Mohammad Ismail R/O Kangan, MRD NO. 131620 was admitted under Department of Neurology on 02/09/2022 as a case of Ischemic Stroke. Since the patient had come to the Hospital outside window period of Thrombolysis, he was managed as Strok"
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Dinakar Sansare (ASO retired),,,2023-02-08T00:00:00.000+0000,15.0, Related to Ministry of Defence
,,,2023-04-05T00:00:00.000+0000,56.0,Case taken up earlier and since closed.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Sent to concerned unit
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Sent to concerned unit
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,noted
"GOVBH, PG OFFICER",,,2023-04-26T00:00:00.000+0000,93.0,Complaint details inadequate or not legible - mentioned application not found
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
"Online PGRO, Online PGRO",,,2023-01-23T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Seema (OA PG),,,2023-01-23T00:00:00.000+0000,0.0, Please examine the case and upload the portal by 25/01/2023.
DPS Headquarters (DPS Headquarters),,,2023-01-24T00:00:00.000+0000,1.0, Please examine the case and upload the portal by 25/01/2023.
Sr Manager (Sr Manager),,,2023-02-21T00:00:00.000+0000,28.0," वर्ष 2005 में ग्रुप-डी के एक पद के लिए ही भर्ती निकाली गयी थी और एक पद पर मेरिट लिस्ट के अनुसार चयनित श्री कपिल महाजन को नियुक्त किया जा चुका है और उन्होंने 03.04.2006 को पदभार ग्रहण किया 
 अत: पतिक्षारित उम्मीदवार (waiting list candidate) को समायोजित नहीं किया जा सकता 

आपकी इस प्रकार की शिकायत का निपटान इस विभाग द्वारा पहले भी किया जा चुका है 
"
DPS Headquarters (DPS Headquarters),,,2023-02-22T00:00:00.000+0000,29.0, वर्ष 2005 में ग्रुप-डी के एक पद के लिए ही भर्ती निकाली गयी थी और एक पद पर मेरिट लिस्ट के अनुसार चयनित श्री कपिल महाजन को नियुक्त किया जा चुका है और उन्होंने 03.04.2006 को पदभार ग्रहण किया अत: पतिक्षारित उम्मीदवार (waiting list candidate) को समायोजित नहीं किया जा सकता आपकी इस प्रकार की शिकायत का निपटान इस विभाग द्वारा पहले भी किया जा चुका है
,,,2023-01-24T00:00:00.000+0000,0.0,Sent to unit concerned.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Shri D. K. Rai (JS E),,,2023-01-29T00:00:00.000+0000,6.0,for necessary action please.
MR. RAKESH MITTAL (Joint Secretary Lands),,,2023-02-01T00:00:00.000+0000,3.0, 
SHARMISTHA MAITRA (DIRECTOR LANDS),,,2023-02-10T00:00:00.000+0000,9.0, The grievance closely pertains to your office. It is requested to examine the matter and take necessary action in this regard.
Srikant Sharma (Deputy Director),,,2023-02-21T00:00:00.000+0000,11.0, please look into the matter. 
Daman Singh (Assistant Director General),,,2023-02-22T00:00:00.000+0000,1.0, Forwarded for taking necessary action please.
Shri Navendra Nath (Director),,,2023-02-23T00:00:00.000+0000,1.0,Please examine the matter and give suitable reply to the complainant. Also confirm that the complainant was contacted telephonically by your office. Please ensure a gist of action taken on the portal also.
Anita Sayyanna (Office Superintendent),,,2023-03-06T00:00:00.000+0000,11.0, The complainant has been informed telephonically
Shri Navendra Nath (Director),,,2023-03-06T00:00:00.000+0000,0.0, The complainant has been informed telephonically
Daman Singh (Assistant Director General),,,2023-03-09T00:00:00.000+0000,3.0, The complainant has been informed telephonically
Abhishek Azad (Asstt Director General),,,2023-03-13T00:00:00.000+0000,4.0, Copy of reply is attached. Case closed. 
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,MEANINGLESS / VAGUE LETTERS
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
OSDBO (OSD),,,2023-01-23T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR. 
Kalyan Mahapatra (Chief Manager),,,2023-01-23T00:00:00.000+0000,0.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
Sri S RAJENDRAN (Dy General Manager),,,2023-01-30T00:00:00.000+0000,7.0,"The issue has been resolved and the same was conveyed to the complainant. A copy of the same has been attached for your kind perusal. In view of the same, we request you to treat this as dealt with."
Pawan Kumar Gupta (Chief Manager),,,2023-02-01T00:00:00.000+0000,2.0, Needful has since been done. 
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-24T00:00:00.000+0000,1.0,Grievance received by Subordinate Organisation from Web API
"श्री अलोक मीना, संयुक्त संचालक किसान कल्याण तथा कृषि विकास उज्जैन",,,2023-04-08T00:00:00.000+0000,74.0,Closed
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Case already taken up for examination
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Govind Mainkar (U S Retired),,,2023-01-28T00:00:00.000+0000,4.0,police
SHRI . G.B. Gurav (Deputy Secretary),,,2023-01-30T00:00:00.000+0000,2.0,Kindly take necessary action immediately
ANAND M. LIMAYE (ADDITIONAL CHIEF SECRETARY A AND S),,,2023-01-31T00:00:00.000+0000,1.0, 
MANJUNATH SINGE (A.I.G.P Law and Order),,,2023-01-31T00:00:00.000+0000,0.0," Kindly take necessary action and inform applicant.
Kindly submit your report on the portal.
"
Shri G.G.THATOD (Dy S.P. H.Q),,,2023-02-01T00:00:00.000+0000,1.0," Kindly take necessary action and inform applicant.
Kindly submit your report on the portal."
Shri G.G.THATOD (Dy S.P. H.Q),,,2023-02-11T00:00:00.000+0000,10.0," DEAR CITIZEN
PLEASE CHEKCK ATTACHMENT FILE
THANKU"
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,noted
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Nirmala Yadav (ASO),,,2023-01-25T00:00:00.000+0000,2.0, 
Grievance Cell (Support Executive),,,2023-02-17T00:00:00.000+0000,23.0,"Dear Resident

Aadhaar has been generated for the given EID No.4050120300020220221007173017 in the grievance application. While the postal copy of the aadhaar letter is being printed and posted, you are requested to download e-aadhaar using UIDAI link https://myaadhaar.uidai.gov.in.

Regards,
DD(TC)							
"
Grievance Cell (Support Executive),,,2023-02-17T00:00:00.000+0000,0.0," Aadhaar has been generated for the given EID No.4050120300020220221007173017 in the grievance application. While the postal copy of the aadhaar letter is being printed and posted, you are requested to download e-aadhaar using UIDAI link https://myaadhaar.uidai.gov.in."
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Vimal Anand (Director),,,2023-01-24T00:00:00.000+0000,0.0, This PG was pertains to the Department of Youth Affairs.
,,,2023-04-05T00:00:00.000+0000,71.0,
SUNDER SINGH (DEPUTY SECRETARY),,,2023-04-06T00:00:00.000+0000,1.0, Appropriate reply may please be given within the prescribed time limit.
MANISH KISHAN (Under Secretary),,,2023-04-10T00:00:00.000+0000,4.0," please take appropriatea action as per the extant rules on the subject matter to resolve the grievance.
"
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Guna Ram Engti (Dy. Secretary PPG),,,2023-01-27T00:00:00.000+0000,3.0,"Forwarded for needful action, please."
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-13T00:00:00.000+0000,17.0," Requested the CPRD, Assam to examine the Matter in the light of the existing PMAY--G Norms / Guidelines and do the needful action."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,5.0, Please take necessary action and dispose off the grievance and update
Saumya Dhar (ADPM RGSA),,,2023-02-23T00:00:00.000+0000,5.0, The concerned GP Secy is already been informed to take necessary action in this regard.
Shri Mukut Sarma (Asstt. Commissioner),,,2023-03-03T00:00:00.000+0000,8.0, The concerned GP Secy is already been informed to take necessary action in this regard.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-01-24T00:00:00.000+0000,1.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
Dr. Piyush Jain (Director),,,2023-01-27T00:00:00.000+0000,3.0,"Please refer section 136A inserted by the Motor Vehicle Amendment Act (32 of 2019), in the principal Act 1988, read with Central Motor Vehicles Rule 167A, 1989. Which has provided automated electronic monitoring and enforcement of Road Safety by the States/UTs for transparency. and the Motor vehicles (Driving) Regulations, 2017 has been notified by central Government in the official Gazette which shall be followed by every driver in letter and spirit."
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Kindly provide the complete details.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"JKGrievance, JKClerk",,,2023-05-11T00:00:00.000+0000,107.0,Grievance received by Subordinate Organisation from Web API
"DARPG.ADMIN1, DARPG.ADMIN1",,,2023-06-30T00:00:00.000+0000,50.0,"Sir, the instant Grievance does. not Pertains to this office With Regards JKLGGC"
,,,2023-07-03T00:00:00.000+0000,3.0,
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Mr. Raj Kumar (Deputy Secretary),,,2023-02-27T00:00:00.000+0000,34.0," For necessary action, pls."
S. K. Kotal (ASSISTANT DIRECTOR),,,2023-03-09T00:00:00.000+0000,10.0," File No. A-12034/2/2022-23-SDRD(Admin)
Government of India
Ministry of Statistics & Programme Implementation National Statistical Office
Survey Design and Research Division


164, Gopal Lal Tagore Road,
Kolkata- 700108

Dated: 09.03.2023

To,
Shri Parmod Kumar Thakur, Gosaipur, Paroha, Dist-Nalanda, Bihar, Pin: 843314


Sub.: Supply of Information under Public Grievances-reg.

Sir,
Kind	reference	is	invited	to	your	Public	Grievances	Registration number PMOPG/E/2023/0019142 dated 21.01.2023 received in this office on 02.03.2023.

The matter doesn’t pertain to this office. Therefore, this office is not in a position to take any action on this subject matter.



Yours faithfully,


(S. K. Kotal)
Assistant, Director
 SDRD, NSO

"
,,,2023-04-22T00:00:00.000+0000,,Pending near about for 90 days. Kindly expedite the matter.
S. K. Kotal (ASSISTANT DIRECTOR),,,2023-05-03T00:00:00.000+0000,55.0, Case disposed of.
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-01-24T00:00:00.000+0000,0.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
Dr. Piyush Jain (Director),,,2023-01-27T00:00:00.000+0000,3.0," Please refer section 136A inserted by the Motor Vehicle Amendment Act (32 of 2019), in the principal Act 1988, read with Central Motor Vehicles Rule 167A, 1989. Which has provided automated electronic monitoring and enforcement of Road Safety by the States/UTs for transparency. and the Motor vehicles (Driving) Regulations, 2017 has been notified by central Government in the official Gazette which shall be followed by every driver in letter and spirit."
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Complaint details inadequate or not legible
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,
"CMO, Secretary",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"SUKHEE RAM AWANA, Data Entry Operator",,,2023-03-25T00:00:00.000+0000,60.0,Your grievance disposed (Reject) successfully on 25-Mar-2023 19:01
,,,2023-01-21T00:00:00.000+0000,,
,,,2023-01-23T00:00:00.000+0000,0.0,
Mr. Raj Kumar (Deputy Secretary),,,2023-02-15T00:00:00.000+0000,23.0," For necessary action, pls"
