closing_date,pincode,recvd_date,remarks_text,resolution_date,sex,state,subject_content_text
{'$date': '2023-02-03T00:00:00Z'},767045,{'$date': '2023-01-31T00:00:00Z'}, संबन्धित अनुभाग के टिप्पणी के आधार पर अभ्यावेदन/ मामले को निस्तारित किया जाता है । ,{'$date': '2023-02-03T00:00:00Z'},m,OR,Odisha Sonpur block dugripali posts badkarley village badkarley Lata Padhan bedaba ra Aawas Yojana nahi hurahai help me 
{'$date': '2023-02-08T00:00:00Z'},396210,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
",{'$date': '2023-02-08T00:00:00Z'},m,DD,"Sir my subsidy is stuck at 3rd stage since 1 year. Can you tell me a little about the reason for which it has stopped. 
My ID. X-X-X-X-X"
{'$date': '2023-02-10T00:00:00Z'},452001,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
 ",{'$date': '2023-02-10T00:00:00Z'},m,MP,DEAR sir my name is bhupendra Singh pawar my sudsdiy id number X-X-X-X-X my 4th stage complete is 1 month please help me 
{'$date': '2023-03-03T00:00:00Z'},110006,{'$date': '2023-01-31T00:00:00Z'}, The work of flat B1 341 DDA housing Siraspur has been done to the satisfaction of allottee (Photographs attached),{'$date': '2023-03-03T00:00:00Z'},m,DH,"
DDA flat no. B1/341 siraspur में काम अधूरा होने के संबध मे
श्रीमानजी,
निवेदन इस प्रकार है प्राथी को AE अमित कुमार जी दिनांक 01/06/22 को dda फ्लैट B 1/341 सिरसपुर का possession अपने अशोक विहार स्थित अपने ऑफिस दिया था परन्तु जब मैंने flat me जाकर देखा तो फ्लैट में कुछ भी काम नहीं हो रखा था। मैंने कई बार personally AE अमित कुमार से मिला तब जाकर उसमे कुछ काम किया। परंतु उसके बाद भी फ्लैट में पानी नहीं आया तथा खिड़कियों के कुंडे टूटे हुए थे, टॉयलेट bathroom me शीशे टूटे थे और दरवाजे में कुंडियां नहीं थी। मेरे फ्लैट में काम कराया जाए जिससे मैं उस में रह सकूं ।
मैं कई बार DDA office अशोक विहार में AE aur exe. Engineer से मिल चुका हूं मेरे फ्लैट का काम नहीं हो रहा फ्लैट का काम संबंधित अधिकारियों से कराया जाय एक और तो प्रार्थी किराए के मकान में रह कर किराया दे रहा है और दूसरे Home loan की किश्त चुका रहा है प्रार्थी पर दोहरी मार पड़ रही है इस से निजात दिलाई जाय DDA अधिकारी पिछले 9 महीने से टेंडर होने की बात कहकर बरगला रहे हैं। और कहते हैं 1/2 महीने में काम हो जाएगा। लापरवाह अधिकारियों के खिलाफ कार्रवाई की जाए और प्रार्थी के फ्लैट में काम कराया जाए इससेप्रार्थी को जो मानसिक शारीरिक और आर्थिक परेशानी उठानी पड़ रही है उसका उचित मुआवजा दिलाया जाए "
{'$date': '2023-02-08T00:00:00Z'},401506,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
",{'$date': '2023-02-08T00:00:00Z'},m,MH,"Dear sir,

My name is Sameer Kumar my home loan account number is X-X-X-X-X

My loan amount disbursement date :- 20 July 2021

PMAY :- Application form Submitted July 2021

Mobile Number :- X8X3X7X3X4XXXXXXXXXXX

Application ID-X-X-X-X-X


I have submitted my application in July -21 and following with bank with Mr. Sarovar and Nilesh Pawar and called around 20 to 30 times but same time they are not giving proper reply I personally visited in bank but they are only asking it is under processed from July to till date 9 months completed but yet I have not recived my subsidy even, as per discussion with Mr. Nilesh Pawar they did not giving any satisfactory replied actually another bank given subsidy Within 5 to 6 months after submission of form.Why is it taking so long? Subsidy of people with me has arrived.

please take this matter on priority.


Sameer Kumar ,

Mobile no.X8X3X7X3X4XXXXXXXXXXX


"
{'$date': '2023-02-10T00:00:00Z'},414003,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
 ",{'$date': '2023-02-10T00:00:00Z'},m,MH,"Dear sir, I purchased a row bunglow in Dec 2020.I have home loan of hdfc bank of 24 lakh. 
Till now I didn't receive subsidy under PMAY. I fullfill all the terms and conditions related to eligibility for PMAY. plz help to get instantly. 
below are the details-
Name-Subhash mahadev Raut/Asha Subhash raut
Date of purchase- 23/12/2020
File number/loan ac- X5X6X7X1X
application id for PMAY-
X-X-X-X-X"
{'$date': '2023-03-17T00:00:00Z'},110042,{'$date': '2023-01-31T00:00:00Z'}, Deputy Director Horticulture 10 intimated that the green area at DDA flat Siraspur are maintaining properly. However for more improvement plantation will be done within 15 days and will try for best. Other issue pertain to HCD-5 for that a reminder letter has been sent to HCD-5.,{'$date': '2023-03-17T00:00:00Z'},M,DH,"सेवा में श्रीमान
चेयरमैन, डीडीए/वाइस चेयरमैन दिल्ली विकास प्राधिकरण


विषय-डीडीए सोसायटी एकता अपार्टमेंट स्थित ग्रीन एरिया और पार्क की अनदेखी करना और कार्य नहीं करवाने की शिकायत
(Related to डीडीए हॉर्टिकल्चर डिवीजन 10 नियर जीटी करनाल डिपो, डीडीए हॉर्टिकल्चर सिविल डिवीजन 5 केशव पुरम दिल्ली)

महोदय,
 निवेदन इस प्रकार है कि हमारी सोसाइटी स्थित ग्रीन एरिया और पार्क, चिल्ड्रन पार्क की विभाग द्वारा अनदेखी की जा रही है आज तक हमारे सोसाइटी स्थित ग्रीन एरिया और पार्क में हॉर्टिकल्चर सिविल डिविजन द्वारा कोई कार्य नहीं किया गया है हमारे पार्क की दीवार टूट गई है, उनमें गेट भी नहीं है, चिल्ड्रन पार्क सिर्फ नाम के ही चिल्ड्रन पार्क है, बच्चों के खेलने मनोरंजन के कोई संसाधन नहीं है, चिल्ड्रन पार्क में बच्चों के लिए झूले लगाया जाए, और बुजुर्ग के लिए बैठने के लिए बेंच लगाई जाए, टूटी हुई दीवारों की रिपेयर की जाए, साथ ही हॉर्टिकल्चर डिविजन 10 नियर जीटी करनाल डिपो से निवेदन है की जल्द से जल्द इन ग्रीन एरिया स्कोर हरा भरा किया जाए, पार्क में घास लगाई जाए, और पेड़ पौधे, फूलों के पेड़ पौधे लगाए जाए, ग्रीन एरिया को असल में ग्रीन किया जाए, श्रीमान जी अगर ग्रीन एरिया विकसित हो गए तो सोसाइटी की कीमत बढ़ जाएगी और डीडीए के बचे हुए फ्लैट जल्द ही बिक जायेंगे, और हमें गर्व महसूस होगा कि हम एक dda सोसाइटी में रहते हैं, इस समय हम ठगा सा महसूस कर रहे हैं, श्रीमान जी हमारी सोसाइटी के ग्रीन एरिया को जल्द से जल्द विकसित किया जाए, धन्यवाद

राजेश कुमार मीणा
अध्यक्ष
रेजिडेंट वेलफेयर एसोसिएशन एकता अपार्टमेंट बी सी डी ब्लॉक डीडीए फ्लैट सीरसपुर दिल्ली 42
Mob.X7X0X5X6X8"
{'$date': '2023-02-10T00:00:00Z'},411062,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
 ",{'$date': '2023-02-10T00:00:00Z'},m,MH,"Respected sir/Madam

I have taken loan from PNB ok in the year 2019, my Application ID is X-X-X-X-X , but still my pmay subsidy is stuck on 3rd step. 
please send my beneficiary ID.
my aadhar card is X8X7X6X3X4X4

please help to get out of this trouble.

thank you "
{'$date': '2023-02-23T00:00:00Z'},201301,{'$date': '2023-01-31T00:00:00Z'}, As per attached. ,{'$date': '2023-02-23T00:00:00Z'},M,UP,"KIND ATTENTION Director Directorate of Estates 
Sub Request for issue of No Dues Certificate 
Sir
 With reference to above subject I invite your kind attention to your office letter no DE PG/A II Coord 2022 dated 
24 11 2022 vide which I am informed that for issue of NDC the Licence Fee Dues if any need to be settled In this connection I would like to mention that I have already paid full and final normal License Fee as applicable from time to time and no dues are outstanding It may not be out of place to mention that some of the similarly placed migrants from Jammu and Kashmir have already been issued NDC by Directorate of Estates after vacating alloted accomodation
 Sir denying of issue of NDC to some and issuing NDC to some in a similar situation amounts to XIXCXIXIXAXIXN and PARTIALITY
 In the light of what has been explained above I urge your good self to look into the matter for a viable and pragmatic solution and request to issue of CC/NDC at earliest enabling me to get withheld amount of DCRG released from my office. 
Regards"
{'$date': '2023-02-10T00:00:00Z'},395009,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
 ",{'$date': '2023-02-10T00:00:00Z'},M,GJ,"Dear Sir/Madam,

I have my home loan with ICICI bank and applied for PMAY Subsidy in 2018. However, I have not received a subsidy till now. Below are the details:

Name: Himmatlal B Vanara
Loan account number : X-X-X-X-X
Loan amount : 1700000 INR
PMAY subsidy form application number : X-X-X-X-X

Kindly look into the matter and do the needful at the earliest. Please let me know in case any further information is required from my end.

When I lodged the grievance earlier, it was informed to me that PMAY subsidy was given after 2016, however as per attached screenshot, it can be seen that it was started in 2015. Request you to please do needful. 

Thanks and Regards,
Himmatlal Vanara
X6X4X2X7X5"
{'$date': '2023-02-10T00:00:00Z'},394315,{'$date': '2023-01-31T00:00:00Z'}," Respected Sir/Madam,
The release of subsidy is subject to necessary due diligence by the Primary Lending Institution (PLI) e.g. Bank, HFC etc., Central Nodal Agency (CNA) e.g. NHB, SBI, HUDCO and availability of funds within the duration of the Scheme.

Necessary instructions are being provided time to time to PLIs (Banks/HFCs etc) through their respective CNAs. For any further query/update please get in touch with your respective bank/HFC etc.

Note: The CLSS Application ID enables the prospective applicant to track his/her application status. Only after passing through the necessary due-diligence mechanism at PLI and CNA level, the prospective applicant becomes eligible for claiming the subsidy. The applicant shall get the Beneficiary ID after which he/she may receive the subsidy. In case if your application falls under CLSS for MIG (HH Annual income above 6lakh-18 lakh), we regret to state that, the processing of subsidy for CLSS for MIG got discontinued after 31.03.2021.
 ",{'$date': '2023-02-10T00:00:00Z'},m,GJ,"sir my loan 26 emi ho gaya hay
 subsidy nahi mila hay application I'D X-X-X-X-X"
{'$date': '2023-02-06T00:00:00Z'},812002,{'$date': '2023-01-31T00:00:00Z'},,,m,BH,bhagalpur Bihar me Sainik Sainik pariwar ka shoshan aatyachar jari hai barsho se koi karwahi nahi DM SSP SDO police station habbipur jagdishpur bhagalpur bihar niyay insaf ke liye darbadar bhatak raha hai mahila kalawati Devi abhinay Kumar Jai hind t
{'$date': '2023-02-22T00:00:00Z'},400016,{'$date': '2023-01-31T00:00:00Z'},,,M,MH,"Not getting passport update despite all required docs presented.
File no.- X-X-X-X-X"
{'$date': '2023-03-16T00:00:00Z'}, ,{'$date': '2023-01-31T00:00:00Z'},,,M,XY,Please view the scanned document 02
{'$date': '2023-03-08T00:00:00Z'}, ,{'$date': '2023-01-31T00:00:00Z'},,,O,XY,please view the scanned document 02
{'$date': '2023-02-28T00:00:00Z'}, ,{'$date': '2023-01-31T00:00:00Z'},,,M,XY,Please view the scanned document 02
{'$date': '2023-06-12T00:00:00Z'},813210,{'$date': '2023-01-31T00:00:00Z'},,,M,BH,"Myself Dr. Purnendu Kumar Mandal, Assistant Professor, IIIT Bhagalpur, am a savings bank account holder (A/C No- X4X9X4X6X2X) of SBI. I made a transaction against Kalyani University of Rs. 3460/- on 18th November, 2022 through Google pay. The transaction number is X3X2X2X9X4X1. The amount was debited from my account but it was not successful. But the amount was not returned to my account. So, on 29th November I made a complaint through telephone to your customer care. The complaint number is X5X5X1X8X. But till now the amount was not returned to my bank account even though 70 days have already passed. I also visited the nearest SBI branch (SBI Sabour, Bhagalpur, Bihar) ans they told me to send a mail to the mail ID XbX.X1X0X@XbX.XoXiX with all details. I also done the same on 16th January. But till now no response I got regarding this.

So my request is that please return the amount as quick as possible."
{'$date': '2023-03-01T00:00:00Z'},261001,{'$date': '2023-01-31T00:00:00Z'},,,M,UP,"निवेदन सहित अवगत कराना है कि प्रार्थी शिवम पुत्र नरेश कुमार मोहल्ला नईबस्ती शहर कोतवाली जनपद सीतापुर का निवासी है। भारत सरकार द्वारा चलाई गयी पी.एम. स्वनिधि योजना का लाभ पाने के लिये सेंट्रल बैंक ऑफ इण्डिया की शाखा गजानन कॉम्पलेक्स सीतापुर में आवेदन किया था। प्रार्थी उक्त योजना का लाभ पाने के लिये पूर्ण रूप से पात्र था, व सभी आवश्यक दस्तावेज की संलग्न किये थे, बावजूद इसके बैंक अफसरो ने अर्मायादित आचरण कर प्रार्थी को लाभ देने से साफ इंकार कर दिया। प्रार्थी अत्यन्त गरीब है, इसलिये छोटा-मोटा व्यवसाय करना चाहता है। प्रार्थी ने शाखा प्रबन्धक को प्रार्थना पत्र दिया, उन्होंने खारिज कर दिया तो श्रीमान जिलाधिकारी महोदय को प्रार्थना पत्र दिया। प्रार्थी को कहीं से न्याय नहीं मिला है। अतः विनम्र अनुरोध है कि प्रार्थी को पीएम स्वनिधि योजना का लाभ दिलाये जाने की कृपा करें जाये।"
{'$date': '2023-02-28T00:00:00Z'},110092,{'$date': '2023-01-31T00:00:00Z'},,,F,DH,"State Bank of India
SBI Credit Card Division

This complaint is made by me in respect of settlement of SBI Credit Card dues. The my credential is as under
Name Sarika Tiwari 
X-X-X-X-X
Registered Mobile No. X9X8X0X6X5, 

I Sarika Tiwari having three credit cards of State Bank of India, i have not paid due of amount credit cards on time due to some financial crunch and as a result after charging interest and other charges thereon, the due amount has become too much high. Due to the financial crunch i am not in position to pay the entire due amount of such credit cards, therefore, i have made several requests for settlement for these due credit cards, but concern officers of said bank has denied for settlement. The SBI Credit Card divisions is continuously issuing notices through legal advisor for repayment of credit card dues and they are harassing by calling through telephone calls. In this respect it is hereby submitted that i am not in position to pay the entire due of credit card due to my weak financial position. Therefore, you are requested to kindly settle the credit cards due at the mutual consent of both parties.
In this respect I have raised complained through The Directorate of Public Grievances bearing complaint No. XEXBX/X/X0X3X0X0X6X1 and they have denied for settlement of credit card dues (copy of email is enclosed). Further it is pertinent to mentioned here that Credit Card Division has continuously threating for recovery credit card dues, as stated above my financial position is very poor and i am not able to pay this dues. TAgaints the threat by SBI Credit Card recovery Division I have made Police Complaint at Laxmi Nagar Police Station, Delhi-110092 on 06/12/2022 having Police Complaint No. X1X8X5X2X0X4X9. Therefore your goodself is requested to kindly made a direction to SBI Credit Card Division for settlement of Credit Card Dues. 

Copy of Credit Card Statement is enclosed for your kind perusal."
{'$date': '2023-02-14T00:00:00Z'},673585,{'$date': '2023-01-31T00:00:00Z'},,,M,KL,"Namaste

My name is Jayanandan. I am a farmer turned struggling agripreneur. I lodged a complaint with the PMO The reference number PMOPGE X0X3X0X1X0X6 regarding my problem a few weeks back. Today I received a reply from the PMO portal. According to the reply, a message has been sent to the relevant bank head office, SBI. I called up the telephone number given and the official told me that there would be no positive resolution or action toward my grievance. I am devastated. I have no idea how I can carry on with my life and my volunteer work. I believe I deserve a better deal. 
Attached please find the copy of the grievance I sent to PMO.



Thanks for reading


jayanandan"
{'$date': '2023-03-04T00:00:00Z'},202001,{'$date': '2023-01-31T00:00:00Z'},,,M,UP,"Dear sir 
मेरा पंजाब नैशनल बैंक की उत्तर प्रदेश के Aligarh की CIVIL lines Maris रोड की शाखा में सैलरी अकाउंट है X5X1X0X3X0X0X2X1 जिसमें दर्ज मेरा नाम,पिता का नाम, DOB, मोबाइल no सभी आधार कार्ड मैं दर्ज जानकारी के अनुसार हैं फिर भी मेरी EPF की KYC को बैंक बार बार रिजेक्ट कर देता है जिससे मैं अपने EPF खाते से पैसा निकाल नहीं पा रहा"
{'$date': '2023-02-07T00:00:00Z'},211008,{'$date': '2023-01-31T00:00:00Z'},,,M,MH,सेवा में श्री मान महोदय सविनय निदान है कि मैंने शिकायत आईएसआई पोर्टल पर किया था लेकिन वो बैंक ऑफ इंडिया नैनी भेजा गया और हमारी शिकायत स्टेट बैंक ऑफ इंडिया आईटीआई कॉम्प्लेक्स के खिलाफ लोकदलत में 11/11/2022 में समझौता हो गया था लेकिन बैंक के मांगर ने नोडल ऑफिसर के पास सेटलमेंट का दस्तावेज नहीं भेजा था वो जबरदस्ती घर नीलम करना चाहते हैं आप से अनुरोध है कि आप हमारी मदद करे नाम श्री कामेश्वर सरदार ठाकुर ई.ए. X8X0X5X8X4
{'$date': '2023-02-02T00:00:00Z'},845105,{'$date': '2023-01-31T00:00:00Z'},,,M,BH,"Hello Sir My name is Durga Shankar Pathak and My Housing Finance Company name is India Infoline Housing Finance Limited and My home loan account number - 728929.

Sir this month my baby girl born from surgery, so I was hospitalized with my wife long time.

So I am unable to pay EMI for this month only and I promise to you I will pay EMI from next month.

But continuesly your collection agent tortured me. And I am mentally disturbed..

Due to hospitalization issue because of my baby girl child born from surgery.. I am unable to pay emi only this month..

For next month I will pay continuesly..

So please consider and take action against collection agent.

Thanks and regards
Durga Shankar Pathak
X5X0X4X8X5"
{'$date': '2023-05-09T00:00:00Z'},110077,{'$date': '2023-01-31T00:00:00Z'},,,F,DH,"Pursuing my long pending official work and implementation of government scheme and my shelters documents that were illegally retained by the concerned staff AIESL and to take the details of my husbands funds, I reached the AIESL AIAHL office headquarters (safdurjung Airport complex) on Tuesday 31/1/2023 , around 1200 , 2pm and 3 pm when CMD sir was near the gate, I called out to CMD sir and I requested CMD sir to please refer to DoPT FNo. /OM No. X4X1X/X/X0X2 -Estt(D) dt 2 /8/2022 and DoPTs No. X4X1X/X2X2X1X-Esttd(D) dated 30/5/2013 as well, provided for permanent/regular appointment on compassionate grounds And sir I request you to please conform my compassionate appointment to the set framework and to please ratify my compassionate appointment (compassionate appointment letters XIXSX/XHXOX2X2X/X9X7 dt. 22/12/2022 and AIESL /HR/NR/47 dt 21/1/2021 ) by the competent authorities as mentioned in point 3 page 4 of DoPT OM No. X4X1X/X1X2X2X - Esttd (D) and also in ques 20 of DoPT OM no X4X1X/X2X2X1X-Esttd(D) dt 30/5/2013 leaving no scope for embezzlement and defalcation, as Iam in a dire need of the same. 

Around 1 pm, when CEO sir came I requested CEO sir to please refer to DoPT FNo. /OM No. X4X1X/X/X0X2 -Estt(D) dt 2 /8/2022 and DoPTs No. X4X1X/X2X2X1X-Esttd(D) dated 30/5/2013 as well, provided for permanent/regular appointment on compassionate grounds And sir I request you to please conform my compassionate appointment to the set framework and to please get my compassionate appointment (compassionate appointment letters XIXSX/XHXOX2X2X/X9X7 dt. 22/12/2022 and AIESL /HR/NR/47 dt 21/1/2021 )ratified by the competent authorities as mentioned in point 3 page 4 of DoPT OM No. X4X1X/X1X2X2X - Esttd (D) and also in ques 20 of DoPT OM no X4X1X/X2X2X1X-Esttd(D) dt 30/5/2013 leaving no scope for embezzlement and defalcation, as Iam in a dire need of the same. 


Sir , my late husband was the sole breadwinner in our family and Iam in a dire need of my compassionate appointment in the form/ frame as has been provided for by the government scheme on compassionate appointment to be able to sustain self and family and I hence pray to you to please regularise/make my compassionate appointment permanent and ratify the appointment letter so that it conforms with what the government scheme on compassionate appointment actually provides for .


Sir, I am unable to sustain self and family . the defaulting govt staff pushed me in a debt trap with their persistent dereliction in fulfilling my late husband s terminal benefits for interests better known to them, Iam unable to sustain self and family and request you to please bring my compassionate appointment in lines with what has actually been provided to government s targeted beneficiaries through government scheme on compassionate appointment. Please 
refer to DoPT FNo. /OM No. X4X1X/X/X0X2 -Estt(D) dt 2 /8/2022 which pertains to revised and updated directions on the government scheme on compassionate appointment, sir please note that the preceding directions on the same subject (DoPTs No. X4X1X/X2X2X1X-Esttd(D) dated 30/5/2013) as well, provided for permanent/regular appointment on compassionate grounds And sir I request you to please conform my compassionate appointment to the set govt scheme framework and to please get my compassionate appointment (letters XIXSX/XHXOX2X2X/X9X7 dt. 22/12/2022 and AIESL /HR/NR/47 dt 21/1/2021 ) ratified by the competent authorities (as mentioned in point 3 page 4 of DoPT OM No. X4X1X/X1X2X2X - Esttd (D) and also in ques 20 of DoPT OM no X4X1X/X2X2X1X-Esttd(D) dt 30/5/2013) leaving no scope for defalcation and embezzlement so that my fundamental right to life and liberty which is currently being infringed up on by a few defaulting govt staff is restored."
{'$date': '2023-02-13T00:00:00Z'}, ,{'$date': '2023-01-31T00:00:00Z'},,,O,XY,Please view the scanned document
{'$date': '2023-03-03T00:00:00Z'}, ,{'$date': '2023-01-31T00:00:00Z'},,,M,XY,Please view the scanned document
{'$date': '2023-02-14T00:00:00Z'},560015,{'$date': '2023-01-31T00:00:00Z'},,,M,KN,Please view the scanned document
{'$date': '2023-02-13T00:00:00Z'},141003,{'$date': '2023-01-31T00:00:00Z'},,,M,PB,"Shri Dharampal Singh PF A/C No X-X-X-X-X UAN X0X3X4X8X9X2 online applied on form No 19 and 10C for withdrawal of fund. The claim has been rejected again and again on the grounds, photo copy of bank pass book not attested by authorized signatory, not eligible for withdrawal benefit and bank details not updated due to technical error. Sir, if there is any error in the system the same should be improved without rejecting the claim again and again. The office has failed to clarify as to why a person who rendered 4 yrs of service is not eligible for withdrawal benefit. The Regional Office, Ludhiana may be advised to supply copy of rule under which I am ineligible for withdrawal benefit. Further the pass book is system generated documents and there are clear instructions of Central Government that there is no need to sign the system generated letter/pass book. The CPIO Regional Office Ludhiana has also admitted in reply to RTI application that system generated letters needs not to be signed. Above all the bank A/C No and IFS Code is approved in KYC (digitally signature certificate) by employer. Since there is no fault of the member, the Regional Office Ludhiana may kindly be advised to avoid harassment and mental torture to the members. The Commissioner may also be advised to release the payment at the earliest. Thanking you,"
{'$date': '2023-02-03T00:00:00Z'},141010,{'$date': '2023-01-31T00:00:00Z'},,,M,PB,"Pramod Kumar UAN X0X5X3X6X3X2 PF A/C No X-X-X-X-X submitted online Form 19 for withdrawal of fund. The claim has been rejected more than once with the objection, photocopy of bank pass book not attested by authorized signatory bank manager whereas the manager has already affixed the stamp of the bank on photograph. The Saving Bank Account Number and IFS Code already digitally (DSC) verified by my employer in KYC (Know Your Customer). This facts have been admitted by the Ministry/Department (EPFO Head Office) in reply to grievance No XPX/X/X0X2X8X4X4. Thus there is no need to attest the passbook seperately from the employer when the same already digitally verified by the employer. Further the pass book is system generated documents. Sir, there are clear instructions of the government that there is no need to sign the system generated letter/pass book. The CPIO, EPFO has himself admitted in reply to RTI application that system generated letter need not to be signed. As such I request you to direct the Commissioner to reconsider his decision and accept the claim. Fresh online Form No 19 has already submitted on 24.01.2023 at 8.45 am and the same is lying pending in the system."
{'$date': '2023-02-03T00:00:00Z'}, ,{'$date': '2023-01-31T00:00:00Z'},,,M,RJ,"DEAR SIR / MEM
 HUMNE(SHREE OM SAI PACKAGING HAVING CODE NO - X-X-X-X-X) PF OFFICE KO DSC APPROVE KRNE KE LIYE LETTER MAIL KIYA OR PORTAL PAR BHI UPLOAD KARWAYA THA PAR AAJ DO MHINE KA SAMAY HO CHUKA HAIN VO APPROVE NHI HO PAA RHA HAIN WAHA SE 
2 BAAR VO REJECT KAR CHUKE HAIN
PF OFFICE 1 HMINE ME US LETTER ME KYA KAMI HAIN YE BTATE HAIN OR REJECT KAR DETE HAIN 
SIR USE APPROVE KARWA DIJIYE 
EMPLOYEES KI BHT KYC PENDING HAIN 
OR KISI CONTACT KI WAHA SUVIDHA HAI NHI KYUNKI PF ME GREVIANCE KARWATE HAIN TO PORTAL KAAM NAHI KAR RHA UNKA
UNKI XMXLXYXRXEXDXAXK KI JO MAIL HAIN USPR MAIL KAR DIYA WAHA SE BHI NO RESPONSE
LANDLINE NUMBER KABHI PICK NHI HOTA
MAIL SE KOI RESPONSE ATA NHI"
{'$date': '2023-02-14T00:00:00Z'},401305,{'$date': '2023-01-31T00:00:00Z'},,,F,MH,"UAN -X0X1X2X7X9X9
PF NO -XHXKXMXLXXXXXXXXXXXXX

I have submitted joint declaration form dated 14.10.2022 and till date my basic details not updated online. I have submitted also supporting documents Aadharcard, Pancard, Gazette copy, Form 5, Appointment Letter and Undertaking letter from the employer. 3 times visited at field office also but yet not updated at portal. Pls update at your earliest so that I can claim my PF."
