OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Sh. Ramesh Chand (Jt. DIT OSD),,,2023-03-18T00:00:00.000+0000,5.0,"Based on the following comments received from field formation
In view of comment at sl. no. 09, PAN EGXPA9717G has already been dispatched vide post RT911819541IN on 08.03.2023. Thus the grievance may be treated as redressed.
In view of the above CPGRAM is being closed.
"
,,,2023-01-24T00:00:00.000+0000,,
Sh.Subodh Kumar Singh (Joint Secretary Storage and PG),,,2023-01-25T00:00:00.000+0000,0.0, FCI is concerned with it.
Raman Lal Meena (Dy. General Manager CLO),,,2023-01-25T00:00:00.000+0000,0.0,"महोदय, कृपया प्राथमिकता के आधार पर इस शिकायत की जांच कर 10 दिनों के भीतर सीधे आवेदक को जवाब दें। साथ ही इसकी सूचना संबंधित अग्रेषण प्राधिकारी, अवर सचिव (लोक शिकायत) (email id - usstg.fpd@nic.in), खाद्य एवं सार्वजनिक वितरण विभाग, कृषि भवन, नई दिल्ली तथा लाईजन सैल, भा.खा.नि., मुख्यालय को भी दें।
"
Sh. Yogender Singh (DGM Import and Export),,,2023-01-30T00:00:00.000+0000,5.0," In this regard, it is to inform you that the above referred grievances
are repeated in nature and the reply has already been sent recently
vide letter no. 12/1(8)/2012-I&E dated 09.01.2023 and 23.12.2022.
Being the policy issue, the subject matter has already been decided by
the Ministry / GOI and also informed to you by MOCAF&PD vide letter
no.4-4/2017-impex dated 24.04.2018 and by this office again and again
vide letters dated 18.03.2019, 10.07.2019, 19.07.2019, 11.10.2019,
02.12.2019, 05.03.2020, 13.10.2020, 29.06.2021,11.02.2021,
15.02.2021, 27.04.2021, 28.05.2021, 21.06.2021, 29.06.2021,
16.07.2021, 20.07.2021, 27.08.2021, 28.10.2021, 24.05.2022,
07.06.2022, 22.06.2022 , 05.08.2022, 06.10.2022, 02.11.2022,
22.11.2022, 08.12.2022. Further, in the instant matter MoCAF&PD
vide letter dated 23.01.2023 has also informed you that ,” Since there
is no new facts has been brought forward hence it is informed
that no further representation / appeals containing similar
will be entertained on the issue in future”.
Hence, your present grievance and appeals is disposed of accordingly
and it is to inform you that no such references made in future to FCI as
the decision of the matter has already been conveyed to your good self."
Raman Lal Meena (Dy. General Manager CLO),,,2023-01-30T00:00:00.000+0000,0.0,"Import and Export Section, FCI, Hqrs, vide letter No. 12/1(8)/2012-I&E dated 30/27.01.2023 has informed the complainant that the above referred grievances are repeated in nature and the reply has already been sent recently vide letter no. 12/1(8)/2012-I&E dated 09.01.2023 and 23.12.2022. Being the policy issue, the subject matter has already been decided by the Ministry / GOI and also informed to him by MOCAF&PD vide letter no.4-4/2017-impex dated 24.04.2018 and by I&E Section again and again vide letters dated 18.03.2019, 10.07.2019, 19.07.2019, 11.10.2019, 02.12.2019, 05.03.2020, 13.10.2020, 29.06.2021,11.02.2021, 15.02.2021, 27.04.2021, 28.05.2021, 21.06.2021, 29.06.2021, 16.07.2021, 20.07.2021, 27.08.2021, 28.10.2021, 24.05.2022, 07.06.2022, 22.06.2022, 05.08.2022, 06.10.2022, 02.11.2022, 22.11.2022, 08.12.2022. Further, in the instant matter MOCAF&PD vide letter dated 23.01.2023 has also informed him that, Since there is no new facts has been brought forward hence it is informed that no further representation / appeals containing similar facts will be entertained on the issue in future. Hence, his present grievance and appeals is disposed of accordingly and it is to inform him that no such references made in future to FCI as the decision of the matter has already been conveyed to his good self."
Sh.Subodh Kumar Singh (Joint Secretary Storage and PG),,,2023-01-31T00:00:00.000+0000,1.0," Import and Export Section, FCI, Hqrs, vide letter No. 12/1(8)/2012-I&E dated 30/27.01.2023 has informed the complainant that the above referred grievances are repeated in nature and the reply has already been sent recently vide letter no. 12/1(8)/2012-I&E dated 09.01.2023 and 23.12.2022. Being the policy issue, the subject matter has already been decided by the Ministry / GOI and also informed to him by MOCAF&PD vide letter no.4-4/2017-impex dated 24.04.2018 and by I&E Section again and again vide letters dated 18.03.2019, 10.07.2019, 19.07.2019, 11.10.2019, 02.12.2019, 05.03.2020, 13.10.2020, 29.06.2021,11.02.2021, 15.02.2021, 27.04.2021, 28.05.2021, 21.06.2021, 29.06.2021, 16.07.2021, 20.07.2021, 27.08.2021, 28.10.2021, 24.05.2022, 07.06.2022, 22.06.2022, 05.08.2022, 06.10.2022, 02.11.2022, 22.11.2022, 08.12.2022. Further, in the instant matter MOCAF&PD vide letter dated 23.01.2023 has also informed him that, Since there is no new facts has been brought forward hence it is informed that no further representation / appeals containing similar facts will be entertained on the issue in future. Hence, his present grievance and appeals is disposed of accordingly and it is to inform him that no such references made in future to FCI as the decision of the matter has already been conveyed to his good self."
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
RAJESHWAR RAJESH (RPFC I),,,2023-01-25T00:00:00.000+0000,1.0," On examination of the grievance with attachment documents, it is observed that the grievance is under jurisdiction of Regional Office, Kadapa. Hence it is requested to forward the concerned office same for redressal. 

"
Daya Singh (SO),,,2023-01-25T00:00:00.000+0000,0.0, 
MANOJ SHANKAR (RPFC-II),,,2023-01-26T00:00:00.000+0000,1.0, 
MANOJ SHANKAR (RPFC-II),,,2023-01-31T00:00:00.000+0000,5.0,"Sir, Bank details updated by member will be auto verified by system through UAN and Banker Portal. Please ensure that NAME and other details should be same in Bank and UAN then only it will be accepted through banker and then it will be re reflected in employers log in for digital approval. 

Further, it is noticed that the said bank KYC request pending with your employer for which a mail has already been sent to your employer under copy to you on today ie 31.01.2023. A copy of e-mail is enclosed herewith for ready reference.
Therefore, you are advised to co-ordinate with your employer.

It may kindly note that this office has no access in updating of Bank KYC.

This is for your kind information.

With regards
RO Kadapa 
"
Daya Singh (section officer),,,2023-02-01T00:00:00.000+0000,1.0," Sir, Bank details updated by member will be auto verified by system through UAN and Banker Portal. Please ensure that NAME and other details should be same in Bank and UAN then only it will be accepted through banker and then it will be re reflected in employers log in for digital approval. Further, it is noticed that the said bank KYC request pending with your employer for which a mail has already been sent to your employer under copy to you on today ie 31.01.2023. A copy of e-mail is enclosed herewith for ready reference. Therefore, you are advised to co-ordinate with your employer. It may kindly note that this office has no access in updating of Bank KYC. This is for your kind information. With regards RO Kadapa	MANOJ SHANKAR (RPFC-II)	
"
,,,2023-01-24T00:00:00.000+0000,,
"Online PGRO, Online PGRO",,,2023-01-24T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-04-21T00:00:00.000+0000,87.0,"अभिलेख उपस्थापित l परिवादी उपस्थित l लोक प्राधिकार, आपूर्ति निरीक्षक, हरनौत/प्रतिनिधि उपस्थित I प्रतिवेदन पत्रांक- 34, दिनांक- 09.02.2023 से प्राप्त I प्राप्त प्रतिवेदन एवं संलग्न परिवाद के अवलोकन से स्पष्ट है कि परिवादी अमरेन्द्र कुमार सिन्हा, ग्राम- बिहारशरीफ, प्रखण्ड- बिहारशरीफ ने प्रखण्ड आपूर्ति पदाधिकारी, गोदाम प्रबंधक एवं ट्रासपोर्ट का अवैध वसूली के सम्बन्ध में परिवाद दायर किया है I लोक प्राधिकार ने अपने प्रतिवेदन में यह वर्णित किया है कि ""जाँच के क्रम में हरनौत प्रखण्ड अंतर्गत जन वितरण प्रणाली विक्रेताओं से पूछ-ताछ की गई I पूछ-ताछ के क्रम में जन वितरण प्रणाली विक्रेताओं द्वारा सामुहिक लिखित आवेदन पत्र देकर बताया गया कि हमलोगों से किसी प्रकार की अवैध वसूली नहीं की गई है I वर्तमान समय सहायक गोदाम प्रबंधक, हरनौत एवं ट्रांसपोट्र द्वारा सही बजन गेहू चावल दिया जा रहा है I ट्रांसपोट्र द्वारा ही जन वितरण प्रणाली की दुकान तक पहुँचाया जा रहा है I"" अतः ऐसे में लोक प्राधिकार के प्रतिवेदन के आलोक में वाद की कार्यवाही समाप्त की जाती है I"
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
Ms Geetha Ravichandran (Pr. CCIT MUMBAI),,,2023-01-24T00:00:00.000+0000,0.0," As per PAN database, the jurisdiction over the case lies with Thane. Hence, the grievance may be forwarded to the correct jurisdiction for necessary action. "
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-01-25T00:00:00.000+0000,1.0," Kindly look into the matter and upload final status report at the earliest.	
"
Sh.Pravin Kumar (Pr. CCIT),,,2023-01-27T00:00:00.000+0000,2.0, Kindly look into the matter and submit a compliance report to this office at the earliest.
Shri. S.K. Singh (CCIT PUNE),,,2023-02-06T00:00:00.000+0000,10.0, Kindly look into the matter and submit a compliance report to this office at the earliest.
,,,2023-02-14T00:00:00.000+0000,,"Respected Sir,

Greetings!!

We would like to bring it your attention that for the assessment year 2021-22 the income tax return has been processed determining a refund. However, till date we have not yet received the refund.

Request you to most humbly look into it as this inordinate delay is a great deal of concern for us.

Looking forward to a positive response.
This site is designed, developed &amp; hosted by National Informatics Centre, Ministry of Electronics &amp; IT (MeitY), Government of India and Content o"
,,,2023-02-16T00:00:00.000+0000,,"Respected Sir,

Greetings!!

We would like to bring it your attention that for the assessment year 2021-22 the income tax return has been processed determining a refund. However, till date we have not yet received the refund.

Request you to most humbly look into it as this inordinate delay is a great deal of concern for us.

Looking forward to a positive response."
Gopal G. Ranwlani (Jt.CIT),,,2023-02-16T00:00:00.000+0000,6.0, Please do the needful action and submit the report accordingly.
Jagdish verma (ITO),,,2023-02-22T00:00:00.000+0000,6.0," A CPGRAM was received from Shri KKUSH Punjabi vide CPGRAM No CBODT/E/2023/0004894 dated 24/01/2023 in this case, assessee has filed CPGRAM for non credit of refund for A.Y 2021-22 . From the verification undertaken, on ITBA System it is seen that the case pertains to A.Y 2021-22 rectification rights vests with CPC, Bangalore. In view of the above facts, it is humbly requested that the above CPGRAM may please be transferred to CPC so that further necessary action in this case for A.Y 2021-22 can completed by CPC Bangalore. Therefore, the grievance in this case may please be treated as settled from this office since no action is pending in this office. 










"
Sh. Ramesh Chand (Jt. DIT OSD),,,2023-03-03T00:00:00.000+0000,8.0, कृपया मामले को देखें और जल्द से जल्द स्टेटस रिपोर्ट अपलोड करें । Kindly look into the matter and upload status report at the earliest.
,,,2023-05-19T00:00:00.000+0000,,"RESPECTED SIR,

GREETINGS!!!

WE REFER TO THE INTIMATION ISSUED FOR THE ASSESSMENT YEAR 2021-22.

IN THIS REGARD, WE WOULD LIKE TO STATE THAT THE ASSESSEE HAD BROUGHT FORWARD DEPRECIATION LOSS THAT HAS BEEN SET OFF AGAINST THE INCOME FOR THE ASSESSMENT YEAR 2021-22. THE SAME IS CORRECTLY REFLECTED IN ITR FORM AND ITR ACKNOWLEDGEMENT. HOWEVER, WHILE PROCESSING THE RETURN THE SAME HAS NOT BEEN TAKEN INTO CONSIDERATION AND HAS BEEN PARTIALLY ADJUSTED AGAINST THE REFUND DUE TO THE ASSESSEE. FOR YOUR EASE OF REFERENCE,WE HAVE ENCLOSED A COPY OF COMPUTATION OF INCOME EVIDENDING THE SAME.

HENCE, IN LIGHT OF THE ABOVE BACKDROP, WE MOST HUMBLY REQUEST YOU TO KINDLY ISSUE FULL REFUND.

REQUEST YOU TO KINDLY TREAT THIS AS VERY URGENT.

TRUST THE SAME CLARIFIES. SHOULD YOU REQUIRE ANY FURTHER INFORMATION OR CLARIFICATION, THEN PLEASE DO LET US KNOW."
Suja Menon V (Income Tax Officer CPC ITR),,,2023-06-01T00:00:00.000+0000,90.0,"Dear Sir/Madam, 

As seen from the CPC portal for the AY 2021-22, taxpayer return has been processed at CPC determining refund. However, The jurisdictional AO is requested to make a request for transfer of rights in ITBA using path:Go to ITBA home page - click rectification module - menu tab - initiate rectification proceeds - search with PAN/AY - Search order - Select the order - Initiate Proceedings.
"
Sh. Ramesh Chand (Jt. DIT OSD),,,2023-06-05T00:00:00.000+0000,0.0,Kindly look into the matter and upload the Action Taken Report at the earliest.
Sh. Ramesh Chand (Jt. DIT OSD),,,2023-06-05T00:00:00.000+0000,0.0," Kindly look into the matter and upload the status report at the earliest.

"
Dr. Harshvardhini Buty (CCIT PUNE),,,2023-06-20T00:00:00.000+0000,0.0, Kindly peruse comment no 23 of DGIT(Systems) in action history and submit final action taken report to this office at the earliest.
Gopal G. Ranwlani (Jt.CIT),,,2023-07-13T00:00:00.000+0000,23.0," As directed, Kindly peruse comment no 23 of DGIT(Systems) in action history and submit final action taken report to this office at the earliest."
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-02-08T00:00:00.000+0000,,"Respected Sir,

Greetings!!

We would like to bring it your attention that for the assessment year 2021-22 the income tax return has been processed determining a refund. However, till date we have not yet received the refund.

Request you to most humbly look into it as this inordinate delay is a great deal of concern for us.

Looking forward to a positive response."
Smt. Malathi Sridharan (Pr.CIT-1 Thane),,,2023-02-10T00:00:00.000+0000,4.0, Kindly look into the matter and submit a compliance report to this office at the earliest.
Gopal G. Ranwlani (Jt.CIT),,,2023-02-22T00:00:00.000+0000,0.0," The JAO stated that A CPGRAM was received from Shri KKUSH Punjabi vide CPGRAM No CBODT/E/2023/0004894 dated 24/01/2023 in this case, assessee has filed CPGRAM for non credit of refund for A.Y 2021-22 . From the verification undertaken, on ITBA System it is seen that the case pertains to A.Y 2021-22 rectification rights vests with CPC, Bangalore. In view of the above facts, it is humbly requested that the above CPGRAM may please be transferred to CPC so that further necessary action in this case for A.Y 2021-22 can completed by CPC Bangalore. Therefore, the grievance in this case may please be treated as settled from this office since no action is pending in this office.
"
Smt. Malathi Sridharan (Pr.CIT-1 Thane),,,2023-02-23T00:00:00.000+0000,1.0," The JAO has reported that the CPGRAM was received from Shri KKUSH Punjabi vide CPGRAM No CBODT/E/2023/0004894 dated 24/01/2023 in this case, assessee has filed CPGRAM for non credit of refund for A.Y 2021-22 . From the verification undertaken, on ITBA System it is seen that the case pertains to A.Y 2021-22 rectification rights vests with CPC, Bangalore. In view of the above facts, it is humbly requested that the above CPGRAM may please be transferred to CPC so that further necessary action in this case for A.Y 2021-22 can completed by CPC Bangalore. Therefore, the grievance in this case may please be treated as settled from this office since no action is pending in this office."
Smt. Malathi Sridharan (Pr.CIT-1 Thane),,"Repeat of sl 14
 of (23-2-2023)",2023-02-23T00:00:00.000+0000,0.0," The JAO has reported that the CPGRAM was received from Shri KKUSH Punjabi vide CPGRAM No CBODT/E/2023/0004894 dated 24/01/2023 in this case, assessee has filed CPGRAM for non credit of refund for A.Y 2021-22 . From the verification undertaken, on ITBA System it is seen that the case pertains to A.Y 2021-22 rectification rights vests with CPC, Bangalore. In view of the above facts, it is humbly requested that the above CPGRAM may please be transferred to CPC so that further necessary action in this case for A.Y 2021-22 can completed by CPC Bangalore. Therefore, the grievance in this case may please be treated as settled from this office since no action is pending in this office."
Shri. S.K. Singh (CCIT PUNE),,,2023-02-23T00:00:00.000+0000,0.0," The JAO has reported that the CPGRAM was received from Shri KKUSH Punjabi vide CPGRAM No CBODT/E/2023/0004894 dated 24/01/2023 in this case, assessee has filed CPGRAM for non credit of refund for A.Y 2021-22 . From the verification undertaken, on ITBA System it is seen that the case pertains to A.Y 2021-22 rectification rights vests with CPC, Bangalore. In view of the above facts, it is humbly requested that the above CPGRAM may please be transferred to CPC so that further necessary action in this case for A.Y 2021-22 can completed by CPC Bangalore. Therefore, the grievance in this case may please be treated as settled from this office since no action is pending in this office."
Sh.Pravin Kumar (Pr. CCIT),,,2023-02-23T00:00:00.000+0000,0.0," The JAO has reported that the CPGRAM was received from Shri KKUSH Punjabi vide CPGRAM No CBODT/E/2023/0004894 dated 24/01/2023 in this case, assessee has filed CPGRAM for non credit of refund for A.Y 2021-22 . From the verification undertaken, on ITBA System it is seen that the case pertains to A.Y 2021-22 rectification rights vests with CPC, Bangalore. In view of the above facts, it is humbly requested that the above CPGRAM may please be transferred to CPC so that further necessary action in this case for A.Y 2021-22 can completed by CPC Bangalore. Therefore, the grievance in this case may please be treated as settled from this office since no action is pending in this office."
Sh. Y. K. Singh (DGIT),,,2023-03-03T00:00:00.000+0000,0.0, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.
,,,2023-05-23T00:00:00.000+0000,,"RESPECTED SIR,

GREETINGS!!!

WE REFER TO THE INTIMATION ISSUED FOR THE ASSESSMENT YEAR 2021-22.

IN THIS REGARD, WE WOULD LIKE TO STATE THAT THE ASSESSEE HAD BROUGHT FORWARD DEPRECIATION LOSS THAT HAS BEEN SET OFF AGAINST THE INCOME FOR THE ASSESSMENT YEAR 2021-22. THE SAME IS CORRECTLY REFLECTED IN ITR FORM AND ITR ACKNOWLEDGEMENT. HOWEVER, WHILE PROCESSING THE RETURN THE SAME HAS NOT BEEN TAKEN INTO CONSIDERATION AND HAS BEEN PARTIALLY ADJUSTED AGAINST THE REFUND DUE TO THE ASSESSEE. FOR YOUR EASE OF REFERENCE,WE HAVE ENCLOSED A COPY OF COMPUTATION OF INCOME EVIDENDING THE SAME.

HENCE, IN LIGHT OF THE ABOVE BACKDROP, WE MOST HUMBLY REQUEST YOU TO KINDLY ISSUE FULL REFUND.

REQUEST YOU TO KINDLY TREAT THIS AS VERY URGENT.

TRUST THE SAME CLARIFIES. SHOULD YOU REQUIRE ANY FURTHER INFORMATION OR CLARIFICATION, THEN PLEASE DO LET US KNOW."
Sh. Y. K. Singh (DGIT),,,2023-06-05T00:00:00.000+0000,4.0,"Dear Sir/Madam, 

As seen from the CPC portal for the AY 2021-22, taxpayer return has been processed at CPC determining refund. However, The jurisdictional AO is requested to make a request for transfer of rights in ITBA using path:Go to ITBA home page - click rectification module - menu tab - initiate rectification proceeds - search with PAN/AY - Search order - Select the order - Initiate Proceedings.
"
MS GEETHA RAVICHANDRAN (Pr. CCIT MUMBAI),,,2023-06-05T00:00:00.000+0000,0.0," As per PAN database, the jurisdiction over the case lies with Thane. Hence, the grievance may be forwarded to the correct jurisdiction for necessary action."
Sh.Pravin Kumar (Pr. CCIT),,,2023-06-20T00:00:00.000+0000,15.0, Kindly peruse comment no 23 of DGIT(Systems) in action history and submit final action taken report to this office at the earliest.
Smt. Malathi Sridharan (Pr.CIT-1 Thane),,,2023-06-20T00:00:00.000+0000,0.0, Kindly peruse comment no 23 of DGIT(Systems) in action history and submit final action taken report to this office at the earliest.
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
Nodal Officer (GM),,,2023-01-25T00:00:00.000+0000,1.0," कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। 
Kindly arrange to examine and redress the grievance and give an appropriate reply to the complainant within a time-bound manner. After redressal, a copy of the reply given to the complainant along with your comments/action may be uploaded on the CPGRAMS portal. 
"
Mehernosh Dhamodiwala (VP),,,2023-01-25T00:00:00.000+0000,0.0, 
Mehernosh Dhamodiwala (VP),,,2023-02-06T00:00:00.000+0000,12.0,Closed
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
I K Pandey (MTO),,,2023-01-25T00:00:00.000+0000,1.0,"This case pertains to Tech center, as resident updated aadhaar on 30/12/2022 but it is still uder process. Hence, the case may be transferred to tech center for further processing. :-:- 0013/05034/02805/ 30/12/2022 12:40:11.
Thank you
"
Nirmala Yadav (ASO),,,2023-01-27T00:00:00.000+0000,2.0, Kindly see the remarks of RO Lucknow.
Grievance Cell (Support Executive),,,2023-02-13T00:00:00.000+0000,17.0,"Dear Resident,

Your latest update request is completed successfully for the SRN number 0013050340280520221230124011. While the postal copy of the updated Aadhaar letter is being printed and posted, you are requested to download E-Aadhaar from UIDAI official link https://myaadhaar.uidai.gov.in. 

Regards,
DD(TC) 									
"
Grievance Cell (Support Executive),,,2023-02-13T00:00:00.000+0000,0.0," Your latest update request is completed successfully for the SRN number 0013050340280520221230124011. While the postal copy of the updated Aadhaar letter is being printed and posted, you are requested to download E-Aadhaar from UIDAI official link https://myaadhaar.uidai.gov.in"
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
Nodal Officer (GM),,,2023-01-25T00:00:00.000+0000,1.0," कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। 
Kindly arrange to examine and redress the grievance and give an appropriate reply to the complainant within a time-bound manner. After redressal, a copy of the reply given to the complainant along with your comments/action may be uploaded on the CPGRAMS portal. 
"
,,,2023-01-25T00:00:00.000+0000,,Again she got call from this number (8392923195). Please help me
OSDBO10 (OSD),,Reminder of sl 2,2023-01-27T00:00:00.000+0000,3.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
Shri Vikramjit Singh Randhawa (Deputy General Manager),,,2023-01-31T00:00:00.000+0000,6.0," CMS ref N202223023401478
"
,,,2023-02-14T00:00:00.000+0000,,Still they are calling
OSDBO10 (OSD),,Reminder of sl 2,2023-02-16T00:00:00.000+0000,20.0, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.
,,,2023-02-17T00:00:00.000+0000,,"Are you not able to solve this. Again am getting calls from +917971244777, +91797244776"
SHRI SURENDER SINGH (DEPUTY SECRETARY),,Reminder of sl 2,2023-02-17T00:00:00.000+0000,1.0," In view of continuous reminders being received, you are once again requested to expedite the redressal of grievance Nd upload a copy of ATR at the earliest.."
Mrs. Jayasree Gopalan (RBI Ombudsman),,,2023-02-22T00:00:00.000+0000,22.0, Please refer the attachment. 
,,,2023-01-24T00:00:00.000+0000,,
"PGRS, Operator",,,2023-02-27T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"HARPREET SINGH, SENIOR ASSISTANT",,,2023-07-10T00:00:00.000+0000,133.0,After possession of plot if allottee does not pass building plan and constructed house/ Dwelling Unit in stipulated time then according to instructions of Govt. NCF will be charged on those property.
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-25T00:00:00.000+0000,0.0,
"CMHL_Backend1, Backend",,,2023-01-25T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Sandeep Ashthana, Director - CM Helpline MP",,,2023-05-22T00:00:00.000+0000,117.0,This complaint does not belong to state - Madhya Pradesh
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-30T00:00:00.000+0000,6.0,"As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme the responsibility to identify beneficiary and uploading their correct and verified data including land records after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt. Of UP"
Sunil Kumar (Under Secretary),,,2023-02-01T00:00:00.000+0000,2.0, 
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,1.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-07T00:00:00.000+0000,5.0,अधीनस्थ अधिकारी के स्तर पर निस्तारित akhiya upload
,,,2023-01-24T00:00:00.000+0000,,
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-24T00:00:00.000+0000,0.0,Auto Forwarded
Rajeev Kaushik (GM- CDN),,,2023-02-10T00:00:00.000+0000,17.0,"The case is forwarded for taking needful action. A reply may be given the complainant and also upload the copy at P G Portal for disposal of grievance
"
Smt.Poonkodi T (CGM),,,2023-02-10T00:00:00.000+0000,0.0," Action may be taken in the matter and a reply, duly approved by unit head concerned, be sent to the complainant directly and uploaded in the portal also
"
BHASKAR D M (GM CENTRAL),,,2023-02-13T00:00:00.000+0000,3.0, The case stands closed please.
Smt.Poonkodi T (CGM),,,2023-02-13T00:00:00.000+0000,0.0, The case stands closed please.
Smt.Poonkodi T (CGM),,"Repeat of sl 7
 of (13-2-2023)",2023-02-13T00:00:00.000+0000,0.0, The case stands closed please.
Rajeev Kaushik (GM- CDN),,,2023-02-13T00:00:00.000+0000,0.0, The case stands closed please.
,,,2023-01-24T00:00:00.000+0000,,
Ms Geetha Ravichandran (Pr. CCIT MUMBAI),,,2023-01-24T00:00:00.000+0000,0.0," As per PAN database, the jurisdiction over the case lies with Thane. Hence, the grievance may be forwarded to the correct jurisdiction for necessary action. "
Dr. Nidhi Mittal (Jt. DIT E-Services),,,2023-01-25T00:00:00.000+0000,1.0," Kindly look into the matter and upload final status report at the earliest.	
"
