OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Shri Govind Sharma (SSRM JP Division),,,2023-01-17T00:00:00.000+0000,0.0," R/Sir,
 It is submitted that this article NO.EZ138832160IN is bagged to Pach Pahar S.O. in bag no.CBR1007377027 e/a/s/n 4/6 dated 28/12/2022 by PH Batch/2 Kota. This PL bag dispatched by TMO/1 Kota to Jhalawar H.O. ML e/a/s/n 11 with total 44/39-83 dated 29/11/2022. Hence, further disposal may be obtained from the SPOs Jhalawar Office.
"
Shri Shailendra Dashora (CPMG),,,2023-01-18T00:00:00.000+0000,1.0, Kindly examine the case and update the portal.
Shri. Mohd. Hanif (SSPOs Kota),,,2023-01-18T00:00:00.000+0000,0.0," Namaskar Sir 
Article delivered on 18.01.2023 at BO , will be account for by SO tomorrow. "
Shri Shailendra Dashora (CPMG),,,2023-01-19T00:00:00.000+0000,1.0," Respected Sir,
 As per report received from SSPOs Kota the article no. EZ138832160IN has been delivered on 18.01.2023 to its addressee. This is for your kind information please."
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
Col. Abhijit Kulkarni (General Manager Coord.),,,2023-01-16T00:00:00.000+0000,2.0, The grievance does not pertain to NHIDCL. 
"Aarti Balodi, Nodal Officer",,,2023-01-18T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-03-06T00:00:00.000+0000,3.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-03-09T00:00:00.000+0000,2.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
SP Law and Order (SP Law and Order),,,2023-03-13T00:00:00.000+0000,0.0, R/Sir perusal of the complaint it seems that matter not relates to Haryana Police Department. So please send to concerned Department.
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-03-14T00:00:00.000+0000,0.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-01-18T00:00:00.000+0000,2.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
"Aarti Balodi, Nodal Officer",,,2023-03-03T00:00:00.000+0000,44.0,"As per VOC with the Complainant, Matter does not pertain with Govt. of Uttarakhand. Pertain to CPWD (Central Public Works Department) Government of India.

"
Ravi Kumar (SO),,,2023-03-07T00:00:00.000+0000,1.0," As per action history, matter pertains to CPWD."
Assistant2 (Asstt.),,,2023-03-13T00:00:00.000+0000,4.0, Forwarded for necessary action and send ATR.
Jarnail Singh (Supervisor),,,2023-03-14T00:00:00.000+0000,1.0, Not for Haryana State. For ITBP.
S M I TANVIR (DDG C-II),,,2023-03-14T00:00:00.000+0000,0.0, 
S K Shahi (JS P-II),,,2023-03-14T00:00:00.000+0000,0.0, 
Shri Awanish (DIG Welfare ITBP),,,2023-03-15T00:00:00.000+0000,1.0, 
Shri Awanish (DIG Welfare ITBP),,,2023-03-16T00:00:00.000+0000,1.0, The complaint has been taken up with DIG(Prov) vide DIG Welfare Dte Gen ION 300-302 dated 15.03.2023 and the complainant has been informed about it through Letter number 312 date 16.03.23 Final outcome will be intimated on the correspondence
S K Shahi (JS P-II),,,2023-03-16T00:00:00.000+0000,0.0, Please expedite.
Shri Awanish (DIG Welfare ITBP),,,2023-04-13T00:00:00.000+0000,28.0, The complaint has been taken up with Comdt 08th Bn vide DIG Welfare Dte Gen ION 425-30 dated 03.04.2023 and the complainant has been informed about it through Letter number 460 date 06.04.23 Final outcome will be intimated on the correspondence address provided by the complainant. Copy of letter sent to complainant is uploaded for reference
S K Shahi (JS P-II),,,2023-04-17T00:00:00.000+0000,4.0, Please expedite.
Shri Awanish (DIG Welfare ITBP),,,2023-05-24T00:00:00.000+0000,37.0, Reply already sent to compliant videDIG(G&W) letter No.-1313 Dtd-24.05.23 and Comdt 08th Bn letter No.-2638-41 dtd 23.05.23 copy of letter is also uploaded for reference
S K Shahi (JS P-II),,,2023-05-24T00:00:00.000+0000,0.0, Reply already sent to compliant videDIG(G&W) letter No.-1313 Dtd-24.05.23 and Comdt 08th Bn letter No.-2638-41 dtd 23.05.23 copy of letter is also uploaded for reference
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
AC N (Asstt. C. &amp; A. G. N),,,2023-01-19T00:00:00.000+0000,3.0,Reply has already been given to the complainant. Hence the case may be treated as closed.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-30T00:00:00.000+0000,0.0,
AC N (Asstt. C. &amp; A. G. N),,,2023-01-30T00:00:00.000+0000,0.0,Reply has already been given to the complainant. Hence the case may be treated as closed.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
LT COL PALANI S (Chief Record Officer),,,2023-01-17T00:00:00.000+0000,3.0, 
LT COL PALANI S (Chief Record Officer),,"Repeat of sl 5
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0, 
LT COL PALANI S (Chief Record Officer),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0, 
LT COL PALANI S (Chief Record Officer),,"Repeat of sl 7
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0, 
LT COL PALANI S (Chief Record Officer),,,2023-01-20T00:00:00.000+0000,3.0," Sir, pl see att file/////////////"
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-16T00:00:00.000+0000,0.0,
AC N (Asstt. C. &amp; A. G. N),,,2023-01-19T00:00:00.000+0000,3.0,Reply has already been given to the complainant. Hence the case may be treated as closed.
Sh. Bherav Dutt (DS),,"Repeat of sl 6
 of (24-1-2023)",2023-01-24T00:00:00.000+0000,0.0, Pertains to Higher Education Department of State Govt. of Madhya Pradesh. PG Section is requested to forward the grievance to the CPGRAMS portal of State Govt. of Madhya Pradesh for taking necessary action.
Sh. Bherav Dutt (DS),,,2023-01-16T00:00:00.000+0000,0.0," Forwarded to HE Bureau for necessary action please. 
"
Kamini Chauhan Ratan (Joint Secretary),,,2023-01-16T00:00:00.000+0000,0.0, The matter may kindly be examined for further necessary action please.
B.K.Singh (Deputy Secretary),,,2023-01-18T00:00:00.000+0000,2.0, Pertains to Higher Education Department of State Govt. of Madhya Pradesh. PG Section is requested to forward the grievance to the CPGRAMS portal of State Govt. of Madhya Pradesh for taking necessary action.
Kamini Chauhan Ratan (Joint Secretary),,,2023-01-24T00:00:00.000+0000,6.0, Pertains to Higher Education Department of State Govt. of Madhya Pradesh. PG Section is requested to forward the grievance to the CPGRAMS portal of State Govt. of Madhya Pradesh for taking necessary action.
"CMHL_Backend1, Backend",,,2023-01-25T00:00:00.000+0000,1.0,Grievance received by Subordinate Organisation from Web API
"डॉ. सुरेश टी सिलावट, प्राचार्य",,,2023-02-20T00:00:00.000+0000,26.0,Closed
,,,2023-01-14T00:00:00.000+0000,,
Sh. Bherav Dutt (DS),,,2023-01-24T00:00:00.000+0000,0.0, Pertains to Higher Education Department of State Govt. of Madhya Pradesh. PG Section is requested to forward the grievance to the CPGRAMS portal of State Govt. of Madhya Pradesh for taking necessary action.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
BRIJESH KUMAR MISHRA (RPFC I),,,2023-01-16T00:00:00.000+0000,2.0,"It was earlier informed to the member that her details differ in Aadhaar and PAN Cards and that she should submit request after getting these KYC documents corrected first. However, the Member has submitted request without getting her father name corrected in PAN. Hence, member may again be advised to get her father name corrected/updated in PAN and resubmit joint declaration form along with supporting documents to this office for taking further necessary action in the matter."
Makhan Lal (Section Officer),,,2023-01-16T00:00:00.000+0000,0.0," It was earlier informed to the member that her details differ in Aadhaar and PAN Cards and that she should submit request after getting these KYC documents corrected first. However, the Member has submitted request without getting her father name corrected in PAN. Hence, member may again be advised to get her father name corrected/updated in PAN and resubmit joint declaration form along with supporting documents to this office for taking further necessary action in the matter.	BRIJESH KUMAR MISHRA (RPFC I)	
"
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-30T00:00:00.000+0000,0.0,
AC N (Asstt. C. &amp; A. G. N),,,2023-01-30T00:00:00.000+0000,0.0,Reply has already been given to the complainant. Hence the case may be treated as closed.
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
SURESH KUMAR T (Asst Director),,,2023-01-18T00:00:00.000+0000,4.0," Sir, 
 The subject is not under the preview of Directorate of Sainik Welfare."
Cmde HP SIngh (Secretary KSB),,,2023-01-20T00:00:00.000+0000,2.0, Not pertains to KSB Sectt
Vinay Pratap Bahadur Singh (Under Secretary ResII),,,2023-01-25T00:00:00.000+0000,5.0, The subject matter does not not pertain to D(Res-II).
Alok Nigam (Under Secretary),,,2023-03-21T00:00:00.000+0000,66.0,Duplicate grievance of No ddesw/e/2023/0000110
,,,2023-01-14T00:00:00.000+0000,,
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-14T00:00:00.000+0000,0.0,Auto Forwarded
Roshan Lal (APFC),,,2023-01-14T00:00:00.000+0000,0.0," Sir, on scrutiny of the grievance, it is found that member’s PF A/c No. DSNHP09379960000000134 falls under the jurisdiction of RO Delhi (East). Thanking You."
Makhan Lal (Section Officer),,,2023-01-16T00:00:00.000+0000,2.0," Sir, on scrutiny of the grievance, it is found that member’s PF A/c No. DSNHP09379960000000134 falls under the jurisdiction of RO Delhi (East). Thanking You.	Roshan Lal (APFC)	
"
ISHA (RPFC II),,,2023-01-17T00:00:00.000+0000,1.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
ISHA (RPFC II),,"Repeat of sl 6
 of (17-1-2023)",2023-01-17T00:00:00.000+0000,0.0,"Sir, In this regard it is to inform that as per tracking ID EU646441473IN the Joint declaration has not received this office till 17/01/2023, the same is out for delivery on 17/01/2023. Member is requested to wait for 7 working days. Once the documents received this office the joint declaration will be process accordingly."
