OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
Shri Niraj Kumar Gayagi (Joint Secretary),,,2023-02-07T00:00:00.000+0000,12.0, 
cmcell (ASO),,,2023-02-09T00:00:00.000+0000,2.0, 
PA TO SP (PA TO SP),,,2023-02-10T00:00:00.000+0000,1.0," S.P/kkLR.No.P3//22 Dated 10.02.2023 மனுதாரர் மீது கன்னியாகுமரி காவல்நிலைய குற்ற எண் 25/2020 u/s 67 IT Act&294 IPC&4 0F TNPWH Act படி வழக்கு பதிவு செய்து நடவடிக்கை மேற்கொண்டுள்ளதால் மனுதாரர் உண்மைக்கு புறம்பான சங்கதிகளை குறிப்பிட்டு தொடர்ந்து இது போன்ற புகார் மனுக்களை கொடுத்துவருவதாக தெரிய வருகிறது. எனவே இம்மனுவை கோர்வை செய்ய கேட்டுக்கொள்ளப்படுகிறது. 

"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Subhash Sangwan (Under Secretary),,,2023-02-10T00:00:00.000+0000,15.0, Your Case does not falls under the purview of this Ministry. The same has been forwarded to the concerned State Government of Bihar for taking necessary action. A copy of the forwarding letter is attached. You are kindly requested to follow up the matter with them.
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Mr. Dinesh Dhawan (SRO),,,2023-01-27T00:00:00.000+0000,1.0, The PG does not relate to RD vertical
VINOD KUMAR (DS),,,2023-01-31T00:00:00.000+0000,4.0," आपके द्वारा दायर की गई जन शिकायत नीति आयोग से संबंधित नहीं है। इसके अलावा, कार्य आवंटन नियमों (Allocation of Business Rules) के अनुसार, आपकी जन शिकायत बिहार राज्य सरकार (State Government of Bihar) को हस्तान्तरित की जा रही है।"
"Online PGRO, Online PGRO",,,2023-01-31T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-02-10T00:00:00.000+0000,10.0,"परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखंड/अंचल-धोरैया, जिला-बांका द्वारा ऑनलाइन के माध्यम से परिवाद अनन्य सं0 

999880131012346202





 दायर किया गया है, जो अंतरण के माध्यम से प्राप्त है| दायर परिवाद का अवलोकन किया गया| परिवाद की विषयवस्तु परिवादी के पिता गणेश सिंह को प्रधानमंत्री आवास का लाभ नहीं मिल कर फर्जी व्यक्ति के द्वारा राशि निकासी कर लेने पर दोषी व्यक्ति के विरुद्ध कार्रवाई करवाते हुए परिवादी के पिता एवं भाई को प्रधानमंत्री आवास योजना का लाभ देने का अनुरोध किया गया है| साथ ही भुखमरी का शिकार हो गए हैं एवं आर्थिक तथा मानसिक प्रताड़ना एवं वित्तीय संकट मे घिरे हुए हैं का उल्लेख किया गया है| 


परिवादी द्वारा सामान विषयवस्तु पर अनेकों परिवाद दायर किया गया है| जिस पर पूर्व में आदेश पारित किया जा चुका है| अनेक परिवाद में से एक परिवाद का अनन्य सं०-9999901140922332244 है| परिवाद अनन्य सं०-9999901140922332244 पर पारित आदेश इस प्रकार उधृत है:- “परिवाद अनन्य सं०-9999901140922332244 परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा, प्रखंड/अंचल-धोरैया, जिला-बांका द्वारा ऑनलाइन के माध्यम से परिवाद दायर किया गया है, जो अंतरण के माध्यम से प्राप्त है| दायर परिवाद का अवलोकन किया गया|परिवादी ने अपने परिवाद में प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा को परिवाद संख्या 9999901140122282618 का स्वीकृत करते हुए रामु मरांडी चांदनी सिंह पर प्राथमिकी दर्ज कराने आदेश देते हुए परिवाद को निष्पादित किया गया था लेकिन धोरैया प्रखंण्ड विकास पदाधिकरी ने चांदनी सिंह पर अब तक एफआईआर दर्ज नही कराया है जिस्से स्पष्ट है की धोरैया प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा का आचरण ठीक नही है अःतः-श्री मान से अनुरोध है की धोरैया प्रखंण्ड विकास पदाधिकारी अमर कुमार मिश्रा पर कार्य स्थिलता के आरोप मे प्रपत्र (क)गठित कर सस्क्त कार्यवाही जल्द-से-जल्द करने की कृपा करे और गणेश सिंह के साथ हुई अनियमताओ का मुआवजा राशि दिलाने का अनुरोध करते हुए परिवाद दायर किया गया है| इस परिवाद पर आदेश पारित किया गया है| पारित आदेश इस प्रकार उधृत है:- “परिवाद अनन्य सं०-9999901140922332244 परिवादी बिपिन कुमार सिंह, पिता/पति-गणेश सिंह, ग्राम-बनियाचक, पो०-जोठा,"
,,,2023-01-26T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-03-02T00:00:00.000+0000,28.0,"अधीनस्थ अधिकारी के स्तर पर निस्तारित कृपया उक्त प्रकरण का निस्रताण राजस्व विभाग द्वारा सयुक्त रूप से किया जा चूका है परन्तु शिकायत कर्ता द्वारा बार बार सिकायत किया जाता है 
 अतः आख्या शिकायत निक्षेपित करने हेतु प्रेषित है"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Sh. Chandan Vatsa (CGM Coord),,,2023-01-27T00:00:00.000+0000,1.0, Please examine the matter and give a suitable reply directly to the Petitioner. In case it pertains to any other Department kindly forward it to them under intimation to the Petitioner and attach the copy of the letter/mail for online disposal on PG portal.
VIVEK JAISWAL (Regional Officer),,,2023-01-28T00:00:00.000+0000,1.0, For necessary action.
Bhuvanesh Kumar (DGM),,,2023-02-16T00:00:00.000+0000,19.0, The reply for the information sought is submitted.
VIVEK JAISWAL (Regional Officer),,,2023-02-16T00:00:00.000+0000,0.0, The reply for the information sought is submitted.
Sh. Sunil Prakash Bhardwaj (CGM HR Admn Coord),,,2023-02-17T00:00:00.000+0000,1.0, Reply copy attached.
,,,2023-02-07T00:00:00.000+0000,,Pl justice with students
Aditya Shekhar Singh (Under Secretary),,,2023-02-22T00:00:00.000+0000,27.0," It is informed that this Division of this Ministry implemented the following 5 schemes for the educational empowerment of students or beneficiaries, etc belonging to six notified minority communities i.e. Muslim, Christian, Sikh, Buddhist, Jain, Zoroastrian (Parsi) (notified at present under Section-2(c) of The National Commission for Minorities Act, 1992) in all States across the country (till 2021-22):
(i)	Pre-Matric Scholarship Scheme (For Classes IX & X),
(ii)	Post Matric Scholarship Scheme (From Class XI to Ph.D),	
(iii)	Merit-cum-Means based Scholarship Scheme (For Technical and Professional Courses at undergraduate and post graduate levels),
(iv)	Maulana Azad National Fellowship (MANF)- (For M.Phil. and Ph.D) and
(v)	Padho Pardesh - Scheme of Interest Subsidy on Educational Loans for Overseas Studies for the Students Belonging to Minority Communities.
2.	From the year 2015 16, a dedicated scholarship portal i.e. National Scholarship Portal (NSP) under URL www.scholarships.gov.in for applying online scholarship (Sl. No. i to iii) has been introduced for these schemes. The Scheme guidelines, physical and financial details of these schemes, Year-wise, State-wise and community-wise and the other schemes of this Ministry (implemented till the year 2021-22), as collated and available, may please be seen on the website (url) of this Ministry i.e. https://www.minorityaffairs.gov.in/en/schemesperformance. FAQs are available at url- http://www.minorityaffairs.gov.in/faq. Please have a look. For further details, you can contact Samadhan helpline at 1800-11-2001 (toll free number).
As regards any complaint about your school/college/institute, you may send your complaint/request to the officers, senior to the State Nodal Officer, Punjab ."
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-02-09T00:00:00.000+0000,14.0," As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme, the responsibility to identify beneficiary and uploading their correct and verified data after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt. of Rajasthan"
Sahdev Singh (Deputy Secretary PG),,,2023-02-09T00:00:00.000+0000,0.0, 
"CMO, Secretary",,,2023-02-09T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"CCC SAMPARK RAJASTHAN GOV IN, Content Manager",,,2023-04-03T00:00:00.000+0000,53.0,Your grievance disposed (Reject) successfully on 03-Apr-2023 20:03
Vikas Sangwan (Assistant Director),,Reminder of sl 3,2023-02-02T00:00:00.000+0000,1.0," कृपया प्रकरण की जांच करें और उचित कार्रवाई करके परिवेदनाकर्ता को सूचित करने के साथ कृत कार्रवाई विवरण इस पोर्टल पर प्रेषित करें।
"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Boben Rapheal (Deputy Director In-charge),,,2023-02-03T00:00:00.000+0000,1.0," Please see the attached report received from DIMS, Kerala with respect to the grievance raised by the complainant. "
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Boben Rapheal (Deputy Director In-charge),,,2023-01-27T00:00:00.000+0000,1.0, Please examine
,,,2023-02-01T00:00:00.000+0000,,Any updates?
Section Officer PG-AR (SO),,Reminder of sl 2,2023-02-01T00:00:00.000+0000,6.0, For necessary action please
,,,2023-01-26T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-03-02T00:00:00.000+0000,28.0,"अधीनस्थ अधिकारी के स्तर पर निस्तारित कृपया उक्त प्रकरण का निस्रताण राजस्व विभाग द्वारा सयुक्त रूप से किया जा चूका है परन्तु शिकायत कर्ता द्वारा बार बार सिकायत किया जाता है 
 अतः आख्या शिकायत निक्षेपित करने हेतु प्रेषित है"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Shri Alok Kumar Verma (Director),,,2023-01-30T00:00:00.000+0000,4.0, Does not pertain to CPU Section.
Shri Charanjit Gulati (Under Secretary),,,2023-01-30T00:00:00.000+0000,0.0, 
Ms. Deepika Sur (Project Co-ordinator),,,2023-02-01T00:00:00.000+0000,2.0,Forwarding your grievance to the company. Kindly track your grievance mentioning the docket number (4230952) on following link https://consumerhelpline.gov.in/user/track-complaint.php or download NCH App from Play or App store.
Ms. Deepika Sur (Project Co-ordinator),,,2023-03-02T00:00:00.000+0000,29.0,"The grievance was taken up with the company by NCH and the company has responded that Order ID: OD427109429376709100 We are sorry for the trouble you had to go through. We certainly understand your concern. As per the update from the team, the customer confirmed that he has received the product. if you are not satisfied with the company response and you would like to pursue the case with the company for further relief/ compensation in the absence of suitable/ acceptable redressal, you may file a case at the designated Consumer Commission online. Please visit https://edaakhil.nic.in/edaakhil/faces/login.xhtml. Facility of hearing over video-conferencing is also available as per provision Section 38 (6) of the Consumer Protection Act, 2019 provided that the District Commission may, on sufficient cause being shown, and after recording its reasons in writing, allow the same. Complaints filed in the Consumer Commissions are attempted to be disposed off within a period of three months from the date of receipt of notice by the opposite party. In case you wish to file a case offline, you may do so at the designated Consumer Commission from a place of your convenience. For more information, please visit http://www.ncdrc.nic.in/districtlist.html"
,,,2023-01-26T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-03-02T00:00:00.000+0000,28.0,"अधीनस्थ अधिकारी के स्तर पर निस्तारित कृपया उक्त प्रकरण का निस्रताण राजस्व विभाग द्वारा सयुक्त रूप से किया जा चूका है परन्तु शिकायत कर्ता द्वारा बार बार सिकायत किया जाता है 
 अतः आख्या शिकायत निक्षेपित करने हेतु प्रेषित है"
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Section Officer PG-MH (SO),,,2023-01-31T00:00:00.000+0000,0.0, 
Deputy Chief Labour Commissioner C-Welfare-Trg. (Dy. CLC C),,,2023-01-31T00:00:00.000+0000,0.0," The Grievance is forwarded to Appropriate Government and Appropriate Authority i.e. State Government of Maharashtra and Labour Commissioner, Maharashtra. The Complainant is advised to pursue the matter/and file application/ claim in the office of Labour Commissioner of Maharashtra."
Deputy Chief Labour Commissioner C-Welfare-Trg. (Dy. CLC C),,"Repeat of sl 7
 of (31-1-2023)",2023-01-31T00:00:00.000+0000,0.0," The Grievance is forwarded to Appropriate Government and Appropriate Authority i.e. State Government of Maharashtra and Labour Commissioner, Maharashtra. The Complainant is advised to pursue the matter/and file application/ claim in the office of Labour Commissioner of Maharashtra."
,,,2023-01-26T00:00:00.000+0000,,
M D Meena (Deputy Director),,,2023-01-30T00:00:00.000+0000,4.0," As per description of the grievance, it could be seen that the said grievance is not related to ESIC Maharashtra, pertains to EPFO/Labour. Hence, grievance is closed"
Section Officer PG-AR (SO),,,2023-01-31T00:00:00.000+0000,0.0,"The Grievance is forwarded to Appropriate Government and Appropriate Authority i.e. State Government of Maharashtra and Labour Commissioner, Maharashtra. The Complainant is advised to pursue the matter/and file application/ claim in the office of Labour Commissioner of Maharashtra.	Deputy Chief Labour Commissioner C-Welfare-Trg. (Dy. CLC C)"
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Vikas Sangwan (Assistant Director),,,2023-01-31T00:00:00.000+0000,1.0, यह प्रकरण कर्मचारी राज्य बीमा निगम से सम्बंधित नहीं है। कृपया प्रतिवेदन/परिवेदना को संबंधित विभाग को भेजें। 
,,,2023-01-26T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-03-02T00:00:00.000+0000,28.0,"अधीनस्थ अधिकारी के स्तर पर निस्तारित कृपया उक्त प्रकरण का निस्रताण राजस्व विभाग द्वारा सयुक्त रूप से किया जा चूका है परन्तु शिकायत कर्ता द्वारा बार बार सिकायत किया जाता है 
 अतः आख्या शिकायत निक्षेपित करने हेतु प्रेषित है"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Ashutosh Agarwal (Deputy Director),,,2023-03-02T00:00:00.000+0000,35.0," Your complain has been forwarded to controller, Legal Metrology, TamilNadu.
The contact details of CLM Govt of TamilNadu are as follows:
Controller of Legal Metrology (Weights & Measures) Government of Tamil Nadu, DMS Compound, Teynampet, Chennai – 600 006 Ph: 044-24321438, Tel.Fax: 044-24326205/24341966 Email: tnchildlabour@yahoo.com, tncolm@gmail.com

"
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Dr. Pramod Kumar Meherda (Joint Secretary),,,2023-01-31T00:00:00.000+0000,5.0," As per the information available on the web portal www.pmkisan.gov.in, Farmer land Record is not uploaded on web portal. Under PM-KISAN Scheme, the responsibility to identify beneficiary and uploading their correct and verified data after verification lies with the concerned State authorities. The grievance may, therefore, be transferred to concerned State Govt.of Madhya Pradesh"
Sahdev Singh (Deputy Secretary PG),,,2023-02-01T00:00:00.000+0000,1.0, 
"CMHL_Backend1, Backend",,,2023-02-01T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"श्री विकास मिश्रा, कलेक्टर/जिला दंडाधिकारी",,,2023-02-24T00:00:00.000+0000,23.0,Closed
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Vaishali Sharma (Manager),,,2023-01-30T00:00:00.000+0000,4.0,"Dear Md. Nazim,

Greetings from Vi

We could connect on 7088956786 dated 30/01/2023 at 06:03 pm and discuss your concern.

Based on your grievance, I would like to summarize your concern about being unable to generate the UPC below.

I understand that you want to port out the number due to the network issue and do not want us to work on this concern.

You confirmed that the reported issue had been resolved and successfully generated the UPC.

I sincerely empathize with the inconvenience you decided to port out however, we will be glad if you reconsider your decision.

To manage the Vi account, check the Vi app or visit www.MyVi.in.

Your reference number is UPW-V01189482167.

Thank you,
Vi Customer Care.
Ayan Dutta
Download the Vi App: https://bit.ly/GetVIApp2
WhatsApp chat with us click https://wa.me/message/2ONATA3W73EIP1
Website: www.MyVi.in
"
,,,2023-01-26T00:00:00.000+0000,,
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
"Shri Bhaskar Pandey, Joint Secretary",,,2023-02-15T00:00:00.000+0000,13.0,अधीनस्थ अधिकारी के स्तर पर निस्तारित कृपया उपरोक्त शिकायत के निस्तारण हेतु आख्या अपलोड कर दी गयी है
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,0.0,Auto Forwarded
Sh. Chandan Vatsa (CGM Coord),,,2023-01-27T00:00:00.000+0000,1.0, Please examine the matter and give a suitable reply directly to the Petitioner. In case it pertains to any other Department kindly forward it to them under intimation to the Petitioner and attach the copy of the letter/mail for online disposal on PG portal.
VIVEK JAISWAL (Regional Officer),,,2023-01-28T00:00:00.000+0000,1.0, For necessary action.
Bhuvanesh Kumar (DGM),,,2023-01-31T00:00:00.000+0000,3.0," Sir,

The said Dharwad-Ramnagar Toll Way Road does not comes under PIU Dharwad, it pertains to Executive Engineer, NH Division, Hubli, Government of Karnataka."
VIVEK JAISWAL (Regional Officer),,,2023-02-01T00:00:00.000+0000,1.0, Pertains to state PWD.
Sh. Chandan Vatsa (CGM Coord),,,2023-02-02T00:00:00.000+0000,1.0, Pertains to state PWD.
Shri Kamlesh Chaturvedi (Joint Secretary),,,2023-02-02T00:00:00.000+0000,0.0, May please see and take necessary action to redress the grievance under intimation to the applicant.
,,,2023-03-01T00:00:00.000+0000,,Still No Fastag even when i visited on 20th and 21st Feb
,,,2023-04-25T00:00:00.000+0000,,No Fastag Still
"Janaspandana Kosha, Janaspandana Kosha",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
,,,2023-01-26T00:00:00.000+0000,,
,,,2023-01-26T00:00:00.000+0000,,"षपस्ट विषय अंकित कर परिवाद दायर कीया गया है,जिनका विवरण निम्न रूपेन है।अतः-नियमानुसार अपेक्षित कार्यवाई करते हुए परिवाद को लंबित सुची से विलोपित करने की कीरपा की जाय। तद संबंधित सभि शिकायत बंद करे"
,,,2023-01-26T00:00:00.000+0000,,"षपस्ट विषय अंकित कर परिवाद दायर कीया गया है,जिनका विवरण निम्न रूपेन है।अतः-नियमानुसार अपेक्षित कार्यवाई करते हुए परिवाद को लंबित सुची से विलोपित करने की कीरपा की जाय। तद संबंधित सभि शिकायत बंद करे"
,,,2023-01-26T00:00:00.000+0000,,"षपस्ट विषय अंकित कर परिवाद दायर कीया गया है,जिनका विवरण निम्न रूपेन है।अतः-नियमानुसार अपेक्षित कार्यवाई करते हुए परिवाद को लंबित सुची से विलोपित करने की कीरपा की जाय। तद संबंधित सभि शिकायत बंद करे"
,,,2023-01-26T00:00:00.000+0000,,"षपस्ट विषय अंकित कर परिवाद दायर कीया गया है,जिनका विवरण निम्न रूपेन है।अतः-नियमानुसार अपेक्षित कार्यवाई करते हुए परिवाद को लंबित सुची से विलोपित करने की कीरपा की जाय। तद संबंधित सभि शिकायत बंद करे"
,,,2023-02-02T00:00:00.000+0000,0.0,
"Online PGRO, Online PGRO",,,2023-02-02T00:00:00.000+0000,0.0,Grievance received by Subordinate Organisation from Web API
